participant	session	bids_run	run_id	stimulus	protocol_name	mapping_confidence
sub-025	ses-02	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-025	ses-02	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-025	ses-02	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-025	ses-02	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-026	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-026	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-026	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-026	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-026	ses-02	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-026	ses-02	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-026	ses-02	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-026	ses-02	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-027	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-027	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-027	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-027	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-027	ses-02	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-027	ses-02	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-027	ses-02	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-027	ses-02	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-028	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-028	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-028	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-028	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-028	ses-02	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-028	ses-02	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-028	ses-02	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-028	ses-02	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-029	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-029	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-029	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-029	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-029	ses-02	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-029	ses-02	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-029	ses-02	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-029	ses-02	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-030	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-030	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-030	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-030	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-030	ses-02	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-030	ses-02	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-030	ses-02	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-030	ses-02	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-031	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-031	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-031	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-031	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-031	ses-02	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-031	ses-02	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-031	ses-02	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-031	ses-02	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-032	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-032	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-032	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-032	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-033	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-033	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-033	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-033	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-034	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-034	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-034	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-034	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-034	ses-02	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-034	ses-02	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-034	ses-02	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-034	ses-02	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-035	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-035	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-035	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-035	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-035	ses-02	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-035	ses-02	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-035	ses-02	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-035	ses-02	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-036	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-036	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-036	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-036	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-036	ses-02	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-036	ses-02	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-036	ses-02	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-036	ses-02	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-037	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-037	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-037	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-037	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-038	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-038	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-038	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-038	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-038	ses-02	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-038	ses-02	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-038	ses-02	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-038	ses-02	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-039	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-039	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-039	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-039	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-039	ses-02	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-039	ses-02	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-039	ses-02	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-039	ses-02	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-040	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-040	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-040	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-040	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-040	ses-02	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-040	ses-02	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-040	ses-02	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-040	ses-02	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-041	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-041	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-041	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-041	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-041	ses-02	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-041	ses-02	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-041	ses-02	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-041	ses-02	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-042	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-042	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
