subject	session	changed_voxel_percentage	changed_voxel_count	mean_difference	max_difference
sub-042	ses-01	34.79528245192308	6947922.0	79.97069165314184	4095.0
sub-042	ses-01	34.64734074519231	6918381.0	77.3080368171223	4095.0
sub-042	ses-01	36.93036968205251	3557795.0	3.6297596206923317	266.0
sub-043	ses-02	27.59482171474359	5510134.0	85.02580852537606	4095.0
sub-043	ses-02	17.446208934294873	3483659.0	52.563098993639294	4095.0
sub-043	ses-02	27.4617437900641	5483561.0	84.53792419793562	4095.0
sub-043	ses-02	17.172636217948718	3429032.0	46.21097897123756	4095.0
sub-043	ses-02	19.88069702978848	1915265.0	2.1413439265982617	240.0
sub-043	ses-02	17.696385805298682	1704833.0	1.7023710570293955	233.0
sub-044	ses-01	32.963917267628204	6582235.0	92.64869622701	4095.0
sub-044	ses-01	33.026427283653845	6594717.0	95.46814760102083	4095.0
sub-044	ses-01	25.30985721925489	2438299.0	2.615385496042509	299.0
sub-044	ses-02	24.434515224358975	4879084.0	74.09224248482454	4095.0
sub-044	ses-02	24.310131209935896	4854247.0	73.04309839128135	4095.0
sub-044	ses-02	20.204525902157737	1946462.0	1.9253496660534215	437.0
sub-045	ses-01	21.42139423076923	4277424.0	147.08096620382125	4095.0
sub-045	ses-01	21.430428685897436	4279228.0	135.22197601033886	4095.0
sub-046	ses-01	23.433133012820512	4679128.0	114.68838001140661	4095.0
sub-046	ses-01	23.827864583333334	4757948.0	106.79311999654956	4095.0
sub-046	ses-01	21.75126886692177	2095472.0	2.531290856379534	456.0
sub-046	ses-02	19.326201923076923	3859056.0	64.66419918038801	4095.0
sub-046	ses-02	18.471218950320512	3688333.0	57.126509572924185	4095.0
sub-046	ses-02	18.621950733418366	1794000.0	1.866613434886153	269.0
sub-047	ses-01	24.216030649038462	4835457.0	134.61718938096078	4095.0
sub-047	ses-01	24.04346454326923	4800999.0	130.94894509504985	4095.0
sub-047	ses-01	14.613093162069516	1407795.0	1.7762828287211359	368.0
sub-047	ses-02	25.46532952724359	5084917.0	121.8393400286053	4095.0
sub-047	ses-02	24.803986378205128	4952860.0	125.2687328581898	4095.0
sub-047	ses-02	17.930987092102466	1727434.0	2.163534527044646	253.0
sub-048	ses-01	23.811743790064103	4754729.0	139.2843531322464	4095.0
sub-048	ses-01	24.080844350961538	4808463.0	132.97629435677376	4095.0
sub-048	ses-01	16.276872076955783	1568080.0	1.9570721542613918	424.0
sub-048	ses-02	22.831495392628206	4558993.0	111.90613999660839	4095.0
sub-048	ses-02	23.12334234775641	4617269.0	101.17102999342319	4095.0
sub-048	ses-02	18.80630181760204	1811760.0	2.2594517976070945	369.0
sub-049	ses-01	33.48215645032051	6685717.0	119.4180259209398	4095.0
sub-049	ses-01	33.44474158653846	6678246.0	126.02586756085275	4095.0
sub-049	ses-01	21.51683366217581	2072887.0	2.0929094224212657	272.0
sub-050	ses-01	11.577408854166666	2311777.0	68.59326315496986	4095.0
sub-050	ses-01	11.396714743589744	2275696.0	48.042068794632854	4095.0
sub-050	ses-01	13.022452633397108	1254556.0	1.7376874926003152	296.0
sub-051	ses-01	32.60458233173077	6510483.0	106.3370791259067	4095.0
sub-051	ses-01	32.43972856570513	6477565.0	106.20017444815377	4095.0
sub-051	ses-01	25.34776544895302	2441951.0	2.3948478849721377	442.0
sub-052	ses-01	20.58007311698718	4109429.0	142.23041613447631	4095.0
sub-052	ses-01	20.047901642628204	4003165.0	128.04662950466314	4095.0
sub-052	ses-02	21.708743990384615	4334802.0	124.3628032142412	4095.0
sub-052	ses-02	20.75751702724359	4144861.0	119.44444939190373	4095.0
sub-052	ses-02	10.459588498485331	1007655.0	1.3820755968176868	190.0
sub-053	ses-01	34.02726862980769	6794565.0	167.53652507220795	4095.0
sub-053	ses-01	33.728345352564105	6734876.0	162.15914608911578	4095.0
sub-053	ses-01	27.162897019159224	2616817.0	3.3057044702602356	325.0
sub-054	ses-01	24.770943509615385	4946262.0	121.25927387069763	4095.0
sub-054	ses-01	24.896829927884614	4971399.0	123.60830329676914	4095.0
sub-054	ses-02	21.02714342948718	4198700.0	39.4631059506355	4095.0
sub-054	ses-02	16.248119120695154	1565310.0	2.9739885635226777	393.0
sub-054	ses-02	20.01482872596154	3996561.0	38.03604249760496	3885.0
sub-056	ses-01	31.135652043269232	6217167.0	73.01252672635573	4095.0
sub-056	ses-01	30.220447716346154	6034419.0	71.32834083536372	4095.0
sub-057	ses-01	34.80811798878205	6950485.0	118.97352335766382	4095.0
sub-057	ses-01	34.61406750801282	6911737.0	115.3534140375685	4095.0
sub-057	ses-01	29.495675223214285	2841552.0	3.2068337322436937	282.0
sub-058	ses-01	19.089603365384615	3811812.0	67.12202069323558	4095.0
sub-058	ses-01	19.10840845352564	3815567.0	63.71143655788273	4095.0
sub-058	ses-01	15.99081649261267	1540522.0	1.98264357540675	270.0
sub-059	ses-01	25.735136217948718	5138792.0	69.41726538695166	4095.0
sub-059	ses-01	25.18895733173077	5029731.0	77.04902414452022	4095.0
sub-059	ses-01	20.56010758795706	1980718.0	1.9798678356224824	418.0
sub-060	ses-01	25.74842748397436	5141446.0	64.27454215622927	4095.0
sub-060	ses-01	24.42987780448718	4878158.0	60.09104231571115	4095.0
sub-060	ses-01	27.337895607461736	2633676.0	3.413274284194093	430.0
sub-061	ses-01	29.433733974358976	5877328.0	102.1986628737589	4095.0
sub-061	ses-01	28.11209935897436	5613424.0	104.54396590717339	4095.0
sub-062	ses-01	15.039145541028912	1448840.0	2.6010543267584736	301.0
sub-062	ses-01	18.60070612980769	3714189.0	51.2426876939612	4095.0
sub-062	ses-01	18.290174278846155	3652182.0	50.77366677654998	3714.0
sub-063	ses-01	32.86527443910256	6562538.0	78.11734956236015	4095.0
sub-063	ses-01	32.28796574519231	6447261.0	75.80272987031566	3713.0
sub-064	ses-01	21.43762019230769	4280664.0	119.92964356177534	4095.0
sub-064	ses-01	22.11053185096154	4415031.0	103.34934031304583	4095.0
sub-064	ses-01	12.71499322385204	1224936.0	1.648384366318349	268.0
sub-065	ses-01	14.567998798076923	2908938.0	71.1954688196734	4095.0
sub-065	ses-01	14.5380859375	2902965.0	57.962937909556985	4095.0
sub-065	ses-01	14.202019308700043	1368193.0	1.9831222366225456	297.0
sub-066	ses-01	24.034710536858974	4799251.0	118.10429510851868	4095.0
sub-066	ses-01	22.67219050480769	4527183.0	190.36423523126615	4095.0
sub-066	ses-01	12.727532419217686	1226144.0	0.7400844054329316	41.0
sub-067	ses-01	29.012474959935897	5793211.0	100.55807633205666	4095.0
sub-067	ses-01	28.38293269230769	5667504.0	97.89169929436063	4095.0
sub-067	ses-01	18.54779509460034	1786856.0	1.9530082671560038	302.0
sub-068	ses-01	19.405423677884617	3874875.0	97.71758249894252	4095.0
sub-068	ses-01	19.48893729967949	3891551.0	91.19472595546213	4095.0
sub-068	ses-01	17.245971264482357	1661441.0	1.9689328007644546	303.0
