scan_id	subject	session	run	protocol_id	status	review_class	mean_length	axis_flipped	axis_permutations	axis_basis
sub-017_ses-01_run-02_dwi	sub-017	ses-01	run-02	Protocol A	REVIEW	axis_flip_and_swap	62.58	1	(2,1,0)	scanner
sub-017_ses-01_run-05_dwi	sub-017	ses-01	run-05	Protocol B	PASS	none	41.72	none	(0,1,2)	image
sub-017_ses-02_run-01_dwi	sub-017	ses-02	run-01	Protocol A	PASS	none	42.47	none	(0,1,2)	scanner
sub-017_ses-02_run-02_dwi	sub-017	ses-02	run-02	Protocol A	PASS	none	19.26	none	(0,1,2)	image
sub-017_ses-02_run-05_dwi	sub-017	ses-02	run-05	Protocol B	PASS	none	39.08	none	(0,1,2)	scanner
sub-018_ses-01_run-01_dwi	sub-018	ses-01	run-01	Protocol A	REVIEW	axis_swap	36.84	none	(0,2,1)	image
sub-018_ses-01_run-02_dwi	sub-018	ses-01	run-02	Protocol A	REVIEW	axis_flip	18.67	1	(0,1,2)	image
sub-018_ses-01_run-03_dwi	sub-018	ses-01	run-03	Protocol B	PASS	none	44.08	none	(0,1,2)	image
sub-018_ses-01_run-12_dwi	sub-018	ses-01	run-12	Protocol A	PASS	none	45.61	none	(0,1,2)	scanner
sub-018_ses-01_run-13_dwi	sub-018	ses-01	run-13	Protocol A	PASS	none	18.35	none	(0,1,2)	scanner
sub-019_ses-01_run-01_dwi	sub-019	ses-01	run-01	Protocol A	PASS	none	46.92	none	(0,1,2)	scanner
sub-019_ses-01_run-02_dwi	sub-019	ses-01	run-02	Protocol A	REVIEW	axis_flip_and_swap	72.44	1	(1,0,2)	scanner
sub-019_ses-01_run-05_dwi	sub-019	ses-01	run-05	Protocol B	PASS	none	40.93	none	(0,1,2)	image
sub-019_ses-02_run-01_dwi	sub-019	ses-02	run-01	Protocol A	PASS	none	34.70	none	(0,1,2)	image
sub-019_ses-02_run-02_dwi	sub-019	ses-02	run-02	Protocol A	REVIEW	axis_flip	15.88	2	(0,1,2)	image
sub-019_ses-02_run-05_dwi	sub-019	ses-02	run-05	Protocol B	PASS	none	36.59	none	(0,1,2)	scanner
sub-020_ses-01_run-01_dwi	sub-020	ses-01	run-01	Protocol A	PASS	none	39.00	none	(0,1,2)	image
sub-020_ses-01_run-02_dwi	sub-020	ses-01	run-02	Protocol A	REVIEW	axis_swap	23.79	none	(1,0,2)	scanner
sub-020_ses-01_run-05_dwi	sub-020	ses-01	run-05	Protocol B	PASS	none	45.28	none	(0,1,2)	scanner
sub-021_ses-01_run-01_dwi	sub-021	ses-01	run-01	Protocol A	PASS	none	43.13	none	(0,1,2)	scanner
sub-021_ses-01_run-02_dwi	sub-021	ses-01	run-02	Protocol A	REVIEW	axis_flip	35.14	1	(0,1,2)	scanner
sub-021_ses-01_run-05_dwi	sub-021	ses-01	run-05	Protocol B	PASS	none	38.76	none	(0,1,2)	image
sub-021_ses-02_run-01_dwi	sub-021	ses-02	run-01	Protocol A	PASS	none	41.56	none	(0,1,2)	scanner
sub-021_ses-02_run-02_dwi	sub-021	ses-02	run-02	Protocol A	REVIEW	axis_swap	16.61	0	(2,1,0)	scanner
sub-021_ses-02_run-05_dwi	sub-021	ses-02	run-05	Protocol B	PASS	none	36.14	none	(0,1,2)	image
