scan_id	subject	session	run	protocol_id	mask_file_present	mask_voxels	voxel_volume_mm3	brain_volume_mm3	brain_fraction
sub-016_ses-02_run-05_dwi	sub-016	ses-02	run-05	Protocol B	False	169750.0	3.440937599167228	584099.157458637	0.20721435546875
sub-017_ses-01_run-01_dwi	sub-017	ses-01	run-01	Protocol A	False	283088.0	5.0	1415440.0	0.1949641873278237
sub-017_ses-01_run-02_dwi	sub-017	ses-01	run-02	Protocol A	False	487121.0	5.0	2435605.0	0.335482782369146
sub-017_ses-01_run-05_dwi	sub-017	ses-01	run-05	Protocol B	False	203042.0	3.440937599167228	698654.8520101124	0.24785400390625
sub-017_ses-02_run-01_dwi	sub-017	ses-02	run-01	Protocol A	False	286613.0	5.0	1433065.0	0.1973918732782369
sub-017_ses-02_run-02_dwi	sub-017	ses-02	run-02	Protocol A	False	1085418.0	5.0	5427090.0	0.7475330578512397
sub-017_ses-02_run-05_dwi	sub-017	ses-02	run-05	Protocol B	False	192099.0	3.440937599167228	661000.6718624254	0.234495849609375
sub-018_ses-01_run-01_dwi	sub-018	ses-01	run-01	Protocol A	False	271997.0	5.0	1359985.0	0.1873257575757575
sub-018_ses-01_run-02_dwi	sub-018	ses-01	run-02	Protocol A	False	1159270.0	5.0	5796350.0	0.7983953168044077
sub-018_ses-01_run-03_dwi	sub-018	ses-01	run-03	Protocol B	False	268266.0	3.440937599167228	923086.5659781956	0.32747314453125
sub-018_ses-01_run-12_dwi	sub-018	ses-01	run-12	Protocol A	False	288631.0	5.0	1443155.0	0.1987816804407713
sub-018_ses-01_run-13_dwi	sub-018	ses-01	run-13	Protocol A	False	1154753.0	5.0	5773765.0	0.795284435261708
sub-019_ses-01_run-01_dwi	sub-019	ses-01	run-01	Protocol A	False	285146.0	5.0	1425730.0	0.1963815426997245
sub-019_ses-01_run-02_dwi	sub-019	ses-01	run-02	Protocol A	False	341986.0	5.0	1709930.0	0.2355275482093664
sub-019_ses-01_run-05_dwi	sub-019	ses-01	run-05	Protocol B	False	167657.0	3.440937599167228	576897.27506358	0.204659423828125
sub-019_ses-02_run-01_dwi	sub-019	ses-02	run-01	Protocol A	False	282482.0	5.0	1412410.0	0.1945468319559228
