subject	session	unique_bvals	n_b0	n_diffusion	max_bvalue
sub-074	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-074	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-074	ses-01	0,1000	4.0	11.0	1000.0
sub-075	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-075	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-075	ses-01	0,1000	4.0	11.0	1000.0
sub-076	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-076	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-076	ses-01	0,1000	4.0	11.0	1000.0
sub-077	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-077	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-077	ses-01	0,1000	4.0	11.0	1000.0
sub-078	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-078	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-078	ses-01	0,1000	4.0	11.0	1000.0
sub-079	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-079	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-079	ses-01	0,1000	4.0	11.0	1000.0
sub-080	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-080	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-080	ses-01	0,1000	4.0	11.0	1000.0
sub-081	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-081	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-081	ses-01	0,1000	4.0	11.0	1000.0
sub-082	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-082	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-082	ses-01	0,1000	4.0	11.0	1000.0
sub-083	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-083	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-083	ses-01	0,1000	4.0	11.0	1000.0
sub-084	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-084	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-084	ses-01	0,1000	4.0	11.0	1000.0
sub-057	ses-02				
sub-057	ses-02				
sub-057	ses-02				
sub-057	ses-02				
sub-064	ses-02				
sub-064	ses-02				
sub-064	ses-02				
sub-064	ses-02				
sub-066	ses-02				
sub-066	ses-02				
sub-066	ses-02				
sub-066	ses-02				
sub-067	ses-02				
sub-067	ses-02				
sub-067	ses-02				
sub-067	ses-02				
sub-068	ses-02	0,1000,2000	20.0	365.0	2000.0
sub-068	ses-02				
sub-068	ses-02				
sub-068	ses-02				
sub-069	ses-02				
sub-069	ses-02				
sub-069	ses-02				
sub-069	ses-02				
sub-072	ses-02				
sub-072	ses-02				
sub-072	ses-02				
sub-072	ses-02				
sub-073	ses-02				
sub-073	ses-02				
sub-073	ses-02				
sub-073	ses-02				
sub-074	ses-02				
sub-074	ses-02				
sub-074	ses-02				
sub-074	ses-02				
sub-081	ses-02				
sub-081	ses-02				
