subject	session	mask_voxels	brain_fraction
sub-039	ses-02	227230.0	0.27738037109375
sub-040	ses-01	227380.0	0.1565977961432507
sub-040	ses-01	540592.0	0.3723085399449036
sub-040	ses-01	176297.0	0.215206298828125
sub-040	ses-02	226890.0	0.1562603305785124
sub-040	ses-02	438016.0	0.30166391184573
sub-040	ses-02	178039.0	0.217332763671875
sub-041	ses-01	241845.0	0.1665599173553719
sub-041	ses-01	1182580.0	0.8144490358126721
sub-041	ses-01	113642.0	0.13872314453125
sub-041	ses-02	239620.0	0.1650275482093663
sub-041	ses-02	417390.0	0.2874586776859504
sub-041	ses-02	143952.0	0.17572265625
sub-042	ses-01	218310.0	0.1503512396694215
sub-042	ses-01	238019.0	0.1639249311294766
sub-042	ses-01	136722.0	0.16689697265625
sub-043	ses-02	303428.0	0.2089724517906336
sub-043	ses-02	302190.0	0.2081198347107438
sub-043	ses-02	1154551.0	0.7951453168044077
sub-043	ses-02	501258.0	0.3452190082644628
sub-043	ses-02	212865.0	0.259844970703125
sub-043	ses-02	161132.0	0.1966943359375
sub-044	ses-01	239695.0	0.1650792011019283
sub-044	ses-01	1207516.0	0.8316225895316804
sub-044	ses-01	125830.0	0.15360107421875
sub-044	ses-02	233117.0	0.1605488980716253
sub-044	ses-02	294621.0	0.2029070247933884
sub-044	ses-02	112727.0	0.137606201171875
sub-045	ses-01	248009.0	0.1708050964187328
sub-045	ses-01	1152159.0	0.7934979338842976
sub-045	ses-01	214474.0	0.26180908203125
sub-046	ses-01	244738.0	0.1685523415977961
sub-046	ses-01	1086831.0	0.7485061983471074
sub-046	ses-01	193141.0	0.235767822265625
sub-046	ses-02	241050.0	0.1660123966942149
sub-046	ses-02	1171448.0	0.8067823691460055
sub-046	ses-02	225328.0	0.27505859375
sub-047	ses-01	175598.0	0.1209352617079889
sub-047	ses-01	396165.0	0.2728409090909091
sub-047	ses-01	176338.0	0.1214449035812672
sub-047	ses-01	354805.0	0.2443560606060606
sub-047	ses-01	202488.0	0.247177734375
sub-047	ses-02	237085.0	0.1632816804407713
sub-047	ses-02	541600.0	0.3730027548209366
sub-047	ses-02	194688.0	0.23765625
sub-048	ses-01	270306.0	0.1861611570247933
sub-048	ses-01	520869.0	0.3587252066115702
sub-048	ses-01	184381.0	0.225074462890625
sub-048	ses-02	271476.0	0.1869669421487603
sub-048	ses-02	1177837.0	0.8111825068870523
sub-048	ses-02	171934.0	0.20988037109375
sub-049	ses-01	250159.0	0.1722858126721763
sub-049	ses-01	1243206.0	0.856202479338843
sub-049	ses-01	188844.0	0.2305224609375
sub-050	ses-01	266042.0	0.1832245179063361
sub-050	ses-01	1063916.0	0.7327245179063361
sub-050	ses-01	218191.0	0.266346435546875
sub-051	ses-01	243431.0	0.1676522038567493
sub-051	ses-01	989888.0	0.6817410468319559
sub-051	ses-01	144994.0	0.17699462890625
sub-052	ses-01	262210.0	0.1805853994490358
