subject	session	mean_signal	median_signal	std_signal	mean_b0_signal	mean_diffusion_signal
sub-012	ses-01	83.09576416015625	82.0	66.9041748046875	257.10479736328125	73.56102752685547
sub-012	ses-01	-70.81317138671875	-120.0	2380.7841796875	-368.30126953125	-54.51244735717773
sub-012	ses-01	295.6816711425781	253.0	202.71023559570312	551.847412109375	202.530517578125
sub-012	ses-02	101.55902099609376	85.0	83.43557739257812	325.747802734375	89.27469635009766
sub-012	ses-02	590.9010620117188	1440.0	2642.5693359375	2235.4833984375	500.7869567871094
sub-012	ses-02	334.4416809082031	284.0	221.483642578125	619.99658203125	230.6034698486328
sub-013	ses-01	111.48577880859376	92.0	92.88336181640624	352.4012451171875	98.2849349975586
sub-013	ses-01	602.6195678710938	1476.0	2620.431640625	1985.9964599609373	526.8180541992188
sub-013	ses-01	445.3946533203125	386.0	275.0726928710937	805.4225463867188	314.4754638671875
sub-014	ses-01	92.88135528564452	85.0	72.20824432373047	280.3241577148437	82.61051940917969
sub-014	ses-01	77.66035461425781	180.0	2300.576171875	106.32049560546876	76.08993530273438
sub-014	ses-01	391.55316162109375	336.0	246.06317138671875	704.0521850585938	277.9170837402344
sub-015	ses-01	108.27984619140624	91.0	83.77098846435547	327.3630676269531	96.27528381347656
sub-015	ses-01	447.21527099609375	884.0	2343.273681640625	1206.6673583984375	405.6014099121094
sub-015	ses-01	383.65087890625	332.0	230.49400329589844	687.2883911132812	273.2372131347656
sub-015	ses-02	117.5869140625	99.0	90.6177978515625	352.2447204589844	104.72894287109376
sub-015	ses-02	506.9083862304688	1687.0	2925.421142578125	2334.0693359375	406.78997802734375
sub-015	ses-02	399.9821472167969	346.0	239.3720550537109	713.2954711914062	286.0500183105469
sub-016	ses-01	118.08684539794922	98.0	96.04405975341795	355.139892578125	105.09764099121094
sub-016	ses-01	686.0706176757812	1242.0	2334.348388671875	1321.854248046875	651.233154296875
sub-016	ses-01	425.15966796875	367.0	252.00711059570312	757.7296142578125	304.2251281738281
sub-016	ses-02	107.64633178710938	97.0	84.1630630493164	324.4725952148437	95.76543426513672
sub-016	ses-02	620.601806640625	1868.0	2659.2587890625	2198.872802734375	534.1211547851562
sub-016	ses-02	344.4711303710937	299.0	203.59442138671875	612.0145874023438	247.18263244628903
sub-017	ses-01	117.20504760742188	98.0	93.09242248535156	358.6549072265625	103.97492218017578
sub-017	ses-01	512.22412109375	1162.0	2525.30908203125	1985.156982421875	431.5155029296875
sub-017	ses-01	402.0623779296875	348.0	241.3139038085937	720.4769287109375	286.2752990722656
sub-017	ses-02	120.81126403808594	118.0	93.76670837402344	360.5679321289063	107.67391204833984
sub-017	ses-02	98.26856231689452	198.0	2304.25830078125	139.42385864257812	96.01348114013672
sub-017	ses-02	334.1531677246094	292.0	196.36119079589844	591.6228637695312	240.52783203125
sub-018	ses-01	125.4142608642578	99.0	114.45240020751952	384.14154052734375	103.76344299316406
sub-018	ses-01	86.03315734863281	168.0	2300.800048828125	123.17951202392578	82.92466735839844
sub-018	ses-01	401.1767883300781	340.0	249.8437042236328	732.0093383789062	280.8740539550781
sub-018	ses-01	107.6371612548828	103.0	91.48966217041016	345.5348205566406	94.60167694091795
sub-018	ses-01	63.64304733276367	126.0	2305.26806640625	114.07577514648438	60.87961196899414
sub-019	ses-01	120.93321990966795	100.0	104.11492156982422	390.2602233886719	106.17556762695312
sub-019	ses-01	801.29638671875	2138.0	2838.1884765625	2438.9189453125	711.5636596679688
