subject	session	run	nifti	n_diffusion	unique_bvals	top_mean_length	top_axis_flipped	top_axis_permutation	top_axis_basis	suggestion_class	identity_mean_length	identity_rank	delta_best_minus_identity	n_table_rows_parsed
sub-042	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-042/ses-01/dwi/sub-042_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	76.89	2	(1, 0, 2)	scanner	axis_flip_and_swap	58.33	12	18.560000000000002	48
sub-043	ses-02	run-03	/lustre07/scratch/alexrees/bids/sub-043/ses-02/dwi/sub-043_ses-02_run-03_dwi.nii.gz	365	0,1000,2000	17.51	0	(2, 0, 1)	image	axis_flip_and_swap	12.51	42	5.000000000000002	48
sub-043	ses-02	run-04	/lustre07/scratch/alexrees/bids/sub-043/ses-02/dwi/sub-043_ses-02_run-04_dwi.nii.gz	365	0,1000,2000	36.3	1	(1, 0, 2)	image	axis_flip_and_swap	25.25	19	11.049999999999997	48
sub-044	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-044/ses-02/dwi/sub-044_ses-02_run-02_dwi.nii.gz	365	0,1000,2000	43.81	1	(0, 1, 2)	image	axis_flip	36.19	15	7.6200000000000045	48
sub-045	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-045/ses-01/dwi/sub-045_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	19.44	1	(1, 2, 0)	scanner	axis_flip_and_swap	18.58	1	0.860000000000003	48
sub-046	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-046/ses-01/dwi/sub-046_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	18.58	2	(0, 2, 1)	image	axis_flip_and_swap	16.87	5	1.7099999999999973	48
sub-046	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-046/ses-02/dwi/sub-046_ses-02_run-02_dwi.nii.gz	365	0,1000,2000	19.95	0	(2, 0, 1)	scanner	axis_flip_and_swap	10.61	45	9.34	48
sub-047	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-047/ses-01/dwi/sub-047_ses-01_run-02_dwi.nii.gz	104	0,1000,2000	43.84	1	(1, 2, 0)	scanner	axis_flip_and_swap	43.36	1	0.480000000000004	48
sub-047	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-047/ses-02/dwi/sub-047_ses-02_run-02_dwi.nii.gz	365	0,1000,2000	69.45	2	(0, 1, 2)	scanner	axis_flip	55.2	18	14.25	48
sub-048	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-048/ses-01/dwi/sub-048_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	47.33	0	(0, 2, 1)	image	axis_flip_and_swap	41.08	13	6.25	48
