dimension	lr_coefficient	abs_lr_coefficient	permutation_importance_mean	permutation_importance_std
36	0.07883479185244908	0.07883479185244908	0.0	0.0
37	-0.4366684669968392	0.4366684669968392	0.0	0.0
66	0.13760475724639584	0.13760475724639584	0.0	0.0
65	0.10286548295251485	0.10286548295251485	0.0	0.0
1	-0.08671076131193224	0.08671076131193224	0.0	0.0
63	-0.1272372129093336	0.1272372129093336	0.0	0.0
61	-0.318154948737729	0.318154948737729	0.0	0.0
60	-0.010432477689678971	0.010432477689678971	0.0	0.0
59	0.07796303754797351	0.07796303754797351	0.0	0.0
58	0.06374087730596736	0.06374087730596736	0.0	0.0
57	-0.14911963603606998	0.14911963603606998	0.0	0.0
56	0.00989171189818305	0.00989171189818305	0.0	0.0
55	-0.39602415672684016	0.39602415672684016	0.0	0.0
54	-0.01327073242573301	0.01327073242573301	0.0	0.0
53	0.13630195051966218	0.13630195051966218	0.0	0.0
52	-0.16393817316708167	0.16393817316708167	0.0	0.0
50	0.12559525580285055	0.12559525580285055	0.0	0.0
49	0.07371001399297732	0.07371001399297732	0.0	0.0
48	-0.0987197784092528	0.0987197784092528	0.0	0.0
47	-0.21869376993163192	0.21869376993163192	0.0	0.0
46	0.06480418076727192	0.06480418076727192	0.0	0.0
45	-0.34977020808076864	0.34977020808076864	0.0	0.0
44	0.08601166520746491	0.08601166520746491	0.0	0.0
43	-0.21307299355544437	0.21307299355544437	0.0	0.0
42	0.012779910648864948	0.012779910648864948	0.0	0.0
41	-0.11220475049845664	0.11220475049845664	0.0	0.0
38	-0.1764285973229903	0.1764285973229903	0.0	0.0
127	-0.030104976387680272	0.030104976387680272	0.0	0.0
