participant_id	session_id	task	bids_run	matlab_run_id	stimulus_name	eye	mapping_confidence	mapping_method	ProtocolName	SeriesNumber
sub-013	ses-01	movie	07	4	Movie2B.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie4_AP	35
sub-013	ses-01	movie	05	3	Movie1B.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie3_AP	31
sub-013	ses-01	movie	03	2	Movie2A.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie2_AP	27
sub-013	ses-01	movie	01	1	Movie1A.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie1_AP	23
sub-014	ses-01	movie	01	1	Movie1A.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie1_AP	23
sub-014	ses-01	movie	03	2	Movie2A.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie2_AP	27
sub-014	ses-01	movie	05	3	Movie1B.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie3_AP	35
sub-014	ses-01	movie	07	4	Movie2B.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie4_AP	39
sub-015	ses-01	movie	03	2	Movie2A.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie2_AP	27
sub-015	ses-01	movie	01	1	Movie1A.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie1_AP	23
sub-015	ses-01	movie	07	4	Movie2B.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie4_AP	39
sub-015	ses-01	movie	05	3	Movie1B.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie3_AP	35
sub-015	ses-02	movie	07	4	Movie2B.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie4_AP	39
sub-015	ses-02	movie	05	3	Movie1B.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie3_AP	35
sub-015	ses-02	movie	03	2	Movie2A.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie2_AP	27
sub-015	ses-02	movie	01	1	Movie1A.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie1_AP	23
sub-016	ses-01	movie	07	4	Movie2B.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie4_AP	39
sub-016	ses-01	movie	05	3	Movie1B.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie3_AP	35
sub-016	ses-01	movie	03	2	Movie2A.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie2_AP	31
sub-016	ses-01	movie	01	1	Movie1A.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie1_AP	27
sub-016	ses-02	movie	03	2	Movie2A.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie2_AP	35
sub-016	ses-02	movie	01	1	Movie1A.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie1_AP	27
sub-016	ses-02	movie	07	4	Movie2B.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie4_AP	43
sub-016	ses-02	movie	05	3	Movie1B.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie3_AP	39
sub-017	ses-01	movie	03	2	Movie2A.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie2_AP	31
sub-017	ses-01	movie	01	1	Movie1A.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie1_AP	27
sub-017	ses-01	movie	07	4	Movie2B.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie4_AP	39
sub-017	ses-01	movie	05	3	Movie1B.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie3_AP	35
sub-017	ses-02	movie	03	2	Movie2A.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie2_AP	31
sub-017	ses-02	movie	01	1	Movie1A.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie1_AP	23
sub-017	ses-02	movie	07	4	Movie2B.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie4_AP	39
sub-017	ses-02	movie	05	3	Movie1B.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie3_AP	35
sub-018	ses-01	movie	03	2	Movie2A.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie2_AP	31
sub-018	ses-01	movie	01	1	Movie1A.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie1_AP	27
sub-018	ses-01	movie	07	4	Movie2B.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie4_AP	39
sub-018	ses-01	movie	05	3	Movie1B.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie3_AP	35
sub-019	ses-01	movie	01	1	Movie1A.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie1_AP	23
sub-019	ses-01	movie	03	2	Movie2A.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie2_AP	27
sub-019	ses-01	movie	05	3	Movie1B.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie3_AP	35
sub-019	ses-01	movie	07	4	Movie2B.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie4_AP	39
sub-019	ses-02	movie	01	1	Movie1A.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie1_AP	27
sub-019	ses-02	movie	03	2	Movie2A.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie2_AP	31
sub-019	ses-02	movie	05	3	Movie1B.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie3_AP	35
sub-019	ses-02	movie	07	4	Movie2B.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie4_AP	39
sub-020	ses-01	movie	03	2	Movie2A.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie2_AP	27
sub-020	ses-01	movie	01	1	Movie1A.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie1_AP	23
sub-020	ses-01	movie	07	4	Movie2B.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie4_AP	39
sub-020	ses-01	movie	05	3	Movie1B.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie3_AP	35
sub-021	ses-01	movie	05	3	Movie1B.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie3_AP	35
sub-021	ses-01	movie	07	4	Movie2B.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie4_AP	39
sub-021	ses-01	movie	01	1	Movie1A.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie1_AP	23
sub-021	ses-01	movie	03	2	Movie2A.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie2_AP	31
sub-021	ses-02	movie	03	2	Movie2A.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie2_AP	32
sub-021	ses-02	movie	01	1	Movie1A.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie1_AP	28
sub-021	ses-02	movie	07	4	Movie2B.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie4_AP	40
sub-021	ses-02	movie	05	3	Movie1B.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie3_AP	36
sub-022	ses-01	movie	05	3	Movie1B.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie3_AP	35
sub-022	ses-01	movie	07	4	Movie2B.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie4_AP	39
sub-022	ses-01	movie	01	1	Movie1A.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie1_AP	23
sub-022	ses-01	movie	03	2	Movie2A.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie2_AP	31
sub-022	ses-02	movie	03	2	Movie2A.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie2_AP	31
sub-022	ses-02	movie	01	1	Movie1A.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie1_AP	27
sub-022	ses-02	movie	07	4	Movie2B.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie4_AP	39
sub-022	ses-02	movie	05	3	Movie1B.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie3_AP	35
sub-023	ses-01	movie	05	3	Movie1B.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie3_AP	39
sub-023	ses-01	movie	07	4	Movie2B.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie4_AP	43
sub-023	ses-01	movie	01	1	Movie1A.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie1_AP	27
sub-023	ses-01	movie	03	2	Movie2A.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie2_AP	31
