participant	session	fmri_number	matlab_source_basename	matlab_sha256	bold_target	events_source	selected_run	status
sub-038	ses-02	3	September-08-2024_10-28-13_AM__scan_info_for_subject_SUBC039-SESSION2__selected_run_is_2__fmri_number_is3.mat	9b601a59333a29d4	sub-038_ses-02_task-fmri_run-04_bold.nii.gz	sub-038_ses-02_task-fmri_run-04_desc-matlabFMRI3_events.tsv	04	INTEGRATED
sub-040	ses-01	1	March-21-2024_ 4-03-38_PM__scan_info_for_subject_SUBC41__selected_run_is_1__fmri_number_is1.mat	8619d23129a867a8	sub-040_ses-01_task-fmri_run-07_bold.nii.gz	sub-040_ses-01_task-fmri_run-07_desc-matlabFMRI1_events.tsv	07	INTEGRATED
sub-040	ses-01	1	March-21-2024_ 4-13-11_PM__scan_info_for_subject_subc41__selected_run_is_1__fmri_number_is1.mat	4c9e16f4f0559700	sub-040_ses-01_task-fmri_run-09_bold.nii.gz	sub-040_ses-01_task-fmri_run-09_desc-matlabFMRI1_events.tsv	09	INTEGRATED
sub-041	ses-01	1	May-06-2024_ 9-55-43_AM__scan_info_for_subject_SUBC42__selected_run_is_1__fmri_number_is1.mat	2bba46d5f2d543f0	sub-041_ses-01_task-fmri_run-09_bold.nii.gz	sub-041_ses-01_task-fmri_run-09_desc-matlabFMRI1_events.tsv	09	INTEGRATED
sub-043	ses-02	2	February-19-2025_ 2-35-20_PM__scan_info_for_subject_SUBC44_Session02_2025FEB19__selected_run_is_4__fmri_number_is2.mat	ec9b4b61a6f90aef	sub-043_ses-02_task-fmri_run-12_bold.nii.gz	sub-043_ses-02_task-fmri_run-12_desc-matlabFMRI2_events.tsv	12	INTEGRATED
sub-043	ses-02	3	February-19-2025_ 2-40-19_PM__scan_info_for_subject_SUBC44_Session02_2025FEB19__selected_run_is_2__fmri_number_is3.mat	2721b07525e7947c	sub-043_ses-02_task-fmri_run-02_bold.nii.gz	sub-043_ses-02_task-fmri_run-02_desc-matlabFMRI3_events.tsv	02	INTEGRATED
sub-043	ses-02	4	February-19-2025_ 2-44-31_PM__scan_info_for_subject_SUBC44_Session02_2025FEB19__selected_run_is_5__fmri_number_is4.mat	d628382daa1ca4e2	sub-043_ses-02_task-fmri_run-06_bold.nii.gz	sub-043_ses-02_task-fmri_run-06_desc-matlabFMRI4_events.tsv	06	INTEGRATED
sub-046	ses-01	1	August-27-2024_11-42-15_AM__scan_info_for_subject_SUBC47-SCAN1-AUG27__selected_run_is_1__fmri_number_is1.mat	8e2c62cca3be2202	sub-046_ses-01_task-fmri_run-07_bold.nii.gz		07	REVIEW
sub-061	ses-01	1	August-13-2025_ 3-59-48_PM__scan_info_for_subject_SUBON06_SESSION01_2025AUG13__selected_run_is_1__fmri_number_is1.mat	c5f1e9533c079351	sub-061_ses-01_task-fmri_run-07_bold.nii.gz	sub-061_ses-01_task-fmri_run-01_desc-matlabFMRI1_events.tsv	07	INTEGRATED
sub-083	ses-01	1	March-14-2025_11-46-06_AM__scan_info_for_subject_SUBG18_SESSION01__selected_run_is_1__fmri_number_is1.mat	15cdfac4e3d76c44	sub-083_ses-01_task-fmri_run-09_bold.nii.gz	sub-083_ses-01_task-fmri_run-01_desc-matlabFMRI1_events.tsv	09	INTEGRATED
