bids_root	relative_bold	n_volumes	TR	scan_duration_s	mp4_duration_s	events_duration_s	duration_capped_to_scan	tsv_rewritten
/lustre07/scratch/alexrees/bids	sub-012/ses-01/func/sub-012_ses-01_task-movie_run-05_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-012/ses-01/func/sub-012_ses-01_task-movie_run-07_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-012/ses-02/func/sub-012_ses-02_task-movie_run-01_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-012/ses-02/func/sub-012_ses-02_task-movie_run-03_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-012/ses-02/func/sub-012_ses-02_task-movie_run-05_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-012/ses-02/func/sub-012_ses-02_task-movie_run-07_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-013/ses-01/func/sub-013_ses-01_task-movie_run-01_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-013/ses-01/func/sub-013_ses-01_task-movie_run-03_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-013/ses-01/func/sub-013_ses-01_task-movie_run-05_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-013/ses-01/func/sub-013_ses-01_task-movie_run-07_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-014/ses-01/func/sub-014_ses-01_task-movie_run-01_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-014/ses-01/func/sub-014_ses-01_task-movie_run-03_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-014/ses-01/func/sub-014_ses-01_task-movie_run-05_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-014/ses-01/func/sub-014_ses-01_task-movie_run-07_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-015/ses-01/func/sub-015_ses-01_task-movie_run-01_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-015/ses-01/func/sub-015_ses-01_task-movie_run-03_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-015/ses-01/func/sub-015_ses-01_task-movie_run-05_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-015/ses-01/func/sub-015_ses-01_task-movie_run-07_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-015/ses-02/func/sub-015_ses-02_task-movie_run-01_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-015/ses-02/func/sub-015_ses-02_task-movie_run-03_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-015/ses-02/func/sub-015_ses-02_task-movie_run-05_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-015/ses-02/func/sub-015_ses-02_task-movie_run-07_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-016/ses-01/func/sub-016_ses-01_task-movie_run-01_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-016/ses-01/func/sub-016_ses-01_task-movie_run-03_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-016/ses-01/func/sub-016_ses-01_task-movie_run-05_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-016/ses-01/func/sub-016_ses-01_task-movie_run-07_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-016/ses-02/func/sub-016_ses-02_task-movie_run-01_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-016/ses-02/func/sub-016_ses-02_task-movie_run-03_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-016/ses-02/func/sub-016_ses-02_task-movie_run-05_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-016/ses-02/func/sub-016_ses-02_task-movie_run-07_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-017/ses-01/func/sub-017_ses-01_task-movie_run-01_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-017/ses-01/func/sub-017_ses-01_task-movie_run-03_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-017/ses-01/func/sub-017_ses-01_task-movie_run-05_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-017/ses-01/func/sub-017_ses-01_task-movie_run-07_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-017/ses-02/func/sub-017_ses-02_task-movie_run-01_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-017/ses-02/func/sub-017_ses-02_task-movie_run-03_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-017/ses-02/func/sub-017_ses-02_task-movie_run-05_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-017/ses-02/func/sub-017_ses-02_task-movie_run-07_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-018/ses-01/func/sub-018_ses-01_task-movie_run-01_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-018/ses-01/func/sub-018_ses-01_task-movie_run-03_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-018/ses-01/func/sub-018_ses-01_task-movie_run-05_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-018/ses-01/func/sub-018_ses-01_task-movie_run-07_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-019/ses-01/func/sub-019_ses-01_task-movie_run-01_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-019/ses-01/func/sub-019_ses-01_task-movie_run-03_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-019/ses-01/func/sub-019_ses-01_task-movie_run-05_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-019/ses-01/func/sub-019_ses-01_task-movie_run-07_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-019/ses-02/func/sub-019_ses-02_task-movie_run-01_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-019/ses-02/func/sub-019_ses-02_task-movie_run-03_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-019/ses-02/func/sub-019_ses-02_task-movie_run-05_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-019/ses-02/func/sub-019_ses-02_task-movie_run-07_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-020/ses-01/func/sub-020_ses-01_task-movie_run-01_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-020/ses-01/func/sub-020_ses-01_task-movie_run-03_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-020/ses-01/func/sub-020_ses-01_task-movie_run-05_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-020/ses-01/func/sub-020_ses-01_task-movie_run-07_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-021/ses-01/func/sub-021_ses-01_task-movie_run-01_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-021/ses-01/func/sub-021_ses-01_task-movie_run-03_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-021/ses-01/func/sub-021_ses-01_task-movie_run-05_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-021/ses-01/func/sub-021_ses-01_task-movie_run-07_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-021/ses-02/func/sub-021_ses-02_task-movie_run-01_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-021/ses-02/func/sub-021_ses-02_task-movie_run-03_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-021/ses-02/func/sub-021_ses-02_task-movie_run-05_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-021/ses-02/func/sub-021_ses-02_task-movie_run-07_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-022/ses-01/func/sub-022_ses-01_task-movie_run-01_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-022/ses-01/func/sub-022_ses-01_task-movie_run-03_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-022/ses-01/func/sub-022_ses-01_task-movie_run-05_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-022/ses-01/func/sub-022_ses-01_task-movie_run-07_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-022/ses-02/func/sub-022_ses-02_task-movie_run-01_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-022/ses-02/func/sub-022_ses-02_task-movie_run-03_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-022/ses-02/func/sub-022_ses-02_task-movie_run-05_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-022/ses-02/func/sub-022_ses-02_task-movie_run-07_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-023/ses-01/func/sub-023_ses-01_task-movie_run-01_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
