iqm	family	split	split_value	n	n_total	missing	missing_pct	mean	sd	median	iqr	min	max	p01	p99	variance	zero_variance	near_zero_variance
summary_csf_k	intensity_summary	cohort	Glaucoma	74	74	0	0.0	-0.29268783783783786	0.741485811935812	-0.5943	0.62185	-1.0507	2.0078	-1.017558	1.8964749999999995	0.5498012093021104	False	False
summary_csf_k	intensity_summary	cohort	Data_ON	21	21	0	0.0	-0.01925714285714286	1.399038558643552	-0.6696	0.8655999999999999	-0.9236	5.1372	-0.8976999999999999	4.450000000000003	1.957308888571428	False	False
summary_csf_k	intensity_summary	cohort	Data_TON	8	8	0	0.0	-0.253475	0.4946280037996809	-0.43474999999999997	0.5191749999999999	-0.6569	0.6219	-0.654387	0.604246	0.24465686214285715	False	False
summary_csf_k	intensity_summary	session	ses-01	230	230	0	0.0	-0.34736217391304347	0.7588526757529664	-0.6453	0.629925	-1.1248	5.1372	-1.105836	1.8357910000000006	0.5758573834974369	False	False
summary_csf_k	intensity_summary	session	ses-02	150	150	0	0.0	-0.3215106666666667	0.6837527890471482	-0.6135999999999999	0.7802250000000001	-1.1085	2.3282	-1.064968	1.7296149999999977	0.46751787652975396	False	False
summary_csf_mad	intensity_summary	all	all	380	380	0	0.0	8857.923493421053	14755.52012335296	180.25305	16670.171349999997	121.3147	53957.4808	136.968073	48803.73759299999	217725374.11067414	False	False
summary_csf_mad	intensity_summary	sequence_group	T1w	264	264	0	0.0	170.7260643939394	15.366862631640721	170.11174999999997	22.150949999999995	121.3147	206.5364	134.19608499999998	201.03991100000002	236.140467139716	False	False
summary_csf_mad	intensity_summary	sequence_group	WMn	116	116	0	0.0	28628.786607758622	12248.004636328362	24633.37145	21307.068225000003	8867.7762	53957.4808	9603.219105	51077.11751	150013617.57152104	False	False
summary_csf_mad	intensity_summary	cohort	Control	277	277	0	0.0	9148.929859927799	14952.294823878918	182.5785	17010.768500000002	141.752	53957.4808	145.18524	49266.86770400001	223571120.50019628	False	False
summary_csf_mad	intensity_summary	cohort	Glaucoma	74	74	0	0.0	9740.803083783785	15973.392517037471	181.9409	19846.33535	121.3147	48324.3145	127.027461	48077.0051	255149268.50334868	False	False
summary_csf_mad	intensity_summary	cohort	Data_ON	21	21	0	0.0	3166.478428571428	5634.808635392102	166.5969	32.8356	142.8959	17362.7572	145.53112000000002	16380.385740000003	31751068.357489396	False	False
summary_csf_mad	intensity_summary	cohort	Data_TON	8	8	0	0.0	5555.2351375	10019.446510911044	161.05475	5124.729175	143.5438	22917.8081	143.745687	22755.358792	100389308.38500749	False	False
summary_csf_mad	intensity_summary	session	ses-01	230	230	0	0.0	8124.023650434783	13879.082769827171	179.0891	13974.229425000001	121.3147	48935.6702	137.27139200000002	47872.16897600001	192628938.5317135	False	False
summary_csf_mad	intensity_summary	session	ses-02	150	150	0	0.0	9983.236586	15989.102909437863	181.29095	17973.51125	129.1404	53957.4808	136.430303	50772.53442599999	255651411.8485943	False	False
summary_csf_mean	intensity_summary	all	all	380	380	0	0.0	12120.116438947369	19882.959600759863	442.61065	21581.55775	321.701	73296.0323	333.88813600000003	67838.23752299999	395332082.48544884	False	False
summary_csf_mean	intensity_summary	sequence_group	T1w	264	264	0	0.0	416.85662992424244	43.93430482289354	414.2333	60.411974999999984	321.701	532.0685	330.432994	518.446618	1930.2231402709263	False	False
summary_csf_mean	intensity_summary	sequence_group	WMn	116	116	0	0.0	38755.12152155173	16518.27064974037	34949.606700000004	29610.026625	12059.8334	73296.0323	12451.02417	69199.218075	272853265.25807416	False	False
summary_csf_mean	intensity_summary	cohort	Control	277	277	0	0.0	12379.424150180505	20027.830812670014	444.676	21845.1036	321.701	73296.0323	330.43998799999997	68690.64674400001	401114007.0609344	False	False
summary_csf_mean	intensity_summary	cohort	Glaucoma	74	74	0	0.0	13582.506063513514	21770.106912825908	432.18395	28832.471999999998	342.9806	67648.9275	346.86551399999996	64413.20271899998	473937554.9958704	False	False
summary_csf_mean	intensity_summary	cohort	Data_ON	21	21	0	0.0	4849.252014285714	8641.67449795902	409.507	104.19	352.3437	28753.2185	354.43324	27271.724620000005	74678538.1286753	False	False
summary_csf_mean	intensity_summary	cohort	Data_TON	8	8	0	0.0	8700.502025	15361.246632519253	495.3807	7348.6307	407.0054	37114.6294	410.666771	36591.376474	235967898.1050841	False	False
summary_csf_mean	intensity_summary	session	ses-01	230	230	0	0.0	11291.484847826088	19090.39687293643	441.6601	20111.614675	321.701	73296.0323	331.81557599999996	68288.97567300001	364443252.7662211	False	False
summary_csf_mean	intensity_summary	session	ses-02	150	150	0	0.0	13390.684878666667	21042.188013407012	445.1115	24349.798150000002	330.4529	69210.5949	334.866029	64607.354088	442773676.3915698	False	False
