	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_2	rpve_csf	rpve_gm	rpve_wm	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
icvs_wm	0.47283738063796166	-0.6385672257817605	0.1623496217114908	-0.45172674842080124	-0.16827030675330418	-0.23760699149724754	-0.1838017385709528	-0.05396163748971159	-0.5828006761090161	-0.8268243362757335	1.0	0.4511697705249068	-0.307647029875092	-0.0006964030316594215	-0.17544500122864595	-0.1800969020768659	-0.1979722826718813	-0.6767400948006754	-0.8443110539355531	-0.5958827679026939	0.24625020140821793	-0.052319112664805614	-0.1834648925671361	-0.10626492557387525	0.03125429186614921	0.05736585349557171	0.029463310118551748	0.1540287967725027	0.029463306051227718	0.16415569801187901	0.16716404896450837	0.13512312166409776	-0.005154208358526959	-0.01841888387630836	-0.021420262593464023	-0.3156930337074407	0.034004959672477277	0.09745627156123689	0.005645490957892278	0.02618899307545703	-0.0621208542546065	-0.06521437142915251	-0.4801951899748124	-0.0017357544953201986	0.069686568999311	-0.09749141254631048	0.06604177850343576	-0.014663506359782386	0.09099254322987013	-0.06979536444675402	-0.06778742717228016	-0.11744297634736907	-0.7509266939947179	-0.6250153134364409	-0.0321192699988431
inu_med	0.30545550749952305	-0.3769675045909173	0.39191246924157747	-0.31904612006729016	0.04822482642050076	-0.0723429836508706	0.03985219116686762	0.15760941154612648	-0.2120211818670935	-0.4082835659905793	0.4511697705249068	1.0	0.3011495170564137	0.09691418840406522	-0.15982333140544386	-0.16035456821855476	-0.1730811567288266	-0.6091050452767902	-0.41265506825778653	-0.35550336764489676	0.25388433227713464	-0.36612675543697437	-0.45922325128720404	-0.40293910205606476	-0.1153554965285839	-0.13379501104899116	0.005706385116891147	0.011912257186257002	0.0057063829473255135	0.003981157100657195	0.044223593995754734	0.2928794678540628	-0.21474332635895577	-0.30706950254552706	-0.3134505020293275	-0.45398631354821667	-0.2687932779046797	-0.2059571048327772	-0.06171660381477673	-0.32122800634048443	-0.3577750072484613	-0.3557111843832034	-0.563026086165302	-0.33385592503368844	-0.26576591399847715	-0.4396568265343832	-0.07074386558675211	-0.2302305709540458	-0.06419441307042643	-0.2939497593274208	-0.29533927833095275	-0.03415840349580625	-0.4067547880926031	-0.1650754061374531	-0.1395944125873314
inu_range	0.33033812180048205	-0.19700559426801373	0.16100849534722775	0.25022220696083214	0.5989881925092013	0.5432883169567025	0.6159559422466401	0.5083864826859127	0.20080262749767294	0.23948463063551786	-0.307647029875092	0.3011495170564137	1.0	0.29108222391023064	0.07459968234692745	0.06674011779920401	0.06363470007066059	0.24264069548051065	0.4056885661318562	0.5156577819650932	0.4501584444321442	0.13174430125661568	0.10851821122741155	0.15844289236563389	0.48443415320741207	-0.04807355783844933	-0.13187186102650914	-0.24660713743055446	-0.13187185636120796	-0.27841216649189576	-0.11244446976041267	0.3832733539519198	-0.33921199842462646	-0.34250729999218793	-0.33871684053993056	-0.10531590638201452	-0.37260137833736734	-0.37991884787044033	0.011934738321920161	-0.42713658031354634	-0.34539107507770966	-0.3387321501254644	-0.06643257083050678	-0.37403204694988174	-0.38128419646887	-0.44600104259314927	0.08138878067999093	-0.034879652297344736	0.14153004400287697	-0.14420013760572248	-0.15408040134745307	0.11212538976045897	0.17339427289166726	0.5106922281484616	0.3622893244791937
qi_2	0.009696817573597416	-0.11384254177424945	0.17283951332691752	-6.0506594803764707e-05	0.09763769936164127	0.058390360527044584	0.20497820564967054	0.011944253774853364	0.06705803761535284	-0.04555820952936975	-0.0006964030316594215	0.09691418840406522	0.29108222391023064	1.0	-0.15897421141067958	-0.1593965939304325	-0.16012835706714118	0.005013795357177411	-0.020809822242018484	-0.01039876128308051	-0.005871980363965244	0.07339091248229229	0.04391102642183139	0.06199304404139806	0.05528601351274758	0.48437225786013843	-0.08406220135198965	0.08989270140694544	-0.08406219805439173	-0.024127395305341654	0.5602234528267528	0.19906938966166673	-0.0851564010548209	-0.04144842162553437	-0.041521906776696045	-0.04810571828313894	-0.04506454833592143	-0.038517155213877254	-0.0859792571875651	-0.04699658501626349	-0.052885565201569625	-0.05580364096814779	-0.06701848322810715	-0.04896224441720544	-0.04338074057966324	0.0057413521723562524	-0.04624724549783463	-0.07704770678504592	-0.08741632369589568	-0.05954869298964818	-0.05757932945627404	-0.0765114676360682	-0.05523993771739484	0.02123124973598362	-0.0823219968897123
rpve_csf	0.1809146814877497	0.12830502207353528	-0.5181546344474307	0.18836086925330864	-0.12077477911095964	-0.06614705696865496	-0.08574333275906973	-0.17903416527388	-0.3884871146682523	0.4847307527742745	-0.17544500122864595	-0.15982333140544386	0.07459968234692745	-0.15897421141067958	1.0	0.9997394873823251	0.9991276806608944	0.028677824125606762	0.44744251110770383	0.34858033597429444	0.2598237431190265	-0.053873559574204484	0.0545987101018751	0.01657534436863871	0.22260724527108713	-0.06726193010539303	-0.05011895318630755	-0.24461987744563582	-0.050118957092195215	-0.27930240236047527	-0.29412176167149495	-0.3420574751675009	-0.04151109621899966	-0.182529500071375	-0.1750914403015573	-0.2249205284825022	-0.1825874915459432	-0.1742708238072055	0.16554213091068562	-0.1107600190826476	-0.08309478171043136	-0.08376380641554276	0.31098368116503144	-0.10805326536794975	-0.15328260199025515	-0.08115391314958989	0.024127821771375298	-0.012196770662056702	0.04754240014098741	-0.05045247149879215	-0.052642050020492256	0.4481646693420149	0.44582118336236465	0.08390713617717394	0.30397657063559513
rpve_gm	0.16571219753752037	0.14611654327049928	-0.5222387895751832	0.18855924428563628	-0.12391675800762407	-0.06862824180867934	-0.08649805897146784	-0.18438299874995198	-0.38719486544542137	0.4895591517276926	-0.1800969020768659	-0.16035456821855476	0.06674011779920401	-0.1593965939304325	0.9997394873823251	1.0	0.999663607960935	0.023106632956051688	0.44980299860469736	0.3407967166438594	0.24626412873134215	-0.05457321609257492	0.055911169305311544	0.015631417637398965	0.20921915799905783	-0.06285711160604196	-0.05196249229010201	-0.24525077777765808	-0.0519624962253	-0.27944381941138163	-0.2933136607648743	-0.35223510458255725	-0.03708471242443957	-0.1800176179092601	-0.17278067681448678	-0.22412366493696873	-0.17967917127536948	-0.17122307711319645	0.15716527142163503	-0.10513059408127297	-0.07966819849636668	-0.0805654888227724	0.31823570226530384	-0.10485901936713513	-0.15086833121831145	-0.06882576451467505	0.014137865124193173	-0.020074088787060525	0.03564486633130168	-0.05479955097391383	-0.05675308525672245	0.4450844614891297	0.45000176069419806	0.07659035559549944	0.2875406388803745
rpve_wm	0.1468524494376115	0.16731623034952187	-0.5277358196382154	0.19531470947266494	-0.12385401102617065	-0.06605795461366026	-0.08482985255853298	-0.1881726609787686	-0.36890673605677926	0.49889140787786546	-0.1979722826718813	-0.1730811567288266	0.06363470007066059	-0.16012835706714118	0.9991276806608944	0.999663607960935	1.0	0.0390663199657817	0.46233453454798057	0.34693579464282615	0.23110345623574616	-0.05049115420256775	0.06081076693427185	0.01908535184018981	0.19980792393229294	-0.062013780052187016	-0.05384295718308485	-0.2475659047784498	-0.0538429611689564	-0.2812205779234126	-0.29595186543609653	-0.3557261906769743	-0.034189460312288034	-0.17518731406058008	-0.1681781110710359	-0.20944424196457467	-0.17607877610394024	-0.16968902826253987	0.14846271852334236	-0.10071231942086944	-0.07545647773684724	-0.07651016525471183	0.3308013694908486	-0.10169673840171624	-0.14938926674627864	-0.056940597223121205	0.004959472206277004	-0.02537469936310986	0.024775606265159504	-0.05623030994513669	-0.0579767569561624	0.43755022029381274	0.45993899369262403	0.08487118939048513	0.27612614761518944
snr_csf	-0.1567757048905986	0.305170147959018	-0.19479418476472332	0.4042665816975668	0.26952433035889867	0.32846028573751296	0.23891384734244325	0.18714193904451354	0.6519916098206283	0.3812535739552974	-0.6767400948006754	-0.6091050452767902	0.24264069548051065	0.005013795357177411	0.028677824125606762	0.023106632956051688	0.0390663199657817	1.0	0.6671243466117194	0.781001085590397	0.013912820765562356	0.30740286191104016	0.3139927508441131	0.3215295625100533	0.2714450746790647	-0.09730583573324963	-0.07572954881485239	-0.18697579634794156	-0.07572954838792627	-0.18519146557187385	-0.18101344329000477	0.10483118696028403	-0.18771668074561562	0.009672685093580135	0.015412747708254631	0.573008572679127	-0.06878873300806064	-0.16528362769852034	-0.009990886542770878	-0.10908903804836974	-0.008354533294528056	-0.0052448372585385565	0.4117492257897749	-0.05627276534844658	-0.1197005953610681	0.01576439415281265	0.03977415792723279	0.07220992904623108	0.05154157550586641	0.0661471536225509	0.06207497699964979	-0.1211723688761579	0.3904942386004069	0.6421360240268909	0.2878982543877766
snr_gm	-0.16844814362183916	0.5335757338342035	-0.3349302535103194	0.44583808628259824	0.19864787638819553	0.2628620544674861	0.22316044888130462	0.07419513557814875	0.3007936529858664	0.8304874656902073	-0.8443110539355531	-0.41265506825778653	0.4056885661318562	-0.020809822242018484	0.44744251110770383	0.44980299860469736	0.46233453454798057	0.6671243466117194	1.0	0.831051832352942	0.10566570651760687	0.0796495717667908	0.21044126383450262	0.15372597384919232	0.21255773495417235	-0.07309046565941323	-0.15517174769224154	-0.3793891106587778	-0.15517174332002345	-0.39471914425820176	-0.3577815224595255	-0.10682895866869749	-0.19905297766243102	-0.21624420252771084	-0.20903641634805326	0.1622372110802988	-0.27129995947153523	-0.3302360249829627	-0.05435517797650736	-0.2421632585106533	-0.14867263032736464	-0.14411436803404054	0.5362254728465677	-0.2167946023140744	-0.3042901129582386	0.005587597756334204	-0.09300588073072565	-0.09274751863898253	-0.06900492414109781	-0.10634257147874393	-0.11042164239638089	0.2147259184360161	0.7187687340886462	0.5837562214688174	0.30270132765060104
snr_total	0.2862895619861697	0.08077333879169318	-0.21183408458763375	0.4064669983977076	0.3417183201094519	0.3572776646859002	0.30698488239156	0.2881904842784479	0.2951197094611112	0.5287942844105418	-0.5958827679026939	-0.35550336764489676	0.5156577819650932	-0.01039876128308051	0.34858033597429444	0.3407967166438594	0.34693579464282615	0.781001085590397	0.831051832352942	1.0	0.5264100689877734	0.16649977907642757	0.21698948803179297	0.23227783163599217	0.5690700657923631	-0.13369214075444408	-0.16350161197314336	-0.4055513262798005	-0.16350161069547528	-0.43168582908554826	-0.37571114385672705	0.13220480307068644	-0.4139604739053153	-0.34374142245892414	-0.3332498378372281	0.16187066853657092	-0.4083148780339014	-0.47157276551030547	0.047484832662864275	-0.4290839404502476	-0.3119897896328095	-0.30581467907294524	0.3323586045087444	-0.36470239833538	-0.429286704291645	-0.2803192650883941	0.10926497256520025	-0.011831967927705354	0.18137872888477122	-0.13249781866964244	-0.1432742566489352	0.20154269750639975	0.5019555243374814	0.7016773002926591	0.6707037720699243
snr_wm	0.9329779008678837	-0.6664657222606817	0.07840113370334427	0.019886876670711245	0.26400766760708355	0.1746592490141977	0.19488377961394932	0.35647931708041747	-0.3104789554409225	-0.08803962781513912	0.24625020140821793	0.25388433227713464	0.4501584444321442	-0.005871980363965244	0.2598237431190265	0.24626412873134215	0.23110345623574616	0.013912820765562356	0.10566570651760687	0.5264100689877734	1.0	-0.02498366635244846	-0.056743929482477605	0.026101822402601952	0.7320983970022734	-0.11589795691614706	-0.11694540442537157	-0.2965005208366037	-0.11694540656109009	-0.33830742008565856	-0.26070495906760893	0.28819164451886875	-0.49687949195697806	-0.5216331933666697	-0.5121915789550917	-0.37672769801977685	-0.5269854589848764	-0.5080782794925548	0.1660275439546129	-0.5616611886876552	-0.5051581268807475	-0.49966086208124516	-0.23699544013992294	-0.5016501179414036	-0.4886743380307867	-0.6178558744034695	0.2884970874804721	-0.0011158449952840344	0.4062333420321228	-0.2383430953929851	-0.25318959122665674	0.3287033820054922	-0.04067268339283174	0.2773071569886319	0.8409476602759265
snrd_csf	-0.021870370144414022	0.09501025794532958	-0.2861496373365594	0.29233630719541687	0.3374260364325937	0.37299203463422315	0.4113068495247932	0.16360548033827507	0.17458751348876697	-0.056478797414886456	-0.052319112664805614	-0.36612675543697437	0.13174430125661568	0.07339091248229229	-0.053873559574204484	-0.05457321609257492	-0.05049115420256775	0.30740286191104016	0.0796495717667908	0.16649977907642757	-0.02498366635244846	1.0	0.958827101933736	0.9881936985524628	0.5452897722287642	0.23727540259721058	-0.17486711306135533	-0.20454627361359068	-0.17486710603919817	-0.17760236741473245	-0.02677948382002914	0.07332534651135195	-0.010798120410334434	0.11069776362011284	0.11364874251868388	0.28074031475875616	0.08295939217590634	0.05012783231500177	-0.1583224104839348	0.08229562644689628	0.09759223710906567	0.09545453134633887	0.2073077239185382	0.08861762484078584	0.06416183732760226	0.13888142050057342	0.01605144461279196	0.04240965448467205	-0.013150540445898747	0.06633080192092744	0.06647014918032777	-0.22777387468368554	-0.030346612010384463	-0.00484326644654784	-0.01114289509524326
snrd_gm	-0.0857499495862026	0.1868010141005617	-0.2956321864148868	0.3430429406041612	0.27836946090173964	0.329153229482751	0.35839322244106087	0.09708861356993073	0.08269877489712349	0.16846061447851135	-0.1834648925671361	-0.45922325128720404	0.10851821122741155	0.04391102642183139	0.0545987101018751	0.055911169305311544	0.06081076693427185	0.3139927508441131	0.21044126383450262	0.21698948803179297	-0.056743929482477605	0.958827101933736	1.0	0.9857162812381156	0.545829962609349	0.2568629407562847	-0.14562757890970066	-0.19123450355319233	-0.14562757100243487	-0.16988713188865692	-0.021643168556739534	-0.09762795547718629	0.0429659841625773	0.12903920244804717	0.13480831011719194	0.23177732474662147	0.1012855894362429	0.07315284920396907	-0.039684560353623714	0.13575998871180725	0.1613176747669237	0.1604155850766241	0.30088475924102165	0.14626105293115155	0.11073209541601103	0.1944590637468424	0.062156087627754236	0.10320462883125951	0.02811222503184756	0.13303036235777677	0.13281000647682248	-0.05000724540092556	0.16077881816963388	0.024928070031617545	0.03345840190430108
snrd_total	0.010718929634852128	0.08867318596424154	-0.285497605658667	0.3273124656398037	0.32971585656015723	0.3680919735257085	0.4017777632523987	0.1566365989678708	0.11280617660591208	0.05264881784786503	-0.10626492557387525	-0.40293910205606476	0.15844289236563389	0.06199304404139806	0.01657534436863871	0.015631417637398965	0.01908535184018981	0.3215295625100533	0.15372597384919232	0.23227783163599217	0.026101822402601952	0.9881936985524628	0.9857162812381156	1.0	0.6108897757027845	0.2385636340900479	-0.17388235142607236	-0.21761084245218887	-0.17388234390913468	-0.19543396794960277	-0.03788997579116414	0.015437890440327832	-0.015379973649363905	0.08853052367103786	0.0936590815860839	0.23496206235516434	0.05988694485211949	0.03023641371102596	-0.08072871745694599	0.07230334823185446	0.09866415825973628	0.09766716389918892	0.2358842807075183	0.08669221142711618	0.057871849483712726	0.11749537218797916	0.065561277148478	0.08138537500422226	0.0418410583606588	0.09195129969268157	0.09083277780064898	-0.1147741950087232	0.06594935130111602	0.03764753396593223	0.07576827296416443
snrd_wm	0.6870715190903768	-0.49645872186243967	-0.07844511101419853	0.2763636907560469	0.3722891184267184	0.34323483190853604	0.35487815793939553	0.33725325743299767	-0.15198910891418516	0.06675135112993832	0.03125429186614921	-0.1153554965285839	0.48443415320741207	0.05528601351274758	0.22260724527108713	0.20921915799905783	0.19980792393229294	0.2714450746790647	0.21255773495417235	0.5690700657923631	0.7320983970022734	0.5452897722287642	0.545829962609349	0.6108897757027845	1.0	0.02597296162700041	-0.22023503782136872	-0.31274263106755623	-0.2202350334141481	-0.3257762625240943	-0.16529463503042557	0.2487095813095979	-0.33188190219064406	-0.29409984356181884	-0.2823205704067284	-0.1392630715805809	-0.31734673798029883	-0.32054636758944793	0.2029911731624799	-0.34825006603602077	-0.2675291106804801	-0.26185823581100415	-0.055403538827472926	-0.2747947168223629	-0.2793947709885052	-0.4621976493124848	0.3356511347915536	0.15305303896386974	0.40908596439383427	-0.01792401301136649	-0.03034119341073137	0.27141256540874514	0.10567341400557057	0.3293742686899765	0.7563594223350036
