subject_id	session	sequence_group	run	mriqc_source_file	iqm	value	outlier_iqr	outlier_robust_z	robust_z	split
sub-062	ses-01	WMn	1	sub-062/ses-01/anat/sub-062_ses-01_run-01_T1w.json	fwhm_z	3.33141	True	True	4.1825020480528226	sequence_group=WMn
sub-030	ses-01	WMn	3	sub-030/ses-01/anat/sub-030_ses-01_run-03_T1w.json	icvs_csf	0.2385268335926748	True	False	-2.8060051873861127	sequence_group=WMn
sub-071	ses-01	WMn	3	sub-071/ses-01/anat/sub-071_ses-01_run-03_T1w.json	icvs_csf	0.2371960334594324	True	False	-3.0764651034815342	sequence_group=WMn
sub-014	ses-01	WMn	3	sub-014/ses-01/anat/sub-014_ses-01_run-03_T1w.json	icvs_gm	0.3616265475053652	True	True	-4.1710041226580055	sequence_group=WMn
sub-030	ses-01	WMn	3	sub-030/ses-01/anat/sub-030_ses-01_run-03_T1w.json	icvs_gm	0.3509648534128086	True	True	-5.836657415891827	sequence_group=WMn
sub-014	ses-01	WMn	3	sub-014/ses-01/anat/sub-014_ses-01_run-03_T1w.json	icvs_wm	0.3965895401450922	True	True	7.2585864972819225	sequence_group=WMn
sub-030	ses-01	WMn	3	sub-030/ses-01/anat/sub-030_ses-01_run-03_T1w.json	icvs_wm	0.4105083129945166	True	True	9.961787440767283	sequence_group=WMn
sub-048	ses-01	WMn	3	sub-048/ses-01/anat/sub-048_ses-01_run-03_T1w.json	icvs_wm	0.3765726195640727	True	False	3.371048480414224	sequence_group=WMn
sub-050	ses-01	WMn	3	sub-050/ses-01/anat/sub-050_ses-01_run-03_T1w.json	icvs_wm	0.3742280984491387	True	False	2.915712959210356	sequence_group=WMn
sub-069	ses-01	WMn	3	sub-069/ses-01/anat/sub-069_ses-01_run-03_T1w.json	icvs_wm	0.3742642460677682	True	False	2.9227332818954923	sequence_group=WMn
sub-071	ses-01	WMn	3	sub-071/ses-01/anat/sub-071_ses-01_run-03_T1w.json	icvs_wm	0.3838705705177622	True	True	4.788402446668451	sequence_group=WMn
sub-014	ses-01	WMn	3	sub-014/ses-01/anat/sub-014_ses-01_run-03_T1w.json	inu_med	1.2913764715194702	True	True	3.699859436718301	sequence_group=WMn
