path	subject	session	extension	category	size	potential BIDS destination
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/fMRI_3.mat	SUBC001	ses-01	.mat	stimulus	205	bids/stimuli/fMRI_3.mat
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/fMRI_4.mat	SUBC001	ses-01	.mat	stimulus	205	bids/stimuli/fMRI_4.mat
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/runs_random.mat	SUBC001	ses-01	.mat	stimulus	138667	bids/stimuli/runs_random.mat
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/runs_random_record_050.mat	SUBC001	ses-01	.mat	stimulus	195	bids/stimuli/runs_random_record_050.mat
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/main.m	SUBC001	ses-01	.m	stimulus	16511	bids/stimuli/main.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/presentStimParams.m	SUBC001	ses-01	.m	stimulus	3205	bids/stimuli/presentStimParams.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/3-Movie_Data/Movie1A.mp4	SUBC001	ses-01	.mp4	stimulus	183368517	bids/stimuli/Movie1A.mp4
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/3-Movie_Data/Movie1B.mp4	SUBC001	ses-01	.mp4	stimulus	181514135	bids/stimuli/Movie1B.mp4
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/3-Movie_Data/Movie2A.mp4	SUBC001	ses-01	.mp4	stimulus	178229515	bids/stimuli/Movie2A.mp4
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/3-Movie_Data/Movie2B.mp4	SUBC001	ses-01	.mp4	stimulus	173312179	bids/stimuli/Movie2B.mp4
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/3-Movie_Data/Results/May-05-2023_ 3-10-18_PM_Subject_is_050_selected_run_id_1.mat	SUBC001	ses-01	.mat	task_timing	586	bids/sub-001/ses-01/func/May-05-2023__3-10-18_PM_Subject_is_050_selected_run_id_1_events.tsv
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/3-Movie_Data/Results/May-05-2023_ 3-14-38_PM_Subject_is_050_selected_run_id_2.mat	SUBC001	ses-01	.mat	task_timing	587	bids/sub-001/ses-01/func/May-05-2023__3-14-38_PM_Subject_is_050_selected_run_id_2_events.tsv
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/3-Movie_Data/Results/May-05-2023_ 3-18-37_PM_Subject_is_050_selected_run_id_3.mat	SUBC001	ses-01	.mat	task_timing	587	bids/sub-001/ses-01/func/May-05-2023__3-18-37_PM_Subject_is_050_selected_run_id_3_events.tsv
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/3-Movie_Data/Results/May-05-2023_ 3-22-30_PM_Subject_is_050_selected_run_id_4.mat	SUBC001	ses-01	.mat	task_timing	587	bids/sub-001/ses-01/func/May-05-2023__3-22-30_PM_Subject_is_050_selected_run_id_4_events.tsv
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/3-Movie_Data/Show_movie.m	SUBC001	ses-01	.m	stimulus	4743	bids/stimuli/Show_movie.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/3-Movie_Data/main.m	SUBC001	ses-01	.m	stimulus	2901	bids/stimuli/main.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/4-resting state/main.m	SUBC001	ses-01	.m	unknown	6267	reports/associated_data/unclassified/sub-001/ses-01/main.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/1-Check_FOV_and_EyeTracking/main.m	SUBC001	ses-02	.m	eye_tracking	18044	bids/sub-001/ses-02/eyetrack/main_eyetrack.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/1-Check_FOV_and_EyeTracking/updated_main_eyetracking.m	SUBC001	ses-02	.m	eye_tracking	12568	bids/sub-001/ses-02/eyetrack/updated_main_eyetracking_eyetrack.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/CheckerFlickerSine.m	SUBC001	ses-02	.m	stimulus	6004	bids/stimuli/CheckerFlickerSine.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/CheckerFlickerSquare.m	SUBC001	ses-02	.m	stimulus	6062	bids/stimuli/CheckerFlickerSquare.m
