subject	session	runtime	memory	CPU hours	files processed	job_id	array_task_id	node	timestamp	status
SUBC057	ses-01	01:06:30	0.269G	0.8985	0	66058571	1	nc10326	2026-07-21T14:44:21.008577+00:00	failed
SUBC001	ses-02	00:33:40	0.339G	0.1366	0	66065347	1	nc10532	2026-07-21T16:57:31.817859+00:00	failed
SUBC004	ses-02	00:33:40	0.359G	0.1371	0	66065350	4	nc30515	2026-07-21T16:57:31.843897+00:00	failed
SUBC002	ses-02	00:33:40	0.341G	0.1384	0	66065348	2	nc11012	2026-07-21T16:57:31.845716+00:00	failed
SUBC006	ses-02	00:33:40	0.433G	0.1337	0	66065352	6	nc10352	2026-07-21T16:57:31.848299+00:00	failed
SUBC003	ses-02	00:33:40	0.363G	0.1353	0	66065349	3	nc30413	2026-07-21T16:57:31.849456+00:00	failed
SUBC005	ses-02	00:33:40	0.344G	0.1357	0	66065351	5	nc10336	2026-07-21T16:57:31.867805+00:00	failed
SUBC008	ses-02	00:30:23	0.320G	0.1295	0	66065558	8	nc10545	2026-07-21T16:57:31.932033+00:00	failed
SUBC007	ses-02	00:30:23	0.337G	0.1356	0	66065557	7	nc10143	2026-07-21T16:57:31.966169+00:00	failed
SUBON03	ses-01	00:38:34	0.335G	0.0919	0	66064952	2	nc31426	2026-07-21T16:57:32.116261+00:00	failed
SUBC044	ses-02	00:59:52	0.427G	0.2155	0	66065106	1	nc31225	2026-07-21T17:18:50.110635+00:00	failed
SUBC015	ses-02	00:25:52	0.373G	0.1382	0	66067461	12	nc30644	2026-07-21T17:24:23.115530+00:00	failed
SUBC012	ses-02	00:25:52	0.357G	0.1341	0	66067460	11	nc10918	2026-07-21T17:24:23.202595+00:00	failed
SUBC011	ses-02	00:25:52	0.347G	0.1349	0	66067459	10	nc10918	2026-07-21T17:24:23.209020+00:00	failed
SUBC009	ses-02	00:25:52	0.400G	0.1395	0	66067458	9	nc10450	2026-07-21T17:24:23.221310+00:00	failed
SUBC016	ses-02	00:25:52	0.335G	0.1380	0	66067462	13	nc11110	2026-07-21T17:24:23.254013+00:00	failed
SUBC017	ses-02	00:25:52	0.338G	0.1352	0	66067463	14	nc11110	2026-07-21T17:24:23.256861+00:00	failed
SUBC020	ses-02	00:25:52	0.316G	0.1363	0	66067464	15	nc11124	2026-07-21T17:24:23.388202+00:00	failed
SUBC022	ses-02	00:25:52	0.336G	0.1469	0	66067465	16	nc11124	2026-07-21T17:24:23.581817+00:00	failed
SUBC026	ses-02	00:20:08	0.321G	0.1377	0	66069055	20	nc30644	2026-07-21T17:49:00.873448+00:00	failed
SUBC027	ses-02	00:23:06	0.321G	0.1411	0	66069056	21	nc10507	2026-07-21T17:51:58.800207+00:00	failed
SUBC029	ses-02	00:23:06	0.426G	0.1409	0	66069058	23	nc10553	2026-07-21T17:51:58.801127+00:00	failed
SUBC030	ses-02	00:23:06	0.328G	0.1367	0	66069059	24	nc30412	2026-07-21T17:51:58.804108+00:00	failed
SUBC024	ses-02	00:23:06	0.329G	0.1435	0	66069053	18	nc31130	2026-07-21T17:51:58.837539+00:00	failed
SUBC028	ses-02	00:23:06	0.323G	0.1357	0	66069057	22	nc10538	2026-07-21T17:51:58.888056+00:00	failed
SUBC023	ses-02	00:24:16	0.318G	0.1385	0	66069052	17	nc31030	2026-07-21T17:53:09.019231+00:00	failed
SUBC025	ses-02	00:25:45	0.347G	0.1606	0	66069054	19	nc30640	2026-07-21T17:54:37.760150+00:00	failed
SUBC032	ses-02	00:22:49	0.320G	0.1371	0	66069876	26	nc30412	2026-07-21T18:14:54.648557+00:00	failed
SUBC031	ses-02	00:28:33	0.371G	0.1389	0	66069732	25	nc30423	2026-07-21T18:17:42.948889+00:00	failed
SUBC040	ses-02	00:25:28	0.319G	0.1361	0	66069960	31	nc31132	2026-07-21T18:20:10.517569+00:00	failed
SUBC039	ses-02	00:25:30	0.323G	0.1495	0	66069959	30	nc31130	2026-07-21T18:20:10.554635+00:00	failed
SUBC036	ses-02	00:28:04	0.394G	0.1400	0	66069878	28	nc30449	2026-07-21T18:20:10.661707+00:00	failed
SUBC037	ses-02	00:25:28	0.322G	0.1367	0	66069958	29	nc11115	2026-07-21T18:20:10.745204+00:00	failed
SUBC035	ses-02	00:28:04	0.324G	0.1361	0	66069877	27	nc30421	2026-07-21T18:20:11.426109+00:00	failed
SUBC041	ses-02	00:37:51	0.319G	0.1403	0	66070034	32	nc30450	2026-07-21T18:32:49.671426+00:00	failed
SUBC050	ses-02	00:24:34	0.274G	0.0903	28	66072003	39	nc30516	2026-07-21T18:48:08.866959+00:00	success
SUBC047	ses-02	00:27:51	0.322G	0.1353	0	66072000	36	nc10312	2026-07-21T18:51:25.815700+00:00	failed
SUBC048	ses-02	00:27:51	0.319G	0.1427	0	66072001	37	nc10348	2026-07-21T18:51:25.843222+00:00	failed
SUBC053	ses-02	00:27:50	0.328G	0.1363	0	66072004	40	nc10109	2026-07-21T18:51:25.910113+00:00	failed
SUBC049	ses-02	00:27:50	0.314G	0.1384	0	66072002	38	nc30511	2026-07-21T18:51:25.910431+00:00	failed
SUBC045	ses-02	00:27:51	0.318G	0.1389	0	66071999	35	nc11014	2026-07-21T18:51:27.124387+00:00	failed
SUBC042	ses-02	00:52:42	0.325G	0.1388	0	66071831	33	nc10225	2026-07-21T19:11:21.353809+00:00	failed
SUBC055	ses-02	01:01:51	0.261G	0.6806	0	66073793	41	nc31137	2026-07-21T19:35:28.581975+00:00	failed
SUBG01	ses-02	01:01:00	0.331G	0.1366	0	66365572	3	nc30645	2026-07-24T15:00:10.749212+00:00	failed
SUBG02	ses-02	01:01:00	0.328G	0.1359	0	66365573	4	nc30645	2026-07-24T15:00:10.749290+00:00	failed
SUBON01	ses-02	01:01:01	0.335G	0.1357	0	66365570	1	nc30645	2026-07-24T15:00:10.749211+00:00	failed
SUBTON01	ses-02	01:00:24	0.347G	0.1358	0	66365571	2	nc30645	2026-07-24T15:00:10.749248+00:00	failed
SUBG07	ses-02	01:01:08	0.328G	0.1355	0	66365576	7	nc30646	2026-07-24T15:00:11.306662+00:00	failed
SUBG04	ses-02	01:01:08	0.332G	0.1352	0	66365575	6	nc30646	2026-07-24T15:00:11.307308+00:00	failed
SUBG08	ses-02	01:00:56	0.328G	0.1365	0	66365577	8	nc30646	2026-07-24T15:00:11.307350+00:00	failed
SUBG03	ses-02	01:19:33	0.347G	0.2602	0	66365574	5	nc30645	2026-07-24T15:18:43.146224+00:00	failed
SUBG13	ses-02	00:25:18	0.259G	0.0617	21	66369380	10	nc10210	2026-07-24T15:31:28.609952+00:00	success
SUBG09	ses-02	00:35:27	0.329G	0.1360	0	66369379	9	nc10208	2026-07-24T15:41:37.967271+00:00	failed
