subject	session	series_uid	file_source	n_files	resolution_time_seconds	validation_performed	conversion_time_seconds
sub-003	ses-01	1.3.12.2.1107.5.2.43.166092.2023051913132258675400007.0.0.0	bids_plan+inventory	3	0.8793	true	1.9776
sub-003	ses-01	1.3.12.2.1107.5.2.43.166092.2023051913152399289400347.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-003	ses-01	1.3.12.2.1107.5.2.43.166092.2023051913194638664881168.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-003	ses-01	1.3.12.2.1107.5.2.43.166092.202305191323364913261989.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-003	ses-01	1.3.12.2.1107.5.2.43.166092.202305191324426551969474.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-003	ses-01	1.3.12.2.1107.5.2.43.166092.2023051913285498779650295.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-003	ses-01	1.3.12.2.1107.5.2.43.166092.2023051913335446266731116.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-003	ses-01	1.3.12.2.1107.5.2.43.166092.2023051913375689690806241.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-003	ses-01	1.3.12.2.1107.5.2.43.166092.2023051913412899585781366.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-003	ses-01	1.3.12.2.1107.5.2.43.166092.2023051913455728457056491.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-003	ses-01	1.3.12.2.1107.5.2.43.166092.2023051913495585601031616.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-003	ses-01	1.3.12.2.1107.5.2.43.166092.2023051913591371087646629.0.0.0	bids_plan+inventory	3	0.4362	true	1.4163
sub-003	ses-01	1.3.12.2.1107.5.2.43.166092.2023051914080762240648540.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-003	ses-01	1.3.12.2.1107.5.2.43.166092.2023051914111460627056025.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-003	ses-01	1.3.12.2.1107.5.2.43.166092.2023051914361619220003903.0.0.0	bids_plan+inventory	150	5.6975	true	10.0957
sub-003	ses-01	1.3.12.2.1107.5.2.43.166092.2023051914381681118508042.0.0.0	bids_plan+inventory	32	1.2795	true	3.5674
sub-003	ses-01	1.3.12.2.1107.5.2.43.166092.2023051914381681118608043.0.0.0	bids_plan+inventory	32	1.3964	true	2.2419
sub-003	ses-01	1.3.12.2.1107.5.2.43.166092.2023051914381681118808045.0.0.0	bids_plan+inventory	32	1.4608	true	15.5975
sub-003	ses-01	1.3.12.2.1107.5.2.43.166092.2023051914381681118908046.0.0.0	bids_plan+inventory	32	1.2687	true	2.2483
sub-003	ses-01	1.3.12.2.1107.5.2.43.166092.2023051914381681119008047.0.0.0	bids_plan+inventory	1	0.3775	true	1.2653
sub-003	ses-01	1.3.12.2.1107.5.2.43.166092.2023051914455290199421378.0.0.0	bids_plan+inventory	96	3.5178	true	7.2173
sub-003	ses-01	1.3.12.2.1107.5.2.43.166092.2023051914542137881936759.0.0.0	bids_plan+inventory	150	5.2344	true	8.2416
sub-003	ses-02	1.3.12.2.1107.5.2.43.166092.2023111015083696536212307.0.0.0	bids_plan+inventory	3	0.4632	true	1.3510
sub-003	ses-02	1.3.12.2.1107.5.2.43.166092.2023111015212047864212647.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-003	ses-02	1.3.12.2.1107.5.2.43.166092.2023111015250974558393468.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-003	ses-02	1.3.12.2.1107.5.2.43.166092.2023111015291886488674289.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-003	ses-02	1.3.12.2.1107.5.2.43.166092.2023111015333133726555110.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-003	ses-02	1.3.12.2.1107.5.2.43.166092.2023111015375032426135931.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-003	ses-02	1.3.12.2.1107.5.2.43.166092.2023111015385856592143416.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-003	ses-02	1.3.12.2.1107.5.2.43.166092.2023111015422077718518541.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-003	ses-02	1.3.12.2.1107.5.2.43.166092.2023111015473785149194390.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-003	ses-02	1.3.12.2.1107.5.2.43.166092.2023111015511011977169515.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-003	ses-02	1.3.12.2.1107.5.2.43.166092.2023111015551748032344640.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-003	ses-02	1.3.12.2.1107.5.2.43.166092.2023111016045962690858941.0.0.0	bids_plan+inventory	3	0.4028	true	2.7130
sub-003	ses-02	1.3.12.2.1107.5.2.43.166092.2023111016142890434260832.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-003	ses-02	1.3.12.2.1107.5.2.43.166092.2023111016164573258468869.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-003	ses-02	1.3.12.2.1107.5.2.43.166092.2023111016393396403206634.0.0.0	bids_plan+inventory	150	5.0595	true	8.6657
sub-003	ses-02	1.3.12.2.1107.5.2.43.166092.2023111016412988068409958.0.0.0	bids_plan+inventory	32	1.3886	true	2.3635
sub-003	ses-02	1.3.12.2.1107.5.2.43.166092.2023111016412988068609959.0.0.0	bids_plan+inventory	32	1.4300	true	2.2384
sub-003	ses-02	1.3.12.2.1107.5.2.43.166092.2023111016412988068809961.0.0.0	bids_plan+inventory	32	1.2897	true	4.9818
sub-003	ses-02	1.3.12.2.1107.5.2.43.166092.2023111016412988068909962.0.0.0	bids_plan+inventory	32	1.2568	true	2.5135
sub-003	ses-02	1.3.12.2.1107.5.2.43.166092.2023111016412988069009963.0.0.0	bids_plan+inventory	1	0.3820	true	8.8960
sub-003	ses-02	1.3.12.2.1107.5.2.43.166092.2023111016491891483421266.0.0.0	bids_plan+inventory	96	2.9554	true	10.8304
sub-003	ses-02	1.3.12.2.1107.5.2.43.166092.2023111017080747451548528.0.0.0	bids_plan+inventory	150	4.4398	true	9.3676
sub-004	ses-01	1.3.12.2.1107.5.2.43.166092.2023052214341275614600007.0.0.0	bids_plan+inventory	3	0.8676	true	7.9177
sub-004	ses-01	1.3.12.2.1107.5.2.43.166092.2023052214362229709900347.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-004	ses-01	1.3.12.2.1107.5.2.43.166092.2023052214405387805181168.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-004	ses-01	1.3.12.2.1107.5.2.43.166092.2023052214452179190761989.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-004	ses-01	1.3.12.2.1107.5.2.43.166092.2023052214464053854669474.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-004	ses-01	1.3.12.2.1107.5.2.43.166092.2023052214504719531350295.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-004	ses-01	1.3.12.2.1107.5.2.43.166092.202305221455535265531116.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-004	ses-01	1.3.12.2.1107.5.2.43.166092.2023052215000057710006241.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-004	ses-01	1.3.12.2.1107.5.2.43.166092.2023052215041923487281366.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-004	ses-01	1.3.12.2.1107.5.2.43.166092.202305221508185027056491.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-004	ses-01	1.3.12.2.1107.5.2.43.166092.2023052215131361516431616.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-004	ses-01	1.3.12.2.1107.5.2.43.166092.2023052215260828117646629.0.0.0	bids_plan+inventory	3	0.4476	true	1.0300
sub-004	ses-01	1.3.12.2.1107.5.2.43.166092.2023052215380787059148532.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-004	ses-01	1.3.12.2.1107.5.2.43.166092.2023052215433740984356025.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-004	ses-01	1.3.12.2.1107.5.2.43.166092.2023052216121796798997556.0.0.0	bids_plan+inventory	150	5.5993	true	21.0249
sub-004	ses-01	1.3.12.2.1107.5.2.43.166092.2023052216145521908001908.0.0.0	bids_plan+inventory	32	1.3568	true	2.5474
sub-004	ses-01	1.3.12.2.1107.5.2.43.166092.2023052216145521908101909.0.0.0	bids_plan+inventory	32	1.3841	true	14.1766
sub-004	ses-01	1.3.12.2.1107.5.2.43.166092.2023052216145521908301911.0.0.0	bids_plan+inventory	32	1.3910	true	3.4023
sub-004	ses-01	1.3.12.2.1107.5.2.43.166092.2023052216145521908401912.0.0.0	bids_plan+inventory	32	1.4963	true	2.9249
sub-004	ses-01	1.3.12.2.1107.5.2.43.166092.2023052216145521908501913.0.0.0	bids_plan+inventory	1	0.3609	true	0.4752
sub-004	ses-01	1.3.12.2.1107.5.2.43.166092.2023052216224025937313330.0.0.0	bids_plan+inventory	96	3.4311	true	7.1260
sub-004	ses-01	1.3.12.2.1107.5.2.43.166092.2023052216382021143536242.0.0.0	bids_plan+inventory	150	4.5953	true	10.4310
sub-004	ses-02	1.3.12.2.1107.5.2.43.166092.2023111912304227867900008.0.0.0	bids_plan+inventory	3	0.4268	true	1.7020
sub-004	ses-02	1.3.12.2.1107.5.2.43.166092.2023111912331225295400350.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-004	ses-02	1.3.12.2.1107.5.2.43.166092.2023111912370040560881171.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-004	ses-02	1.3.12.2.1107.5.2.43.166092.2023111912410997214261992.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-004	ses-02	1.3.12.2.1107.5.2.43.166092.2023111912452792404642813.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-004	ses-02	1.3.12.2.1107.5.2.43.166092.2023111912502287305823642.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-004	ses-02	1.3.12.2.1107.5.2.43.166092.2023111912513669252831127.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-004	ses-02	1.3.12.2.1107.5.2.43.166092.202311191255098524606252.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-004	ses-02	1.3.12.2.1107.5.2.43.166092.2023111913001846792482101.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-004	ses-02	1.3.12.2.1107.5.2.43.166092.2023111913041476203257226.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-004	ses-02	1.3.12.2.1107.5.2.43.166092.2023111913082213895132351.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-004	ses-02	1.3.12.2.1107.5.2.43.166092.2023111913193920799046652.0.0.0	bids_plan+inventory	3	0.3816	true	1.6227
sub-004	ses-02	1.3.12.2.1107.5.2.43.166092.2023111913290132230448543.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-004	ses-02	1.3.12.2.1107.5.2.43.166092.2023111913311720699656558.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-004	ses-02	1.3.12.2.1107.5.2.43.166092.2023111913541939130800479.0.0.0	bids_plan+inventory	150	5.1718	true	10.4436
sub-004	ses-02	1.3.12.2.1107.5.2.43.166092.2023111913570341993305917.0.0.0	bids_plan+inventory	32	1.2498	true	12.3874
sub-004	ses-02	1.3.12.2.1107.5.2.43.166092.2023111913570341993405918.0.0.0	bids_plan+inventory	32	1.1467	true	2.9878
sub-004	ses-02	1.3.12.2.1107.5.2.43.166092.2023111913570341993605920.0.0.0	bids_plan+inventory	32	1.3880	true	2.9252
sub-004	ses-02	1.3.12.2.1107.5.2.43.166092.2023111913570341993705921.0.0.0	bids_plan+inventory	32	1.4146	true	2.4020
sub-004	ses-02	1.3.12.2.1107.5.2.43.166092.2023111913570341993805922.0.0.0	bids_plan+inventory	1	0.3856	true	1.4453
sub-004	ses-02	1.3.12.2.1107.5.2.43.166092.2023111914040655671018301.0.0.0	bids_plan+inventory	96	3.2212	true	6.3456
sub-004	ses-02	1.3.12.2.1107.5.2.43.166092.2023111914141844516036235.0.0.0	bids_plan+inventory	150	4.8155	true	13.0557
sub-005	ses-01	1.3.12.2.1107.5.2.43.166092.2023052410333670706704327.0.0.0	bids_plan+inventory	3	0.8462	true	4.9268
sub-005	ses-01	1.3.12.2.1107.5.2.43.166092.2023052410354530672204667.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-005	ses-01	1.3.12.2.1107.5.2.43.166092.2023052410395693293185488.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-005	ses-01	1.3.12.2.1107.5.2.43.166092.2023052410445812434266309.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-005	ses-01	1.3.12.2.1107.5.2.43.166092.2023052410460525585673794.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-005	ses-01	1.3.12.2.1107.5.2.43.166092.2023052410495682435054615.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-005	ses-01	1.3.12.2.1107.5.2.43.166092.2023052410543677255635436.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-005	ses-01	1.3.12.2.1107.5.2.43.166092.202305241058101434110561.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-005	ses-01	1.3.12.2.1107.5.2.43.166092.202305241102089051285686.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-005	ses-01	1.3.12.2.1107.5.2.43.166092.202305241106048118060811.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-005	ses-01	1.3.12.2.1107.5.2.43.166092.2023052411105034806835936.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-005	ses-01	1.3.12.2.1107.5.2.43.166092.2023052411203419146750961.0.0.0	bids_plan+inventory	3	0.4447	true	1.0281
sub-005	ses-01	1.3.12.2.1107.5.2.43.166092.2023052411303871835052860.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-005	ses-01	1.3.12.2.1107.5.2.43.166092.2023052411331117558260353.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-005	ses-01	1.3.12.2.1107.5.2.43.166092.2023052411353316751968562.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-005	ses-01	1.3.12.2.1107.5.2.43.166092.2023052411585060137013755.0.0.0	bids_plan+inventory	150	5.2849	true	8.9538
sub-005	ses-01	1.3.12.2.1107.5.2.43.166092.2023052412101344108134173.0.0.0	bids_plan+inventory	3	0.4690	true	2.3129
sub-005	ses-01	1.3.12.2.1107.5.2.43.166092.2023052412113189719937350.0.0.0	bids_plan+inventory	32	1.2985	true	16.7698
sub-005	ses-01	1.3.12.2.1107.5.2.43.166092.2023052412113189720137351.0.0.0	bids_plan+inventory	32	1.4956	true	3.5129
sub-005	ses-01	1.3.12.2.1107.5.2.43.166092.2023052412113189720337353.0.0.0	bids_plan+inventory	32	1.1783	true	5.0654
sub-005	ses-01	1.3.12.2.1107.5.2.43.166092.2023052412113189720437354.0.0.0	bids_plan+inventory	32	1.2404	true	12.7271
sub-005	ses-01	1.3.12.2.1107.5.2.43.166092.2023052412113189722337355.0.0.0	bids_plan+inventory	1	0.4234	true	0.9603
sub-005	ses-01	1.3.12.2.1107.5.2.43.166092.2023052412174887159848357.0.0.0	bids_plan+inventory	150	4.4112	true	10.1414
sub-005	ses-01	1.3.12.2.1107.5.2.43.166092.2023052412183896522349092.0.0.0	bids_plan+inventory	96	3.6041	true	5.1521
sub-005	ses-02	1.3.12.2.1107.5.2.43.166092.2023112514330830002955539.0.0.0	bids_plan+inventory	3	0.3922	true	1.0508
sub-005	ses-02	1.3.12.2.1107.5.2.43.166092.202311251435176472955879.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-005	ses-02	1.3.12.2.1107.5.2.43.166092.202311251439057553336700.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-005	ses-02	1.3.12.2.1107.5.2.43.166092.2023112514431263098217521.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-005	ses-02	1.3.12.2.1107.5.2.43.166092.2023112514474712818898342.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-005	ses-02	1.3.12.2.1107.5.2.43.166092.2023112514485249846505827.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-005	ses-02	1.3.12.2.1107.5.2.43.166092.2023112514545268234886648.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-005	ses-02	1.3.12.2.1107.5.2.43.166092.2023112514585648377861773.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-005	ses-02	1.3.12.2.1107.5.2.43.166092.2023112515030910183037622.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-005	ses-02	1.3.12.2.1107.5.2.43.166092.2023112515074336533112747.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-005	ses-02	1.3.12.2.1107.5.2.43.166092.2023112515134967724287872.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-005	ses-02	1.3.12.2.1107.5.2.43.166092.202311251521284709202173.0.0.0	bids_plan+inventory	3	0.4553	true	4.7128
