file	relative_under_movie	folder_role	filename	extension	size_bytes	content_class	timing_keywords_in_content	identity_keywords_in_content	n_lines	notes
/lustre06/project/6001995/raw_original/Control/SUBC05-Session1-2023MAY24/SUBC05_Session01_2023MAY24_MATLAB/3-Movie_Data/main.m	main.m	MovieRoot	main.m	.m	2901	MATLAB_SCRIPT				
/lustre06/project/6001995/raw_original/Control/SUBC05-Session1-2023MAY24/SUBC05_Session01_2023MAY24_MATLAB/3-Movie_Data/Movie2B.mp4	Movie2B.mp4	MovieRoot	Movie2B.mp4	.mp4	173312179	STIMULUS_MP4				not a timing log
/lustre06/project/6001995/raw_original/Control/SUBC05-Session1-2023MAY24/SUBC05_Session01_2023MAY24_MATLAB/3-Movie_Data/Movie1A.mp4	Movie1A.mp4	MovieRoot	Movie1A.mp4	.mp4	183368517	STIMULUS_MP4				not a timing log
/lustre06/project/6001995/raw_original/Control/SUBC05-Session1-2023MAY24/SUBC05_Session01_2023MAY24_MATLAB/3-Movie_Data/Results/May-24-2023_11-08-38_AM_Subject_is_C05_selected_run_id_2.mat	Results/May-24-2023_11-08-38_AM_Subject_is_C05_selected_run_id_2.mat	Results	May-24-2023_11-08-38_AM_Subject_is_C05_selected_run_id_2.mat	.mat	587	MAT_IDENTITY_ONLY				
/lustre06/project/6001995/raw_original/Control/SUBC05-Session1-2023MAY24/SUBC05_Session01_2023MAY24_MATLAB/3-Movie_Data/Results/May-24-2023_11-12-33_AM_Subject_is_C05_selected_run_id_3.mat	Results/May-24-2023_11-12-33_AM_Subject_is_C05_selected_run_id_3.mat	Results	May-24-2023_11-12-33_AM_Subject_is_C05_selected_run_id_3.mat	.mat	587	MAT_IDENTITY_ONLY				
/lustre06/project/6001995/raw_original/Control/SUBC05-Session1-2023MAY24/SUBC05_Session01_2023MAY24_MATLAB/3-Movie_Data/Results/May-24-2023_11-04-21_AM_Subject_is_C05_selected_run_id_1.mat	Results/May-24-2023_11-04-21_AM_Subject_is_C05_selected_run_id_1.mat	Results	May-24-2023_11-04-21_AM_Subject_is_C05_selected_run_id_1.mat	.mat	585	MAT_IDENTITY_ONLY				
/lustre06/project/6001995/raw_original/Control/SUBC05-Session1-2023MAY24/SUBC05_Session01_2023MAY24_MATLAB/3-Movie_Data/Results/May-24-2023_11-16-31_AM_Subject_is_C05_selected_run_id_4.mat	Results/May-24-2023_11-16-31_AM_Subject_is_C05_selected_run_id_4.mat	Results	May-24-2023_11-16-31_AM_Subject_is_C05_selected_run_id_4.mat	.mat	587	MAT_IDENTITY_ONLY				
/lustre06/project/6001995/raw_original/Control/SUBC05-Session1-2023MAY24/SUBC05_Session01_2023MAY24_MATLAB/1-Check_FOV_and_EyeTracking/3-Movie_Data/Movie2A.mp4	Movie2A.mp4	MovieRoot	Movie2A.mp4	.mp4	178229515	STIMULUS_MP4				not a timing log
/lustre06/project/6001995/raw_original/Control/SUBC05-Session1-2023MAY24/SUBC05_Session01_2023MAY24_MATLAB/1-Check_FOV_and_EyeTracking/3-Movie_Data/main.m	main.m	MovieRoot	main.m	.m	2901	MATLAB_SCRIPT				
/lustre06/project/6001995/raw_original/Control/SUBC05-Session1-2023MAY24/SUBC05_Session01_2023MAY24_MATLAB/1-Check_FOV_and_EyeTracking/3-Movie_Data/Show_movie.m	Show_movie.m	MovieRoot	Show_movie.m	.m	4196	MATLAB_SCRIPT				
/lustre06/project/6001995/raw_original/Control/SUBC05-Session1-2023MAY24/SUBC05_Session01_2023MAY24_MATLAB/1-Check_FOV_and_EyeTracking/3-Movie_Data/Movie1B.mp4	Movie1B.mp4	MovieRoot	Movie1B.mp4	.mp4	181514135	STIMULUS_MP4				not a timing log
/lustre06/project/6001995/raw_original/Control/SUBC05-Session1-2023MAY24/SUBC05_Session01_2023MAY24_MATLAB/1-Check_FOV_and_EyeTracking/3-Movie_Data/Movie1A.mp4	Movie1A.mp4	MovieRoot	Movie1A.mp4	.mp4	183368517	STIMULUS_MP4				not a timing log
/lustre06/project/6001995/raw_original/Control/SUBC05-Session1-2023MAY24/SUBC05_Session01_2023MAY24_MATLAB/1-Check_FOV_and_EyeTracking/3-Movie_Data/Movie2B.mp4	Movie2B.mp4	MovieRoot	Movie2B.mp4	.mp4	173312179	STIMULUS_MP4				not a timing log
/lustre06/project/6001995/raw_original/Control/SUBC50_Session01_2024OCT11/SUBC050_Session01_2024OCT11_MATLAB/3-Movie_Data/output.txt	output.txt	MovieRoot	output.txt	.txt	47339	DIARY_OTHER			1	encoding=utf-16; ptb_diag=False; triggerTimes_assign=False
/lustre06/project/6001995/raw_original/Control/SUBC50_Session01_2024OCT11/SUBC050_Session01_2024OCT11_MATLAB/3-Movie_Data/main.m	main.m	MovieRoot	main.m	.m	3446	MATLAB_SCRIPT				
/lustre06/project/6001995/raw_original/Control/SUBC50_Session01_2024OCT11/SUBC050_Session01_2024OCT11_MATLAB/3-Movie_Data/Show_movie.m	Show_movie.m	MovieRoot	Show_movie.m	.m	4743	MATLAB_SCRIPT				
/lustre06/project/6001995/raw_original/Control/SUBC50_Session01_2024OCT11/SUBC050_Session01_2024OCT11_MATLAB/3-Movie_Data/Results/October-11-2024_ 5-56-15_PM_Subject_is_SUBC050_Session01_2024OCT11_selected_run_id_3.mat	Results/October-11-2024_ 5-56-15_PM_Subject_is_SUBC050_Session01_2024OCT11_selected_run_id_3.mat	Results	October-11-2024_ 5-56-15_PM_Subject_is_SUBC050_Session01_2024OCT11_selected_run_id_3.mat	.mat	873	MAT_IDENTITY_ONLY				
/lustre06/project/6001995/raw_original/Control/SUBC50_Session01_2024OCT11/SUBC050_Session01_2024OCT11_MATLAB/3-Movie_Data/Results/October-11-2024_ 6-00-06_PM_Subject_is_SUBC050_Session01_2024OCT11_selected_run_id_4.mat	Results/October-11-2024_ 6-00-06_PM_Subject_is_SUBC050_Session01_2024OCT11_selected_run_id_4.mat	Results	October-11-2024_ 6-00-06_PM_Subject_is_SUBC050_Session01_2024OCT11_selected_run_id_4.mat	.mat	873	MAT_IDENTITY_ONLY				
/lustre06/project/6001995/raw_original/Control/SUBC50_Session01_2024OCT11/SUBC050_Session01_2024OCT11_MATLAB/3-Movie_Data/Results/October-11-2024_ 5-48-19_PM_Subject_is_SUBC050_Session01_2024OCT11_selected_run_id_1.mat	Results/October-11-2024_ 5-48-19_PM_Subject_is_SUBC050_Session01_2024OCT11_selected_run_id_1.mat	Results	October-11-2024_ 5-48-19_PM_Subject_is_SUBC050_Session01_2024OCT11_selected_run_id_1.mat	.mat	872	MAT_IDENTITY_ONLY				
/lustre06/project/6001995/raw_original/Control/SUBC50_Session01_2024OCT11/SUBC050_Session01_2024OCT11_MATLAB/3-Movie_Data/Results/October-11-2024_ 5-52-25_PM_Subject_is_SUBC050_Session01_2024OCT11_selected_run_id_2.mat	Results/October-11-2024_ 5-52-25_PM_Subject_is_SUBC050_Session01_2024OCT11_selected_run_id_2.mat	Results	October-11-2024_ 5-52-25_PM_Subject_is_SUBC050_Session01_2024OCT11_selected_run_id_2.mat	.mat	873	MAT_IDENTITY_ONLY				
