file	line	pattern	severity	recommendation
/lustre06/project/6001995/raw_original/Control/SUBC037_Session02_2024AUG30/SUBC037_Session02_2024AUG30_matlab/3-Movie_Data/main.m	99	Desktop	MEDIUM	Review before publication
/lustre06/project/6001995/raw_original/Control/SUBC03_Session2_2023NOV10/SUBC03_Session02_2023NOV10_Matlab/3-Movie_Data/main.m	8	WindowsUserPath	HIGH	Do not copy raw script; publish sanitized path placeholders only
/lustre06/project/6001995/raw_original/Control/SUBC03_Session2_2023NOV10/SUBC03_Session02_2023NOV10_Matlab/3-Movie_Data/main.m	8	Desktop	MEDIUM	Review before publication
/lustre06/project/6001995/raw_original/Control/SUBC03_Session2_2023NOV10/SUBC03_Session02_2023NOV10_Matlab/3-Movie_Data/main.m	59	HardcodedSubjectPrompt	LOW	Review before publication
/lustre06/project/6001995/raw_original/Control/SUBC03_Session2_2023NOV10/SUBC03_Session02_2023NOV10_Matlab/3-Movie_Data/main.m	86	WindowsUserPath	HIGH	Do not copy raw script; publish sanitized path placeholders only
/lustre06/project/6001995/raw_original/Control/SUBC03_Session2_2023NOV10/SUBC03_Session02_2023NOV10_Matlab/3-Movie_Data/main.m	86	Desktop	MEDIUM	Review before publication
/lustre06/project/6001995/raw_original/Control/SUBC03_Session2_2023NOV10/SUBC03_Session02_2023NOV10_Matlab/3-Movie_Data/main.m	90	WindowsUserPath	HIGH	Do not copy raw script; publish sanitized path placeholders only
/lustre06/project/6001995/raw_original/Control/SUBC03_Session2_2023NOV10/SUBC03_Session02_2023NOV10_Matlab/3-Movie_Data/main.m	90	Desktop	MEDIUM	Review before publication
/lustre06/project/6001995/raw_original/Control/SUBC03_Session2_2023NOV10/SUBC03_Session02_2023NOV10_Matlab/3-Movie_Data/main.m	95	WindowsUserPath	HIGH	Do not copy raw script; publish sanitized path placeholders only
/lustre06/project/6001995/raw_original/Control/SUBC03_Session2_2023NOV10/SUBC03_Session02_2023NOV10_Matlab/3-Movie_Data/main.m	95	Desktop	MEDIUM	Review before publication
/lustre06/project/6001995/raw_original/Control/SUBC03_Session2_2023NOV10/SUBC03_Session02_2023NOV10_Matlab/3-Movie_Data/main.m	99	WindowsUserPath	HIGH	Do not copy raw script; publish sanitized path placeholders only
/lustre06/project/6001995/raw_original/Control/SUBC03_Session2_2023NOV10/SUBC03_Session02_2023NOV10_Matlab/3-Movie_Data/main.m	99	Desktop	MEDIUM	Review before publication
/lustre06/project/6001995/raw_original/Control/SUBC04-SESSION01-2023MAY22/SUBC04-Session2-2023NOV19_MATLAB/3-Movie_Data/main.m	8	WindowsUserPath	HIGH	Do not copy raw script; publish sanitized path placeholders only
/lustre06/project/6001995/raw_original/Control/SUBC04-SESSION01-2023MAY22/SUBC04-Session2-2023NOV19_MATLAB/3-Movie_Data/main.m	8	Desktop	MEDIUM	Review before publication
/lustre06/project/6001995/raw_original/Control/SUBC04-SESSION01-2023MAY22/SUBC04-Session2-2023NOV19_MATLAB/3-Movie_Data/main.m	59	HardcodedSubjectPrompt	LOW	Review before publication
/lustre06/project/6001995/raw_original/Control/SUBC04-SESSION01-2023MAY22/SUBC04-Session2-2023NOV19_MATLAB/3-Movie_Data/main.m	86	WindowsUserPath	HIGH	Do not copy raw script; publish sanitized path placeholders only
