filepath	tag	value_present	example_value_redacted	risk_category
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/CONTROL3_AP_PHYSIOLOG_0057/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0057.0001.2023.05.31.16.21.27.173387.133972100.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/CONTROL3_AP_SBREF_0058/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0058.0001.2023.05.31.16.21.27.173387.133972127.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/FMRI1_AP_0003/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0003.0001.2023.05.31.16.21.27.173387.133406023.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/FMRI1_AP_0004/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0004.0001.2023.05.31.16.21.27.173387.133414338.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/FMRI1_AP_PHYSIOLOG_0005/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0005.0001.2023.05.31.16.21.27.173387.133456293.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/FMRI1_AP_SBREF_0002/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0002.0001.2023.05.31.16.21.27.173387.133405794.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/FMRI2_AP_0007/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0007.0001.2023.05.31.16.21.27.173387.133459273.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/FMRI2_AP_0008/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0008.0001.2023.05.31.16.21.27.173387.133463728.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/FMRI2_AP_PHYSIOLOG_0009/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0009.0001.2023.05.31.16.21.27.173387.133509543.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/FMRI2_AP_SBREF_0006/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0006.0001.2023.05.31.16.21.27.173387.133459044.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/FMRI3_AP_0015/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0015.0001.2023.05.31.16.21.27.173387.133518669.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/FMRI3_AP_0016/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0016.0001.2023.05.31.16.21.27.173387.133523510.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/FMRI3_AP_PHYSIOLOG_0017/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0017.0001.2023.05.31.16.21.27.173387.133567915.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/FMRI3_AP_SBREF_0014/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0014.0001.2023.05.31.16.21.27.173387.133518440.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/FMRI4_AP_0019/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0019.0001.2023.05.31.16.21.27.173387.133571919.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/FMRI4_AP_0020/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0020.0001.2023.05.31.16.21.27.173387.133580813.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/FMRI4_AP_PHYSIOLOG_0021/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0021.0001.2023.05.31.16.21.27.173387.133621159.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/FMRI4_AP_SBREF_0018/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0018.0001.2023.05.31.16.21.27.173387.133571690.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/GSLD_75TE_PA_3B0_0069/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0069.0001.2023.05.31.16.21.27.173387.134037654.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/GSLD_75TE_PA_3B0_0070/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0070.0001.2023.05.31.16.21.27.173387.134037742.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/GSLD_76DIR_B2000_1MMISO_AP_0067/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0067.0001.2023.05.31.16.21.27.173387.133983372.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/LOCALIZER_0001/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0001.0001.2023.05.31.16.21.27.173387.133400670.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/LOCALIZER_0050/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0050.0001.2023.05.31.16.21.27.173387.133951612.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/MOVIE1_AP_0023/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0023.0001.2023.05.31.16.21.27.173387.133624145.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/MOVIE1_AP_0024/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0024.0001.2023.05.31.16.21.27.173387.133632460.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/GSLD_76DIR_B2000_1MMISO_AP_0068/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0068.0001.2023.05.31.16.21.27.173387.133984348.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/MOVIE1_AP_PHYSIOLOG_0025/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0025.0001.2023.05.31.16.21.27.173387.133671001.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/MOVIE1_AP_SBREF_0022/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0022.0001.2023.05.31.16.21.27.173387.133623916.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/MOVIE2_AP_PHYSIOLOG_0029/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0029.0001.2023.05.31.16.21.27.173387.133720155.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/MOVIE3_AP_0031/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0031.0001.2023.05.31.16.21.27.173387.133723477.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/MOVIE3_AP_0032/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0032.0001.2023.05.31.16.21.27.173387.133727546.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/MOVIE2_AP_0027/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0027.0001.2023.05.31.16.21.27.173387.133674323.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/MOVIE2_AP_0028/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0028.0001.2023.05.31.16.21.27.173387.133681480.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/MOVIE2_AP_SBREF_0026/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0026.0001.2023.05.31.16.21.27.173387.133674094.IMA	PARSE_ERROR	False		parse_error
