tree	field	value	count	classification	reason
release	SeriesDescription	REST1_AP	245	SAFE	
release	SeriesDescription	Control1_PA	244	SAFE	
release	SeriesDescription	fMRI4_AP_SBRef	244	SAFE	
release	SeriesDescription	Movie1_AP_SBRef	244	SAFE	
release	SeriesDescription	Movie3_AP	243	SAFE	
release	SeriesDescription	fMRI3_AP_SBRef	242	SAFE	
release	SeriesDescription	fMRI2_AP	242	SAFE	
release	SeriesDescription	Movie2_AP	242	SAFE	
release	SeriesDescription	gsld_76dir_b2000_1mmiso_AP	240	SAFE	
release	SeriesDescription	T1w_MPR	240	SAFE	
release	SeriesDescription	Movie3_AP_SBRef	240	SAFE	
release	SeriesDescription	REST1_AP_SBRef	240	SAFE	
release	SeriesDescription	Control1_PA_SBRef	240	SAFE	
release	SeriesDescription	tfl_b1map_1mmiso	238	SAFE	
release	SeriesDescription	Movie2_AP_SBRef	238	SAFE	
release	SeriesDescription	Movie4_AP	238	SAFE	
release	SeriesDescription	fMRI2_AP_SBRef	236	SAFE	
release	SeriesDescription	Movie4_AP_SBRef	234	SAFE	
release	SeriesDescription	Control2_AP	225	SAFE	
release	SeriesDescription	Control3_PA	221	SAFE	
release	SeriesDescription	Control2_AP_SBRef	220	SAFE	
release	SeriesDescription	Control3_PA_SBRef	216	SAFE	
release	SeriesDescription	resolve_3scan_trace_tra_p3_160_1.4iso_AP	121	SAFE	
release	SeriesDescription	Sag Flair 3D-0.8	119	SAFE	
release	SeriesDescription	WMn_MPRAGE_sagittal	111	SAFE	
release	SeriesDescription	Control3_AP_SBRef	18	SAFE	
release	SeriesDescription	Control3_AP	18	SAFE	
release	SeriesDescription	Control2_PA_SBRef	14	SAFE	
release	SeriesDescription	Control2_PA	14	SAFE	
release	SeriesDescription	tfl_b1map_1mmiso_ND	10	SAFE	
release	SeriesDescription	SpinEchoFieldMap_PA_Pha	9	SAFE	
release	SeriesDescription	SpinEchoFieldMap_AP_Pha	9	SAFE	
release	SeriesDescription	Sag Flair 3D-0.8_ND	5	SAFE	
release	SeriesDescription	T1w_MPR_ND	5	SAFE	
release	SeriesDescription	REST1_AP_Pha	5	SAFE	
release	SeriesDescription	fMRI1_AP_Pha	5	SAFE	
release	SeriesDescription	Control3_PA_Pha	5	SAFE	
release	SeriesDescription	Control2_AP_Pha	5	SAFE	
release	SeriesDescription	fMRI3_AP_Pha	4	SAFE	
release	SeriesDescription	fMRI2_AP_Pha	4	SAFE	
release	SeriesDescription	Movie3_AP_Pha	4	SAFE	
release	SeriesDescription	fMRI4_AP_Pha	4	SAFE	
release	SeriesDescription	Control1_PA_Pha	4	SAFE	
release	SeriesDescription	Movie4_AP_Pha	4	SAFE	
release	SeriesDescription	Movie2_AP_Pha	4	SAFE	
release	SeriesDescription	Movie1_AP_Pha	4	SAFE	
release	SeriesDescription	SpinEchoFieldMap_AP_rerun	2	SAFE	
release	SeriesDescription	Movie4_AP_redo_cuz_gogle_moved	2	SAFE	
release	SeriesDescription	Movie4_AP_redo_cuz_gogle_moved_SBRef	2	SAFE	
release	SeriesDescription	fMRI1_AP_REDO	2	SAFE	
release	SeriesDescription	fMRI1_AP_REDO_SBRef	2	SAFE	
release	SeriesDescription	Control2_AP_redo_SBRef	2	SAFE	
release	SeriesDescription	Control2_AP_redo	2	SAFE	
release	SeriesDescription	fMRI1_AP_Rerun	2	SAFE	
release	SeriesDescription	fMRI2_AP_Rerun_SBRef	2	SAFE	
release	SeriesDescription	fMRI1_AP_Rerun_SBRef	2	SAFE	
release	SeriesDescription	fMRI2_AP_Rerun	2	SAFE	
release	SeriesDescription	Sag Flair 3D-0.8_usethisone	1	SAFE	
release	SeriesNumber	2	229	SAFE	
release	SeriesNumber	6	229	SAFE	
release	SeriesNumber	26	218	SAFE	
release	SeriesNumber	34	211	SAFE	
release	SeriesNumber	38	207	SAFE	
release	SeriesNumber	18	202	SAFE	
release	SeriesNumber	14	200	SAFE	
release	SeriesNumber	11	199	SAFE	
release	SeriesNumber	54	199	SAFE	
release	SeriesNumber	42	198	SAFE	
release	SeriesNumber	30	190	SAFE	
release	SeriesNumber	50	182	SAFE	
release	SeriesNumber	22	163	SAFE	
release	SeriesNumber	15	144	SAFE	
release	SeriesNumber	19	136	SAFE	
release	SeriesNumber	35	132	SAFE	
release	SeriesNumber	12	130	SAFE	
release	SeriesNumber	43	130	SAFE	
release	SeriesNumber	31	129	SAFE	
release	SeriesNumber	8	128	SAFE	
release	SeriesNumber	4	128	SAFE	
release	SeriesNumber	36	127	SAFE	
release	SeriesNumber	16	127	SAFE	
release	SeriesNumber	27	127	SAFE	
release	SeriesNumber	7	127	SAFE	
release	SeriesNumber	39	127	SAFE	
release	SeriesNumber	24	126	SAFE	
release	SeriesNumber	3	126	SAFE	
release	SeriesNumber	44	125	SAFE	
release	SeriesNumber	32	125	SAFE	
release	SeriesNumber	56	124	SAFE	
release	SeriesNumber	28	124	SAFE	
release	SeriesNumber	58	123	SAFE	
release	SeriesNumber	23	123	SAFE	
release	SeriesNumber	20	123	SAFE	
release	SeriesNumber	40	123	SAFE	
release	SeriesNumber	48	121	SAFE	
release	SeriesNumber	60	120	SAFE	
release	SeriesNumber	51	118	SAFE	
release	SeriesNumber	55	118	SAFE	
release	SeriesNumber	52	115	SAFE	
release	SeriesNumber	59	112	SAFE	
release	SeriesNumber	62	112	SAFE	
release	SeriesNumber	47	108	SAFE	
release	SeriesNumber	57	107	SAFE	
release	SeriesNumber	61	107	SAFE	
release	SeriesNumber	13	102	SAFE	
release	SeriesNumber	67	91	SAFE	
release	SeriesNumber	64	87	SAFE	
release	SeriesNumber	63	86	SAFE	
release	SeriesNumber	75	83	SAFE	
release	SeriesNumber	74	78	SAFE	
release	SeriesNumber	25	75	SAFE	
release	SeriesNumber	10	65	SAFE	
release	SeriesNumber	65	60	SAFE	
release	SeriesNumber	66	53	SAFE	
release	SeriesNumber	33	44	SAFE	
release	SeriesNumber	17	32	SAFE	
release	SeriesNumber	21	31	SAFE	
release	SeriesNumber	68	31	SAFE	
release	SeriesNumber	46	31	SAFE	
release	SeriesNumber	45	28	SAFE	
release	SeriesNumber	29	26	SAFE	
release	SeriesNumber	53	25	SAFE	
release	SeriesNumber	49	24	SAFE	
release	SeriesNumber	37	23	SAFE	
release	SeriesNumber	41	21	SAFE	
release	SeriesNumber	69	19	SAFE	
release	SeriesNumber	70	18	SAFE	
release	SeriesNumber	9	16	SAFE	
release	SeriesNumber	5	15	SAFE	
release	SeriesNumber	73	14	SAFE	
release	SeriesNumber	71	14	SAFE	
release	SeriesNumber	80	12	SAFE	
release	SeriesNumber	76	12	SAFE	
release	SeriesNumber	72	10	SAFE	
release	SeriesNumber	79	8	SAFE	
release	SeriesNumber	81	7	SAFE	
release	SeriesNumber	78	6	SAFE	
release	SeriesNumber	77	6	SAFE	
release	SeriesNumber	85	1	SAFE	
release	SeriesNumber	84	1	SAFE	
release	SeriesNumber	82	1	SAFE	
release	SeriesNumber	83	1	SAFE	
