source_type	filepath	subject	session	sampling_confidence	starttime_confidence	runmap_confidence	recoverable	reason
physiolog_dicom	/lustre06/project/6001995/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_Sessoin01_2023MAY05_NII/FMRI4_AP_PHYSIOLOG_0021/SUB050_CONTROLSUBJECT_2023MAY05.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0021.0001.2023.05.08.12.17.15.267862.121622933.IMA	sub-001	ses-01	MEDIUM	LOW	CONFIRMED	NO	CSA SampleTime present (EXT=8); Hz inferred as 1000/SampleTime (Siemens EJA_1 ms convention) | ACQUISITION_INFO present but first channel tick missing | Unique BIDS ProtocolName match: fMRI4_AP → sub-001_ses-01_task-fmri_run-03_bold.json
physiolog_dicom	/lustre06/project/6001995/raw_original/Control/SUBC02_SESSION02_20NOV2023/SUBC02_Session2_2023NOV20_Data/CONTROL3_PA_PHYSIOLOG_0053/SUBC02_SESSION02_20NOV2023.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0053.0001.2023.11.20.16.53.54.735629.70852780.IMA	sub-002	ses-02	MEDIUM	MEDIUM	CONFIRMED	YES	CSA SampleTime present (PULS=2;RESP=8;EXT=8); Hz inferred as 1000/SampleTime (Siemens EJA_1 ms convention) | ACQUISITION_INFO volume0 ACQ_START_TICS and physio ACQ_TIME_TICS share CSA clock; BIDS StartTime = (physio_first_tick - vol0_start_tick) * tick_seconds | Unique BIDS ProtocolName match: Control3_PA → sub-002_ses-02_task-control_run-05_bold.json
physiolog_dicom	/lustre06/project/6001995/raw_original/Control/SUBC02-Session1-2023MAY11/SUBC02_2023MAY11_session01_NII/MOVIE4_AP_PHYSIOLOG_0041/SUBC02_CONTROL_SESSION01_2023MAY11.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0041.0001.2023.05.16.13.09.02.852597.124996709.IMA	sub-002	ses-01	MEDIUM	LOW	CONFIRMED	NO	CSA SampleTime present (EXT=8); Hz inferred as 1000/SampleTime (Siemens EJA_1 ms convention) | ACQUISITION_INFO present but first channel tick missing | Unique BIDS ProtocolName match: Movie4_AP → sub-002_ses-01_task-movie_run-07_bold.json
physiolog_dicom	/lustre06/project/6001995/raw_original/Control/SUBC02-Session1-2023MAY11/SUBC02_2023MAY11_session01_NII/FMRI1_AP_PHYSIOLOG_0009/SUBC02_CONTROL_SESSION01_2023MAY11.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0009.0001.2023.05.16.13.09.02.852597.124635569.IMA	sub-002	ses-01	MEDIUM	LOW	AMBIGUOUS	NO	CSA SampleTime present (EXT=8); Hz inferred as 1000/SampleTime (Siemens EJA_1 ms convention) | ACQUISITION_INFO present but first channel tick missing | 2 BOLD runs share ProtocolName=fMRI1_AP
physiolog_dicom	/lustre06/project/6001995/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_Sessoin01_2023MAY05_NII/MOVIE1_AP_PHYSIOLOG_0025/SUB050_CONTROLSUBJECT_2023MAY05.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0025.0001.2023.05.08.12.17.15.267862.121671751.IMA	sub-001	ses-01	MEDIUM	LOW	CONFIRMED	NO	CSA SampleTime present (EXT=8); Hz inferred as 1000/SampleTime (Siemens EJA_1 ms convention) | ACQUISITION_INFO present but first channel tick missing | Unique BIDS ProtocolName match: Movie1_AP → sub-001_ses-01_task-movie_run-01_bold.json
physiolog_dicom	/lustre06/project/6001995/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_Sessoin01_2023MAY05_NII/FMRI1_AP_PHYSIOLOG_0005/SUB050_CONTROLSUBJECT_2023MAY05.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0005.0001.2023.05.08.12.17.15.267862.121458067.IMA	sub-001	ses-01	MEDIUM	LOW	CONFIRMED	NO	CSA SampleTime present (EXT=8); Hz inferred as 1000/SampleTime (Siemens EJA_1 ms convention) | ACQUISITION_INFO present but first channel tick missing | Unique BIDS ProtocolName match: fMRI1_AP → sub-001_ses-01_task-fmri_run-05_bold.json
physiolog_dicom	/lustre06/project/6001995/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_Sessoin01_2023MAY05_NII/FMRI2_AP_PHYSIOLOG_0009/SUB050_CONTROLSUBJECT_2023MAY05.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0009.0001.2023.05.08.12.17.15.267862.121511317.IMA	sub-001	ses-01	MEDIUM	LOW	CONFIRMED	NO	CSA SampleTime present (EXT=8); Hz inferred as 1000/SampleTime (Siemens EJA_1 ms convention) | ACQUISITION_INFO present but first channel tick missing | Unique BIDS ProtocolName match: fMRI2_AP → sub-001_ses-01_task-fmri_run-07_bold.json
physiolog_dicom	/lustre06/project/6001995/raw_original/Control/SUBC02-Session1-2023MAY11/SUBC02_2023MAY11_session01_NII/MOVIE3_AP_PHYSIOLOG_0037/SUBC02_CONTROL_SESSION01_2023MAY11.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0037.0001.2023.05.16.13.09.02.852597.124946537.IMA	sub-002	ses-01	MEDIUM	LOW	CONFIRMED	NO	CSA SampleTime present (EXT=8); Hz inferred as 1000/SampleTime (Siemens EJA_1 ms convention) | ACQUISITION_INFO present but first channel tick missing | Unique BIDS ProtocolName match: Movie3_AP → sub-002_ses-01_task-movie_run-05_bold.json
physiolog_dicom	/lustre06/project/6001995/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_Sessoin01_2023MAY05_NII/MOVIE4_AP_PHYSIOLOG_0037/SUB050_CONTROLSUBJECT_2023MAY05.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0037.0001.2023.05.08.12.17.15.267862.121821267.IMA	sub-001	ses-01	MEDIUM	LOW	CONFIRMED	NO	CSA SampleTime present (EXT=8); Hz inferred as 1000/SampleTime (Siemens EJA_1 ms convention) | ACQUISITION_INFO present but first channel tick missing | Unique BIDS ProtocolName match: Movie4_AP → sub-001_ses-01_task-movie_run-07_bold.json
physiolog_dicom	/lustre06/project/6001995/raw_original/Control/SUBC02-Session1-2023MAY11/SUBC02_2023MAY11_session01_NII/FMRI4_AP_PHYSIOLOG_0025/SUBC02_CONTROL_SESSION01_2023MAY11.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0025.0001.2023.05.16.13.09.02.852597.124798387.IMA	sub-002	ses-01	MEDIUM	LOW	CONFIRMED	NO	CSA SampleTime present (EXT=8); Hz inferred as 1000/SampleTime (Siemens EJA_1 ms convention) | ACQUISITION_INFO present but first channel tick missing | Unique BIDS ProtocolName match: fMRI4_AP → sub-002_ses-01_task-fmri_run-05_bold.json
