file	format_detected	channels	n_samples	header_detected	timestamp_present	sampling_metadata_present
/lustre06/project/6001995/raw_original/Control/SUBC15_Session02_2024FEB08/SUBC15_Session02_2024FEB8_Physio/SUBC15_SESSION02_2024FEB8.ecg	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	10743	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC15_Session02_2024FEB08/SUBC15_Session02_2024FEB8_Physio/SUBC15_SESSION02_2024FEB8.ext	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	NA	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC15_Session02_2024FEB08/SUBC15_Session02_2024FEB8_Physio/SUBC15_SESSION02_2024FEB8.ext2	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	NA	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC15_Session02_2024FEB08/SUBC15_Session02_2024FEB8_Physio/SUBC15_SESSION02_2024FEB8.pmu	siemens_binary_pmu_vsn	NA	NA	true	false	false
/lustre06/project/6001995/raw_original/Control/SUBC15_Session02_2024FEB08/SUBC15_Session02_2024FEB8_Physio/SUBC15_SESSION02_2024FEB8.puls	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	1433748	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC15_Session02_2024FEB08/SUBC15_Session02_2024FEB8_Physio/SUBC15_SESSION02_2024FEB8.resp	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	1433953	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC16-SESSION2-2024FEB07/SUBC016-Session02-2023FEB07_Peripheral/SUBC016-session2-2024FEB07.ecg	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	9015	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC16-SESSION2-2024FEB07/SUBC016-Session02-2023FEB07_Peripheral/SUBC016-session2-2024FEB07.ext	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	NA	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC16-SESSION2-2024FEB07/SUBC016-Session02-2023FEB07_Peripheral/SUBC016-session2-2024FEB07.ext2	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	NA	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC16-SESSION2-2024FEB07/SUBC016-Session02-2023FEB07_Peripheral/SUBC016-session2-2024FEB07.pmu	siemens_binary_pmu_vsn	NA	NA	true	false	false
/lustre06/project/6001995/raw_original/Control/SUBC16-SESSION2-2024FEB07/SUBC016-Session02-2023FEB07_Peripheral/SUBC016-session2-2024FEB07.puls	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	1558606	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC16-SESSION2-2024FEB07/SUBC016-Session02-2023FEB07_Peripheral/SUBC016-session2-2024FEB07.resp	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	1558812	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC17-Session1-2023AUG18/SUBC17_Session01_2023AUG18_Physio/SUBC17_Session01_control_2023AUG18_AfterCoilChange.ecg	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	14023	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC17-Session1-2023AUG18/SUBC17_Session01_2023AUG18_Physio/SUBC17_Session01_control_2023AUG18_AfterCoilChange.ext	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	NA	true	true	false
