file_path	subject	session	extension	file_size	creation_time	modification_time
/lustre06/project/6001995/raw_original/Control/SUBC08-Session2-2023DEC11/SUBC08-Session2-Peripheral/SUBC08-Session2-2023DEC11.puls	sub-008	ses-02	.puls	8295170	NA	2023-12-11T15:24:28+00:00
/lustre06/project/6001995/raw_original/Control/SUBC08-Session2-2023DEC11/SUBC08-Session2-Peripheral/SUBC08-Session2-2023DEC11.resp	sub-008	ses-02	.resp	8246607	NA	2023-12-11T15:24:26+00:00
/lustre06/project/6001995/raw_original/Control/SUBC09_Session02_2023DEC02/SUBC09_session02_2023DEC02_Peripheral/SUBC09_SESSION02_2023DEC02.ecg	sub-009	ses-02	.ecg	28403	NA	2023-12-02T19:11:30+00:00
/lustre06/project/6001995/raw_original/Control/SUBC09_Session02_2023DEC02/SUBC09_session02_2023DEC02_Peripheral/SUBC09_SESSION02_2023DEC02.ext	sub-009	ses-02	.ext	2595671	NA	2023-12-02T19:11:32+00:00
/lustre06/project/6001995/raw_original/Control/SUBC09_Session02_2023DEC02/SUBC09_session02_2023DEC02_Peripheral/SUBC09_SESSION02_2023DEC02.ext2	sub-009	ses-02	.ext2	2574808	NA	2023-12-02T19:11:32+00:00
/lustre06/project/6001995/raw_original/Control/SUBC09_Session02_2023DEC02/SUBC09_session02_2023DEC02_Peripheral/SUBC09_SESSION02_2023DEC02.pmu	sub-009	ses-02	.pmu	2296	NA	2023-12-02T19:11:32+00:00
/lustre06/project/6001995/raw_original/Control/SUBC09_Session02_2023DEC02/SUBC09_session02_2023DEC02_Peripheral/SUBC09_SESSION02_2023DEC02.puls	sub-009	ses-02	.puls	6428051	NA	2023-12-02T19:11:32+00:00
/lustre06/project/6001995/raw_original/Control/SUBC09_Session02_2023DEC02/SUBC09_session02_2023DEC02_Peripheral/SUBC09_SESSION02_2023DEC02.resp	sub-009	ses-02	.resp	6289274	NA	2023-12-02T19:11:30+00:00
/lustre06/project/6001995/raw_original/Control/SUBC11_Session02_2024JAN10/SUBC11_Session02_2024Jan10_physio/SUBC11_Session02_2024JAN10.ecg	sub-011	ses-02	.ecg	20764	NA	2024-01-10T15:40:08+00:00
/lustre06/project/6001995/raw_original/Control/SUBC11_Session02_2024JAN10/SUBC11_Session02_2024Jan10_physio/SUBC11_Session02_2024JAN10.ext	sub-011	ses-02	.ext	6144162	NA	2024-01-10T15:40:10+00:00
/lustre06/project/6001995/raw_original/Control/SUBC11_Session02_2024JAN10/SUBC11_Session02_2024Jan10_physio/SUBC11_Session02_2024JAN10.ext2	sub-011	ses-02	.ext2	6122409	NA	2024-01-10T15:40:10+00:00
/lustre06/project/6001995/raw_original/Control/SUBC11_Session02_2024JAN10/SUBC11_Session02_2024Jan10_physio/SUBC11_Session02_2024JAN10.pmu	sub-011	ses-02	.pmu	2296	NA	2024-01-10T15:40:10+00:00
/lustre06/project/6001995/raw_original/Control/SUBC11_Session02_2024JAN10/SUBC11_Session02_2024Jan10_physio/SUBC11_Session02_2024JAN10.puls	sub-011	ses-02	.puls	15264339	NA	2024-01-10T15:40:10+00:00
/lustre06/project/6001995/raw_original/Control/SUBC11_Session02_2024JAN10/SUBC11_Session02_2024Jan10_physio/SUBC11_Session02_2024JAN10.resp	sub-011	ses-02	.resp	15212365	NA	2024-01-10T15:40:10+00:00
/lustre06/project/6001995/raw_original/Control/SUBC12_Session02_2024JAN09/SUBC12_Session02_2024JAN09_physio/SUBC12_Session2_2024JAN09.ecg	sub-012	ses-02	.ecg	35692	NA	2024-01-09T16:23:48+00:00
/lustre06/project/6001995/raw_original/Control/SUBC12_Session02_2024JAN09/SUBC12_Session02_2024JAN09_physio/SUBC12_Session2_2024JAN09.ext	sub-012	ses-02	.ext	2657939	NA	2024-01-09T16:23:50+00:00
/lustre06/project/6001995/raw_original/Control/SUBC12_Session02_2024JAN09/SUBC12_Session02_2024JAN09_physio/SUBC12_Session2_2024JAN09.ext2	sub-012	ses-02	.ext2	2637074	NA	2024-01-09T16:23:50+00:00
/lustre06/project/6001995/raw_original/Control/SUBC12_Session02_2024JAN09/SUBC12_Session02_2024JAN09_physio/SUBC12_Session2_2024JAN09.pmu	sub-012	ses-02	.pmu	2296	NA	2024-01-09T16:23:50+00:00
/lustre06/project/6001995/raw_original/Control/SUBC12_Session02_2024JAN09/SUBC12_Session02_2024JAN09_physio/SUBC12_Session2_2024JAN09.puls	sub-012	ses-02	.puls	6577370	NA	2024-01-09T16:23:50+00:00
/lustre06/project/6001995/raw_original/Control/SUBC12_Session02_2024JAN09/SUBC12_Session02_2024JAN09_physio/SUBC12_Session2_2024JAN09.resp	sub-012	ses-02	.resp	6500017	NA	2024-01-09T16:23:50+00:00
/lustre06/project/6001995/raw_original/Control/SUBC15-Session1-2023AUG07/SJBC15_Session01_2023AUG07_Physiological Data/SUBC15_2023AUG07.ecg	sub-015	ses-01	.ecg	45823	NA	2023-08-07T13:41:26+00:00
/lustre06/project/6001995/raw_original/Control/SUBC15-Session1-2023AUG07/SJBC15_Session01_2023AUG07_Physiological Data/SUBC15_2023AUG07.ext	sub-015	ses-01	.ext	6679624	NA	2023-08-07T13:41:28+00:00
/lustre06/project/6001995/raw_original/Control/SUBC15-Session1-2023AUG07/SJBC15_Session01_2023AUG07_Physiological Data/SUBC15_2023AUG07.ext2	sub-015	ses-01	.ext2	6658141	NA	2023-08-07T13:41:28+00:00
/lustre06/project/6001995/raw_original/Control/SUBC15-Session1-2023AUG07/SJBC15_Session01_2023AUG07_Physiological Data/SUBC15_2023AUG07.pmu	sub-015	ses-01	.pmu	2296	NA	2023-08-07T13:41:28+00:00
/lustre06/project/6001995/raw_original/Control/SUBC15-Session1-2023AUG07/SJBC15_Session01_2023AUG07_Physiological Data/SUBC15_2023AUG07.puls	sub-015	ses-01	.puls	16623056	NA	2023-08-07T13:41:28+00:00
/lustre06/project/6001995/raw_original/Control/SUBC15-Session1-2023AUG07/SJBC15_Session01_2023AUG07_Physiological Data/SUBC15_2023AUG07.resp	sub-015	ses-01	.resp	16193850	NA	2023-08-07T13:41:26+00:00
/lustre06/project/6001995/raw_original/Control/SUBC15_Session02_2024FEB08/SUBC15_Session02_2024FEB8_Physio/SUBC15_SESSION02_2024FEB8.ecg	sub-015	ses-02	.ecg	62783	NA	2024-02-08T21:34:04+00:00
/lustre06/project/6001995/raw_original/Control/SUBC15_Session02_2024FEB08/SUBC15_Session02_2024FEB8_Physio/SUBC15_SESSION02_2024FEB8.ext	sub-015	ses-02	.ext	2888445	NA	2024-02-08T21:34:04+00:00
/lustre06/project/6001995/raw_original/Control/SUBC15_Session02_2024FEB08/SUBC15_Session02_2024FEB8_Physio/SUBC15_SESSION02_2024FEB8.ext2	sub-015	ses-02	.ext2	2867582	NA	2024-02-08T21:34:04+00:00
/lustre06/project/6001995/raw_original/Control/SUBC15_Session02_2024FEB08/SUBC15_Session02_2024FEB8_Physio/SUBC15_SESSION02_2024FEB8.pmu	sub-015	ses-02	.pmu	2296	NA	2024-02-08T21:34:06+00:00
