file	variable_name	shape	example_values	possible_role
/lustre07/scratch/alexrees/raw_original/Control/SUBC22_Session02_2024MAR25/SUBC22_Session02_2024MAR25_MATLAB/2-Grating/Results/fMRI_4.mat	<no matching variables>			candidate timing file without requested variable names
/lustre07/scratch/alexrees/raw_original/Control/SUBC22_Session02_2024MAR25/SUBC22_Session02_2024MAR25_MATLAB/2-Grating/Results/runs_random.mat	currentConditionStartTime	scalar	dtype=float64; min=201.479163; max=201.479163; examples=[201.479162702022]	clock/timing candidate; clock domain requires validation
/lustre07/scratch/alexrees/raw_original/Control/SUBC22_Session02_2024MAR25/SUBC22_Session02_2024MAR25_MATLAB/2-Grating/Results/runs_random.mat	fMRI_number	scalar	dtype=int64; min=4; max=4; examples=[4]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC22_Session02_2024MAR25/SUBC22_Session02_2024MAR25_MATLAB/2-Grating/Results/runs_random.mat	fps	scalar	dtype=int64; min=60; max=60; examples=[60]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC22_Session02_2024MAR25/SUBC22_Session02_2024MAR25_MATLAB/2-Grating/Results/runs_random.mat	ifi	scalar	dtype=float64; min=0.016582602; max=0.016582602; examples=[0.016582601999980396]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC22_Session02_2024MAR25/SUBC22_Session02_2024MAR25_MATLAB/2-Grating/Results/runs_random.mat	keyTime	scalar	dtype=float64; min=180911.713; max=180911.713; examples=[180911.7129546]	clock/timing candidate; clock domain requires validation
/lustre07/scratch/alexrees/raw_original/Control/SUBC22_Session02_2024MAR25/SUBC22_Session02_2024MAR25_MATLAB/2-Grating/Results/runs_random.mat	run	scalar	dtype=int64; min=1; max=1; examples=[1]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC22_Session02_2024MAR25/SUBC22_Session02_2024MAR25_MATLAB/2-Grating/Results/runs_random.mat	runParadigmFinal	26x2	dtype=uint8; min=0; max=226; examples=[0, 0, 10, 1, 18]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC22_Session02_2024MAR25/SUBC22_Session02_2024MAR25_MATLAB/2-Grating/Results/runs_random.mat	run_number	scalar	dtype=int64; min=5; max=5; examples=[5]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC22_Session02_2024MAR25/SUBC22_Session02_2024MAR25_MATLAB/2-Grating/Results/runs_random.mat	runs	scalar	dtype=int64; min=1; max=1; examples=[1]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC22_Session02_2024MAR25/SUBC22_Session02_2024MAR25_MATLAB/2-Grating/Results/runs_random.mat	runs_random	2	dtype=uint8; min=3; max=6; examples=[3, 6]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC22_Session02_2024MAR25/SUBC22_Session02_2024MAR25_MATLAB/2-Grating/Results/runs_random.mat	scan.ifi	scalar	dtype=float64; min=0.016582602; max=0.016582602; examples=[0.016582601999980396]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC22_Session02_2024MAR25/SUBC22_Session02_2024MAR25_MATLAB/2-Grating/Results/runs_random.mat	scan.runs.triggerTimes	226	dtype=float64; min=180700.876; max=180911.709; examples=[180700.8757731, 180701.812557, 180702.7494281, 180703.6864824, 180704.6234906]	scanner/task trigger timing candidate
/lustre07/scratch/alexrees/raw_original/Control/SUBC22_Session02_2024MAR25/SUBC22_Session02_2024MAR25_MATLAB/2-Grating/Results/runs_random.mat	scan.runs.vbl	12717x3	dtype=float64; min=0; max=180911.711; examples=[180700.8816683, 0.0, 1.0, 180700.9000027, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC22_Session02_2024MAR25/SUBC22_Session02_2024MAR25_MATLAB/2-Grating/Results/runs_random.mat	screenProperties.ifi	scalar	dtype=float64; min=0.016582602; max=0.016582602; examples=[0.016582601999980396]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC22_Session02_2024MAR25/SUBC22_Session02_2024MAR25_MATLAB/2-Grating/Results/runs_random.mat	start_ask	scalar	dtype=<U1; example=1	clock/timing candidate; clock domain requires validation
/lustre07/scratch/alexrees/raw_original/Control/SUBC22_Session02_2024MAR25/SUBC22_Session02_2024MAR25_MATLAB/2-Grating/Results/runs_random.mat	start_ask_yes_no	scalar	dtype=<U1; example=1	clock/timing candidate; clock domain requires validation
/lustre07/scratch/alexrees/raw_original/Control/SUBC22_Session02_2024MAR25/SUBC22_Session02_2024MAR25_MATLAB/2-Grating/Results/runs_random.mat	stimRunIndices	12x3	dtype=uint8; min=1; max=12; examples=[1, 12, 12, 2, 11]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC22_Session02_2024MAR25/SUBC22_Session02_2024MAR25_MATLAB/2-Grating/Results/runs_random.mat	timeProperties.t	scalar	dtype=float64; min=210.829347; max=210.829347; examples=[210.8293472000223]	clock/timing candidate; clock domain requires validation
/lustre07/scratch/alexrees/raw_original/Control/SUBC22_Session02_2024MAR25/SUBC22_Session02_2024MAR25_MATLAB/2-Grating/Results/runs_random.mat	timeProperties.framecount	scalar	dtype=int64; min=12714; max=12714; examples=[12714]	clock/timing candidate; clock domain requires validation
/lustre07/scratch/alexrees/raw_original/Control/SUBC22_Session02_2024MAR25/SUBC22_Session02_2024MAR25_MATLAB/2-Grating/Results/runs_random.mat	trigger	scalar	dtype=int64; min=1; max=1; examples=[1]	keyword-matched metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC22_Session02_2024MAR25/SUBC22_Session02_2024MAR25_MATLAB/2-Grating/Results/runs_random.mat	vbl	12717x3	dtype=float64; min=0; max=180911.711; examples=[180700.8816683, 0.0, 1.0, 180700.9000027, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC22_Session02_2024MAR25/SUBC22_Session02_2024MAR25_MATLAB/2-Grating/Results/runs_random_record_SUBC22.mat	runs_random_record	6	dtype=uint8; min=1; max=6; examples=[1, 4, 2, 5, 3]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/October-05-2023_10-30-47_AM__scan_info_for_subject_c23__selected_run_is_1__fmri_number_is1.mat	scan.ifi	scalar	dtype=float64; min=0.016582524; max=0.016582524; examples=[0.016582524001132696]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/October-05-2023_10-30-47_AM__scan_info_for_subject_c23__selected_run_is_1__fmri_number_is1.mat	scan.runs.triggerTimes	226	dtype=float64; min=588723.391; max=588934.225; examples=[588723.391433, 588724.3280527, 588725.2651863, 588726.2023134, 588727.1400195]	scanner/task trigger timing candidate
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/October-05-2023_10-30-47_AM__scan_info_for_subject_c23__selected_run_is_1__fmri_number_is1.mat	scan.runs.vbl	12718x3	dtype=float64; min=0; max=588934.239; examples=[588723.4005394, 0.0, 1.0, 588723.4186993, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/October-05-2023_10-35-16_AM__scan_info_for_subject_subc23__selected_run_is_4__fmri_number_is2.mat	scan.ifi	scalar	dtype=float64; min=0.016586622; max=0.016586622; examples=[0.016586621999740602]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/October-05-2023_10-35-16_AM__scan_info_for_subject_subc23__selected_run_is_4__fmri_number_is2.mat	scan.runs.triggerTimes	226	dtype=float64; min=588992.245; max=589203.078; examples=[588992.2445324, 588993.1816985, 588994.118415, 588995.0553532, 588995.9923744]	scanner/task trigger timing candidate
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/October-05-2023_10-35-16_AM__scan_info_for_subject_subc23__selected_run_is_4__fmri_number_is2.mat	scan.runs.vbl	12717x3	dtype=float64; min=0; max=589203.081; examples=[588992.25148, 0.0, 1.0, 588992.2757683, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/October-05-2023_10-40-05_AM__scan_info_for_subject_c23__selected_run_is_2__fmri_number_is3.mat	scan.ifi	scalar	dtype=float64; min=0.01657826; max=0.01657826; examples=[0.01657825999893248]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/October-05-2023_10-40-05_AM__scan_info_for_subject_c23__selected_run_is_2__fmri_number_is3.mat	scan.runs.triggerTimes	226	dtype=float64; min=589281.58; max=589492.413; examples=[589281.5798755, 589282.5163128, 589283.453616, 589284.3907303, 589285.3278065]	scanner/task trigger timing candidate
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/October-05-2023_10-40-05_AM__scan_info_for_subject_c23__selected_run_is_2__fmri_number_is3.mat	scan.runs.vbl	12717x3	dtype=float64; min=0; max=589492.416; examples=[589281.5868124, 0.0, 1.0, 589281.6029452, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/October-05-2023_10-44-06_AM__scan_info_for_subject_c23__selected_run_is_5__fmri_number_is4.mat	scan.ifi	scalar	dtype=float64; min=0.016601202; max=0.016601202; examples=[0.016601201999001204]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/October-05-2023_10-44-06_AM__scan_info_for_subject_c23__selected_run_is_5__fmri_number_is4.mat	scan.runs.triggerTimes	226	dtype=float64; min=589522.328; max=589733.162; examples=[589522.327913, 589523.2647482, 589524.2015265, 589525.1386554, 589526.0756966]	scanner/task trigger timing candidate
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/October-05-2023_10-44-06_AM__scan_info_for_subject_c23__selected_run_is_5__fmri_number_is4.mat	scan.runs.vbl	12718x3	dtype=float64; min=0; max=589733.171; examples=[589522.334216, 0.0, 1.0, 589522.3563181, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/fMRI_1.mat	<no matching variables>			candidate timing file without requested variable names
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/fMRI_2.mat	<no matching variables>			candidate timing file without requested variable names
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/fMRI_3.mat	<no matching variables>			candidate timing file without requested variable names
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/fMRI_4.mat	<no matching variables>			candidate timing file without requested variable names
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/runs_random.mat	currentConditionStartTime	scalar	dtype=float64; min=201.486007; max=201.486007; examples=[201.4860071019875]	clock/timing candidate; clock domain requires validation
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/runs_random.mat	fMRI_number	scalar	dtype=int64; min=4; max=4; examples=[4]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/runs_random.mat	fps	scalar	dtype=int64; min=60; max=60; examples=[60]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/runs_random.mat	ifi	scalar	dtype=float64; min=0.016601202; max=0.016601202; examples=[0.016601201999001204]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/runs_random.mat	keyTime	scalar	dtype=float64; min=589733.172; max=589733.172; examples=[589733.1720974]	clock/timing candidate; clock domain requires validation
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/runs_random.mat	run	scalar	dtype=int64; min=1; max=1; examples=[1]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/runs_random.mat	runParadigmFinal	26x2	dtype=uint8; min=0; max=226; examples=[0, 0, 10, 1, 18]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/runs_random.mat	run_number	scalar	dtype=int64; min=5; max=5; examples=[5]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/runs_random.mat	runs	scalar	dtype=int64; min=1; max=1; examples=[1]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/runs_random.mat	runs_random	2	dtype=uint8; min=3; max=6; examples=[3, 6]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/runs_random.mat	scan.ifi	scalar	dtype=float64; min=0.016601202; max=0.016601202; examples=[0.016601201999001204]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/runs_random.mat	scan.runs.triggerTimes	226	dtype=float64; min=589522.328; max=589733.162; examples=[589522.327913, 589523.2647482, 589524.2015265, 589525.1386554, 589526.0756966]	scanner/task trigger timing candidate
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/runs_random.mat	scan.runs.vbl	12718x3	dtype=float64; min=0; max=589733.171; examples=[589522.334216, 0.0, 1.0, 589522.3563181, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/runs_random.mat	screenProperties.ifi	scalar	dtype=float64; min=0.016601202; max=0.016601202; examples=[0.016601201999001204]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/runs_random.mat	start_ask	scalar	dtype=<U1; example=1	clock/timing candidate; clock domain requires validation
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/runs_random.mat	start_ask_yes_no	scalar	dtype=<U1; example=1	clock/timing candidate; clock domain requires validation
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/runs_random.mat	stimRunIndices	12x3	dtype=uint8; min=1; max=12; examples=[1, 12, 12, 2, 11]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/runs_random.mat	timeProperties.t	scalar	dtype=float64; min=210.837119; max=210.837119; examples=[210.83711949991994]	clock/timing candidate; clock domain requires validation
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/runs_random.mat	timeProperties.framecount	scalar	dtype=int64; min=12701; max=12701; examples=[12701]	clock/timing candidate; clock domain requires validation
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/runs_random.mat	trigger	scalar	dtype=int64; min=1; max=1; examples=[1]	keyword-matched metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/runs_random.mat	vbl	12718x3	dtype=float64; min=0; max=589733.171; examples=[589522.334216, 0.0, 1.0, 589522.3563181, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/2-Grating/Results/runs_random_record_c23.mat	runs_random_record	6	dtype=uint8; min=1; max=6; examples=[1, 4, 2, 5, 3]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC23_Session02_2024APR22/SUBC23_Session02_2024APR22_MATLAB/2-Grating/Results/April-22-2024_ 3-11-27_PM__scan_info_for_subject_C23__selected_run_is_1__fmri_number_is1.mat	scan.ifi	scalar	dtype=float64; min=0.016585488; max=0.016585488; examples=[0.01658548800041899]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC23_Session02_2024APR22/SUBC23_Session02_2024APR22_MATLAB/2-Grating/Results/April-22-2024_ 3-11-27_PM__scan_info_for_subject_C23__selected_run_is_1__fmri_number_is1.mat	scan.runs.triggerTimes	226	dtype=float64; min=607495.215; max=607706.047; examples=[607495.2145937, 607496.1513209, 607497.088095, 607498.0252478, 607498.9621954]	scanner/task trigger timing candidate
/lustre07/scratch/alexrees/raw_original/Control/SUBC23_Session02_2024APR22/SUBC23_Session02_2024APR22_MATLAB/2-Grating/Results/April-22-2024_ 3-11-27_PM__scan_info_for_subject_C23__selected_run_is_1__fmri_number_is1.mat	scan.runs.vbl	12718x3	dtype=float64; min=0; max=607706.058; examples=[607495.2231074, 0.0, 1.0, 607495.2384992, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC23_Session02_2024APR22/SUBC23_Session02_2024APR22_MATLAB/2-Grating/Results/April-22-2024_ 3-16-10_PM__scan_info_for_subject_SUBC23__selected_run_is_4__fmri_number_is2.mat	scan.ifi	scalar	dtype=float64; min=0.016586556; max=0.016586556; examples=[0.016586555999238042]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC23_Session02_2024APR22/SUBC23_Session02_2024APR22_MATLAB/2-Grating/Results/April-22-2024_ 3-16-10_PM__scan_info_for_subject_SUBC23__selected_run_is_4__fmri_number_is2.mat	scan.runs.triggerTimes	226	dtype=float64; min=607778.315; max=607989.148; examples=[607778.3150593, 607779.2517277, 607780.1887819, 607781.1257735, 607782.062624]	scanner/task trigger timing candidate
/lustre07/scratch/alexrees/raw_original/Control/SUBC23_Session02_2024APR22/SUBC23_Session02_2024APR22_MATLAB/2-Grating/Results/April-22-2024_ 3-16-10_PM__scan_info_for_subject_SUBC23__selected_run_is_4__fmri_number_is2.mat	scan.runs.vbl	12718x3	dtype=float64; min=0; max=607989.158; examples=[607778.3220083, 0.0, 1.0, 607778.3301268, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC23_Session02_2024APR22/SUBC23_Session02_2024APR22_MATLAB/2-Grating/Results/April-22-2024_ 3-21-18_PM__scan_info_for_subject_C23__selected_run_is_2__fmri_number_is3.mat	scan.ifi	scalar	dtype=float64; min=0.016586276; max=0.016586276; examples=[0.016586276001762598]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC23_Session02_2024APR22/SUBC23_Session02_2024APR22_MATLAB/2-Grating/Results/April-22-2024_ 3-21-18_PM__scan_info_for_subject_C23__selected_run_is_2__fmri_number_is3.mat	scan.runs.triggerTimes	226	dtype=float64; min=608086.703; max=608297.536; examples=[608086.7034909, 608087.6402347, 608088.5772758, 608089.5142441, 608090.4512635]	scanner/task trigger timing candidate
/lustre07/scratch/alexrees/raw_original/Control/SUBC23_Session02_2024APR22/SUBC23_Session02_2024APR22_MATLAB/2-Grating/Results/April-22-2024_ 3-21-18_PM__scan_info_for_subject_C23__selected_run_is_2__fmri_number_is3.mat	scan.runs.vbl	12717x3	dtype=float64; min=0; max=608297.542; examples=[608086.7089188, 0.0, 1.0, 608086.7373832, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC23_Session02_2024APR22/SUBC23_Session02_2024APR22_MATLAB/2-Grating/Results/April-22-2024_ 3-25-35_PM__scan_info_for_subject_C23__selected_run_is_5__fmri_number_is4.mat	scan.ifi	scalar	dtype=float64; min=0.01658682; max=0.01658682; examples=[0.016586819998919963]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC23_Session02_2024APR22/SUBC23_Session02_2024APR22_MATLAB/2-Grating/Results/April-22-2024_ 3-25-35_PM__scan_info_for_subject_C23__selected_run_is_5__fmri_number_is4.mat	scan.runs.triggerTimes	226	dtype=float64; min=608343.892; max=608554.725; examples=[608343.8920788, 608344.8288294, 608345.765781, 608346.7027521, 608347.6398059]	scanner/task trigger timing candidate
/lustre07/scratch/alexrees/raw_original/Control/SUBC23_Session02_2024APR22/SUBC23_Session02_2024APR22_MATLAB/2-Grating/Results/April-22-2024_ 3-25-35_PM__scan_info_for_subject_C23__selected_run_is_5__fmri_number_is4.mat	scan.runs.vbl	12718x3	dtype=float64; min=0; max=608554.728; examples=[608343.8959882, 0.0, 1.0, 608343.9035417, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC23_Session02_2024APR22/SUBC23_Session02_2024APR22_MATLAB/2-Grating/Results/fMRI_1.mat	<no matching variables>			candidate timing file without requested variable names
/lustre07/scratch/alexrees/raw_original/Control/SUBC23_Session02_2024APR22/SUBC23_Session02_2024APR22_MATLAB/2-Grating/Results/fMRI_2.mat	<no matching variables>			candidate timing file without requested variable names
/lustre07/scratch/alexrees/raw_original/Control/SUBC23_Session02_2024APR22/SUBC23_Session02_2024APR22_MATLAB/2-Grating/Results/fMRI_3.mat	<no matching variables>			candidate timing file without requested variable names
/lustre07/scratch/alexrees/raw_original/Control/SUBC23_Session02_2024APR22/SUBC23_Session02_2024APR22_MATLAB/2-Grating/Results/fMRI_4.mat	<no matching variables>			candidate timing file without requested variable names
/lustre07/scratch/alexrees/raw_original/Control/SUBC23_Session02_2024APR22/SUBC23_Session02_2024APR22_MATLAB/2-Grating/Results/runs_random.mat	currentConditionStartTime	scalar	dtype=float64; min=201.480801; max=201.480801; examples=[201.48080072003415]	clock/timing candidate; clock domain requires validation
/lustre07/scratch/alexrees/raw_original/Control/SUBC23_Session02_2024APR22/SUBC23_Session02_2024APR22_MATLAB/2-Grating/Results/runs_random.mat	fMRI_number	scalar	dtype=int64; min=4; max=4; examples=[4]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC23_Session02_2024APR22/SUBC23_Session02_2024APR22_MATLAB/2-Grating/Results/runs_random.mat	fps	scalar	dtype=int64; min=60; max=60; examples=[60]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC23_Session02_2024APR22/SUBC23_Session02_2024APR22_MATLAB/2-Grating/Results/runs_random.mat	ifi	scalar	dtype=float64; min=0.01658682; max=0.01658682; examples=[0.016586819998919963]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC23_Session02_2024APR22/SUBC23_Session02_2024APR22_MATLAB/2-Grating/Results/runs_random.mat	keyTime	scalar	dtype=float64; min=608554.728; max=608554.728; examples=[608554.7282606]	clock/timing candidate; clock domain requires validation
/lustre07/scratch/alexrees/raw_original/Control/SUBC23_Session02_2024APR22/SUBC23_Session02_2024APR22_MATLAB/2-Grating/Results/runs_random.mat	run	scalar	dtype=int64; min=1; max=1; examples=[1]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC23_Session02_2024APR22/SUBC23_Session02_2024APR22_MATLAB/2-Grating/Results/runs_random.mat	runParadigmFinal	26x2	dtype=uint8; min=0; max=226; examples=[0, 0, 10, 1, 18]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC23_Session02_2024APR22/SUBC23_Session02_2024APR22_MATLAB/2-Grating/Results/runs_random.mat	run_number	scalar	dtype=int64; min=5; max=5; examples=[5]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC23_Session02_2024APR22/SUBC23_Session02_2024APR22_MATLAB/2-Grating/Results/runs_random.mat	runs	scalar	dtype=int64; min=1; max=1; examples=[1]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC23_Session02_2024APR22/SUBC23_Session02_2024APR22_MATLAB/2-Grating/Results/runs_random.mat	runs_random	2	dtype=uint8; min=3; max=6; examples=[3, 6]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC23_Session02_2024APR22/SUBC23_Session02_2024APR22_MATLAB/2-Grating/Results/runs_random.mat	scan.ifi	scalar	dtype=float64; min=0.01658682; max=0.01658682; examples=[0.016586819998919963]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC23_Session02_2024APR22/SUBC23_Session02_2024APR22_MATLAB/2-Grating/Results/runs_random.mat	scan.runs.triggerTimes	226	dtype=float64; min=608343.892; max=608554.725; examples=[608343.8920788, 608344.8288294, 608345.765781, 608346.7027521, 608347.6398059]	scanner/task trigger timing candidate
/lustre07/scratch/alexrees/raw_original/Control/SUBC23_Session02_2024APR22/SUBC23_Session02_2024APR22_MATLAB/2-Grating/Results/runs_random.mat	scan.runs.vbl	12718x3	dtype=float64; min=0; max=608554.728; examples=[608343.8959882, 0.0, 1.0, 608343.9035417, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
