file	variable_name	shape	example_values	possible_role
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/runs_random.mat	fMRI_number	scalar	dtype=int64; min=4; max=4; examples=[4]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/runs_random.mat	fps	scalar	dtype=int64; min=60; max=60; examples=[60]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/runs_random.mat	ifi	scalar	dtype=float64; min=0.016595722; max=0.016595722; examples=[0.01659572200034745]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/runs_random.mat	keyTime	scalar	dtype=float64; min=248348.486; max=248348.486; examples=[248348.4855897]	clock/timing candidate; clock domain requires validation
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/runs_random.mat	run	scalar	dtype=int64; min=1; max=1; examples=[1]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/runs_random.mat	runParadigmFinal	26x2	dtype=uint8; min=0; max=226; examples=[0, 0, 10, 1, 18]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/runs_random.mat	run_number	scalar	dtype=int64; min=5; max=5; examples=[5]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/runs_random.mat	runs	scalar	dtype=int64; min=1; max=1; examples=[1]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/runs_random.mat	runs_random	2	dtype=uint8; min=3; max=6; examples=[3, 6]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/runs_random.mat	scan.ifi	scalar	dtype=float64; min=0.016595722; max=0.016595722; examples=[0.01659572200034745]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/runs_random.mat	scan.runs.triggerTimes	226	dtype=float64; min=248137.643; max=248348.475; examples=[248137.642664, 248138.5793798, 248139.516246, 248140.4533397, 248141.3903448]	scanner/task trigger timing candidate
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/runs_random.mat	scan.runs.vbl	12717x3	dtype=float64; min=0; max=248348.485; examples=[248137.6491016, 0.0, 1.0, 248137.6746919, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/runs_random.mat	screenProperties.ifi	scalar	dtype=float64; min=0.016595722; max=0.016595722; examples=[0.01659572200034745]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/runs_random.mat	start_ask	scalar	dtype=<U1; example=1	clock/timing candidate; clock domain requires validation
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/runs_random.mat	start_ask_yes_no	scalar	dtype=<U1; example=1	clock/timing candidate; clock domain requires validation
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/runs_random.mat	stimRunIndices	12x3	dtype=uint8; min=1; max=12; examples=[1, 12, 12, 2, 11]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/runs_random.mat	timeProperties.t	scalar	dtype=float64; min=210.835872; max=210.835872; examples=[210.83587169999373]	clock/timing candidate; clock domain requires validation
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/runs_random.mat	timeProperties.framecount	scalar	dtype=int64; min=12705; max=12705; examples=[12705]	clock/timing candidate; clock domain requires validation
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/runs_random.mat	trigger	scalar	dtype=int64; min=1; max=1; examples=[1]	keyword-matched metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/runs_random.mat	vbl	12717x3	dtype=float64; min=0; max=248348.485; examples=[248137.6491016, 0.0, 1.0, 248137.6746919, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/runs_random_record_SUB031.mat	runs_random_record	6	dtype=uint8; min=1; max=6; examples=[1, 4, 2, 5, 3]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC035_Session02_2024AUG27/SUBC035_Session02_2024AUG27_matlab/2-Grating/Results/August-27-2024_ 6-09-24_PM__scan_info_for_subject_SUBC035_Session02_2024AUG27__selected_run_is_1__fmri_number_is1.mat	scan.ifi	scalar	dtype=float64; min=0.016567148; max=0.016567148; examples=[0.016567148000467567]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC035_Session02_2024AUG27/SUBC035_Session02_2024AUG27_matlab/2-Grating/Results/August-27-2024_ 6-09-24_PM__scan_info_for_subject_SUBC035_Session02_2024AUG27__selected_run_is_1__fmri_number_is1.mat	scan.runs.triggerTimes	226	dtype=float64; min=291873.37; max=292084.203; examples=[291873.3702652, 291874.306949, 291875.2437483, 291876.1809397, 291877.1178298]	scanner/task trigger timing candidate
/lustre07/scratch/alexrees/raw_original/Control/SUBC035_Session02_2024AUG27/SUBC035_Session02_2024AUG27_matlab/2-Grating/Results/August-27-2024_ 6-09-24_PM__scan_info_for_subject_SUBC035_Session02_2024AUG27__selected_run_is_1__fmri_number_is1.mat	scan.runs.vbl	12718x3	dtype=float64; min=0; max=292084.218; examples=[291873.3780487, 0.0, 1.0, 291873.3961841, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC035_Session02_2024AUG27/SUBC035_Session02_2024AUG27_matlab/2-Grating/Results/August-27-2024_ 6-13-43_PM__scan_info_for_subject_SUBC035_Session02_2024AUG27__selected_run_is_4__fmri_number_is2.mat	scan.ifi	scalar	dtype=float64; min=0.016583034; max=0.016583034; examples=[0.016583034000359476]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC035_Session02_2024AUG27/SUBC035_Session02_2024AUG27_matlab/2-Grating/Results/August-27-2024_ 6-13-43_PM__scan_info_for_subject_SUBC035_Session02_2024AUG27__selected_run_is_4__fmri_number_is2.mat	scan.runs.triggerTimes	226	dtype=float64; min=292132.081; max=292342.915; examples=[292132.0811756, 292133.0180067, 292133.9550693, 292134.8918744, 292135.8288306]	scanner/task trigger timing candidate
/lustre07/scratch/alexrees/raw_original/Control/SUBC035_Session02_2024AUG27/SUBC035_Session02_2024AUG27_matlab/2-Grating/Results/August-27-2024_ 6-13-43_PM__scan_info_for_subject_SUBC035_Session02_2024AUG27__selected_run_is_4__fmri_number_is2.mat	scan.runs.vbl	12718x3	dtype=float64; min=0; max=292342.93; examples=[292132.0874369, 0.0, 1.0, 292132.0980295, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC035_Session02_2024AUG27/SUBC035_Session02_2024AUG27_matlab/2-Grating/Results/August-27-2024_ 6-19-30_PM__scan_info_for_subject_SUBC035_Session02_2024AUG27__selected_run_is_2__fmri_number_is3.mat	scan.ifi	scalar	dtype=float64; min=0.016583842; max=0.016583842; examples=[0.016583841999527067]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC035_Session02_2024AUG27/SUBC035_Session02_2024AUG27_matlab/2-Grating/Results/August-27-2024_ 6-19-30_PM__scan_info_for_subject_SUBC035_Session02_2024AUG27__selected_run_is_2__fmri_number_is3.mat	scan.runs.triggerTimes	226	dtype=float64; min=292479.657; max=292690.491; examples=[292479.6571532, 292480.5939109, 292481.5311198, 292482.4681036, 292483.4049836]	scanner/task trigger timing candidate
/lustre07/scratch/alexrees/raw_original/Control/SUBC035_Session02_2024AUG27/SUBC035_Session02_2024AUG27_matlab/2-Grating/Results/August-27-2024_ 6-19-30_PM__scan_info_for_subject_SUBC035_Session02_2024AUG27__selected_run_is_2__fmri_number_is3.mat	scan.runs.vbl	12717x3	dtype=float64; min=0; max=292690.492; examples=[292479.6630545, 0.0, 1.0, 292479.6806316, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC035_Session02_2024AUG27/SUBC035_Session02_2024AUG27_matlab/2-Grating/Results/August-27-2024_ 6-23-38_PM__scan_info_for_subject_SUBC035_Session02_2024AUG27__selected_run_is_5__fmri_number_is4.mat	scan.ifi	scalar	dtype=float64; min=0.01654876; max=0.01654876; examples=[0.01654876000015065]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC035_Session02_2024AUG27/SUBC035_Session02_2024AUG27_matlab/2-Grating/Results/August-27-2024_ 6-23-38_PM__scan_info_for_subject_SUBC035_Session02_2024AUG27__selected_run_is_5__fmri_number_is4.mat	scan.runs.triggerTimes	226	dtype=float64; min=292727.904; max=292938.738; examples=[292727.9044426, 292728.8410297, 292729.7780996, 292730.7156831, 292731.6520095]	scanner/task trigger timing candidate
/lustre07/scratch/alexrees/raw_original/Control/SUBC035_Session02_2024AUG27/SUBC035_Session02_2024AUG27_matlab/2-Grating/Results/August-27-2024_ 6-23-38_PM__scan_info_for_subject_SUBC035_Session02_2024AUG27__selected_run_is_5__fmri_number_is4.mat	scan.runs.vbl	12718x3	dtype=float64; min=0; max=292938.742; examples=[292727.9121774, 0.0, 1.0, 292727.9208173, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC035_Session02_2024AUG27/SUBC035_Session02_2024AUG27_matlab/2-Grating/Results/fMRI_1.mat	<no matching variables>			candidate timing file without requested variable names
/lustre07/scratch/alexrees/raw_original/Control/SUBC035_Session02_2024AUG27/SUBC035_Session02_2024AUG27_matlab/2-Grating/Results/fMRI_2.mat	<no matching variables>			candidate timing file without requested variable names
/lustre07/scratch/alexrees/raw_original/Control/SUBC035_Session02_2024AUG27/SUBC035_Session02_2024AUG27_matlab/2-Grating/Results/fMRI_3.mat	<no matching variables>			candidate timing file without requested variable names
/lustre07/scratch/alexrees/raw_original/Control/SUBC035_Session02_2024AUG27/SUBC035_Session02_2024AUG27_matlab/2-Grating/Results/fMRI_4.mat	<no matching variables>			candidate timing file without requested variable names
