subject_id	session	run	bids_name	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56
sub-003	ses-02	1	sub-003_ses-02_run-01_T1w	3.861542602	-1.114872642	-0.9035691441	0.9908965337	-3.262177465	-0.2185374607	-0.1504443331	-0.06908404517	0.7768199155	-0.02090194601	-1.189863284	0.3799284933	-0.2789646615	-0.4041005567	-0.9286421997	-0.5369217504	-0.5642337464	-1.267653971	-0.4426080263	-0.3776648248	0.3096263896	0.3258716002	0.49936755	-0.1199731377	-0.01303171875	-0.1742484766	-0.3238625074	0.07803452509	-0.1307189682	-0.01230171778	0.1323889832	0.01877679544	-0.07235699801	-0.009968959619	-0.04430734931	-0.03272959284	-0.06752799583	0.09949095844	0.01073876141	0.03779633291	0.02819771289	-0.005019788698	0.01080641579	0.002814606823	-0.01708248579	0.01250660541	0.004802133247	0.002730544071	0.009384232175	-1.047997603e-05	0.00167381755	1.099430825e-14	-4.905851664e-15	-9.651335195e-16	-3.96184476e-16	1.01464697e-15
sub-003	ses-02	2	sub-003_ses-02_run-02_T1w	-4.854510154	0.2875085099	-1.241499922	0.9679286491	-2.832421008	0.3176731349	0.1575894229	-0.7576518564	0.3618566681	-0.1784271691	-0.7784942302	1.295406525	-0.2047855871	-0.01504891352	-0.8179159835	0.3276592608	-0.409849914	0.144700108	-0.4948260814	-0.353013592	0.576645974	0.1396105126	-0.2402105669	-0.1019899637	-0.2183085166	-0.05364154786	-0.295254238	-0.164794187	0.1458557955	0.0247971124	-0.03146528214	-0.03772400926	-0.001779628048	-0.03115661194	0.03886268088	0.09869761217	0.0106225428	-0.08891770215	0.07098014371	0.01355234166	0.0005902507638	0.03693337976	-0.03837099727	0.05752790277	-0.01150849713	-0.003404941454	0.002913387457	0.002925305196	-0.01384240974	0.001069356183	5.598908342e-05	1.42505468e-14	2.43315691e-15	-5.659181559e-16	6.282140114e-16	-1.050177037e-15
sub-004	ses-01	1	sub-004_ses-01_run-01_T1w	5.584246469	1.719014405	-0.5972610993	0.02479802737	-0.5280500204	-0.3652749025	-1.946010771	-0.7769875504	-0.2904043875	-0.9918344295	0.1668449893	-0.03142428506	-0.9099687392	0.8510535621	0.05534214857	0.4516029907	-0.09130766242	0.1654462264	-0.3717755475	0.2671543816	0.005034655203	0.2542443346	0.386003845	0.5209232551	0.4191341549	0.1919771972	-0.205286624	0.1742217567	-0.2426104073	-0.05450771046	0.1292297904	0.008509039175	0.01383132596	-0.004136825073	-0.1072204737	0.006115092195	0.08814707869	0.002011756922	0.04355663233	0.02231839131	-0.08962213982	0.03199819836	0.03209600147	0.01942215713	-0.03176808122	-0.0154345925	0.01539873247	-0.008081475764	-0.003657015406	-0.0009222397204	-2.477892263e-05	8.000252844e-15	-7.114976685e-15	6.427379363e-17	-3.550879469e-17	-8.740118508e-16
sub-004	ses-01	2	sub-004_ses-01_run-02_T1w	-3.923367081	2.959736354	-1.458372072	-1.465614557	1.023825412	0.6839034879	0.3873314692	-0.4779942472	-0.04862348578	0.2155982835	0.3391093891	-0.1999993165	-0.2937311209	0.6511362884	-0.6227051666	0.1364419879	0.8139559957	-0.1163715253	-0.8725069972	0.1593347228	0.5980727894	0.2724901827	0.05578676774	0.06442813195	-0.2155398957	-0.03278263258	0.02288885835	0.225836124	-0.1899861668	0.08143023157	-0.2033679055	-0.04358925623	-0.08712845623	-0.1957308137	-0.04267336546	-0.1446544469	-0.09845797489	-0.001663971101	-0.02978321492	-0.02456335294	-0.06210349689	0.006309090233	-0.01863172386	0.01318514124	0.03162546069	-0.01881429478	-0.01064427405	-0.004669624097	-0.000890508607	0.0007345278347	-0.0006336601386	1.354859988e-14	3.205146104e-15	8.326069922e-16	-2.008813806e-15	1.684134323e-15
sub-004	ses-02	1	sub-004_ses-02_run-01_T1w	6.497513721	1.651355508	-0.5926264605	-1.144003816	-0.2594639296	0.1132444458	-0.1968139588	-1.196065275	-0.6865356961	-1.612488436	0.3958416037	-0.3632724361	-1.003106306	1.335050306	-0.3286940241	-0.3195085175	-0.4151969825	0.2771236475	-0.3996954597	-0.03928309879	0.3277955831	0.07305784022	0.2422507626	0.436546347	0.2084588952	0.02058287366	-0.4707076086	0.2851524813	-0.0184418163	-0.1039058247	0.1341098777	0.0250180639	-0.0475720335	-0.03892443671	0.03014156459	0.05536642171	0.121873871	0.02785000399	0.05704876878	0.007618934607	-0.03795959199	0.005479264598	0.02489457632	-0.006409964414	-0.007471879188	-0.009871649897	0.01453087024	-0.005938393187	-0.004390940501	0.0004084558067	0.0009688878517	1.404075163e-14	5.499334152e-15	9.41454026e-17	4.471861234e-16	9.757616098e-16
sub-004	ses-02	2	sub-004_ses-02_run-02_T1w	-3.760327581	3.091369956	-2.147271058	-0.8620651588	0.2615516408	0.8964241731	1.079835005	-0.6535314092	0.3829476708	-0.2988644355	0.2948784202	0.1371447575	-0.5788976862	0.5524816052	-0.312373363	-0.8168352897	0.3569008254	-0.2655606361	-0.849222311	0.2085260955	0.4148248055	0.3356136689	0.1383130374	0.3505108209	-0.05391287731	0.08494448242	-0.01814106	0.1955256091	-0.1506137236	0.05415692159	-0.1629251308	-0.06796822313	-0.09155705857	-0.2638574502	0.03793041075	-0.08861512212	-0.05538278228	0.05602427734	-0.06035021327	-0.02688085097	-0.01407868644	-0.002707419943	0.009969718106	0.02526873389	0.0264021621	-0.01362031216	-0.007704123946	-0.003932326783	-0.01336966756	-0.0005009031588	-0.0003571355673	8.308035086e-15	-2.731496613e-15	7.043068314e-16	1.163052053e-16	-3.802995471e-16
sub-005	ses-01	1	sub-005_ses-01_run-01_T1w	2.367462131	-1.226278002	1.140671731	-2.734984682	1.604060975	-0.4011703094	-3.224471005	-0.4650416522	1.711253891	-0.2410986954	0.9120550296	-0.2987912108	0.4537458555	0.09848517936	-0.6421390706	0.6264008985	-0.1998571332	0.07109944143	-0.2815882216	-0.07287061926	0.6749949026	0.04153951121	-0.1706181246	0.3802078222	0.2415389102	0.2892740343	0.1741054746	-0.4665644807	0.0928787435	-0.05052546624	-0.2176399832	0.02173805802	0.09744426687	-0.1207109558	0.003118152662	0.108603105	0.04184666175	-0.1651404483	0.07566595889	-0.03331019202	-0.005237545155	0.03629616416	0.02573863903	-0.01629912031	-0.01039671092	-0.01346428657	-0.02140256271	-0.008230722939	-0.0006503702572	0.0003288819161	0.0003807001499	1.322369653e-14	-2.529602344e-16	-4.203581646e-16	4.601338705e-17	-6.460247017e-17
sub-005	ses-01	2	sub-005_ses-01_run-02_T1w	-6.206434969	-0.2022058318	2.713283058	-0.9813753023	3.526860904	-0.5571799455	-0.980688625	-0.4676715932	0.8808895589	-0.8330044693	-1.045915847	0.2813425621	0.3561128026	0.8493859474	-0.2107681985	0.7164116465	0.3234682483	-0.7241671565	-0.5372492553	0.437033819	0.3019851043	-0.3344178378	-0.07037952723	0.09474540249	0.2386315408	-0.01431708023	0.1153370322	-0.2294269606	-0.1566785545	-0.03266543367	-0.1217845122	-0.03317047406	-0.1129985231	-0.03849468128	0.007596168143	0.005868014177	-0.2488562603	-0.06556505395	0.04264840145	-0.03425594983	-0.01920367007	-0.02527848513	0.006928232437	-0.01291294564	-0.0102822814	0.04205801494	0.005520046444	0.003119259617	0.003248064061	-0.001469340179	-0.0004753097968	1.315555345e-14	2.238487958e-15	1.874311915e-16	6.438849162e-16	-1.014606182e-15
sub-005	ses-02	1	sub-005_ses-02_run-01_T1w	2.121750633	-2.283045463	0.2408786644	-2.329984188	1.312035959	-0.7594297948	-2.326540962	-0.3757518118	2.074762673	-0.005060719087	1.006817676	-0.4811847213	0.1824022663	-0.0982084291	-0.229486982	0.903339918	-0.1504840757	-0.5363970875	-0.5824789642	0.1670183027	0.2162910591	0.1032899383	0.3225481941	0.2993551164	0.277815251	0.5494053178	0.01069513946	-0.3472034589	-0.007856184311	0.02970070216	-0.1426240615	-0.03910873226	0.04081451227	-0.07030214939	0.03479510306	0.01812201996	0.02136118643	-0.1141173027	0.02311862145	-0.005147537348	-0.02796085605	0.02917564801	0.01043984416	-0.03534343638	0.01326797831	-0.009598541502	0.004563833663	-0.007600583961	0.0006661222354	-0.0004517328465	-0.0009223557994	9.396579231e-15	-1.00610329e-15	4.698703656e-16	-3.706243607e-16	-4.097206171e-16
sub-005	ses-02	2	sub-005_ses-02_run-02_T1w	-5.854220118	-0.914090765	1.711233754	-0.7706240039	2.818968474	-0.7599965572	-0.8142889859	-0.6116694058	0.6695859715	-0.8833766355	-0.5122978235	0.210860532	0.08897830779	1.067301699	-0.3669933847	0.9734486241	0.1020755733	-0.5338986477	-0.4057319011	0.3389383197	0.3103837294	-0.2694119801	0.03284865356	0.1795496359	0.09583432115	0.1689644029	0.1328429953	-0.340064501	-0.081984289	0.08160598497	-0.1531664779	-0.06927283782	-0.1064446375	-0.07317227849	-0.06913457761	-0.03120473186	-0.1760087626	-0.03318541766	0.0309974199	-0.02822108199	-0.04039936573	-0.04834349807	0.03243008917	0.001023848045	-0.01266160563	0.03075096992	0.001074882454	0.007325992229	0.002533236975	-0.0006660209134	4.417334922e-05	8.651894997e-15	-3.805932884e-15	-1.999749997e-16	3.367806978e-16	1.293582166e-16
