pc	rank_abs_loading	iqm	iqm_family	family_group	loading	abs_loading	loading_squared	contribution	sign	in_top10	explained_variance_ratio	cumulative_ratio	sum_loading_squared
PC2	34	cnr	contrast	contrast	0.1036492649	0.1036492649	0.01074317011	0.01074317012	+	False	0.1142286296	0.5253279404	0.9999999999
PC2	35	cjv	contrast	contrast	-0.1010188214	0.1010188214	0.01020480228	0.01020480228	-	False	0.1142286296	0.5253279404	0.9999999999
PC2	36	summary_bg_p95	intensity_summary	intensity	-0.09903071387	0.09903071387	0.00980708229	0.00980708229	-	False	0.1142286296	0.5253279404	0.9999999999
PC2	37	summary_gm_k	intensity_summary	intensity	-0.09640279087	0.09640279087	0.009293498088	0.009293498088	-	False	0.1142286296	0.5253279404	0.9999999999
PC2	38	summary_csf_stdv	intensity_summary	intensity	0.09465696493	0.09465696493	0.00895994101	0.008959941011	+	False	0.1142286296	0.5253279404	0.9999999999
PC2	39	inu_med	bias_field	homogeneity / bias field	-0.07514577911	0.07514577911	0.005646888118	0.005646888119	-	False	0.1142286296	0.5253279404	0.9999999999
PC2	40	wm2max	intensity_ratio	intensity	0.06066838661	0.06066838661	0.003680653134	0.003680653134	+	False	0.1142286296	0.5253279404	0.9999999999
PC2	41	fber	energy	entropy / information	0.06058469177	0.06058469177	0.003670504877	0.003670504877	+	False	0.1142286296	0.5253279404	0.9999999999
PC2	42	summary_bg_stdv	intensity_summary	intensity	0.04953178632	0.04953178632	0.002453397856	0.002453397856	+	False	0.1142286296	0.5253279404	0.9999999999
PC2	43	summary_gm_mean	intensity_summary	intensity	0.04002075957	0.04002075957	0.001601661197	0.001601661197	+	False	0.1142286296	0.5253279404	0.9999999999
PC2	44	summary_bg_mean	intensity_summary	intensity	-0.0372372277	0.0372372277	0.001386611127	0.001386611127	-	False	0.1142286296	0.5253279404	0.9999999999
PC2	45	summary_gm_p95	intensity_summary	intensity	-0.0365628339	0.0365628339	0.001336840823	0.001336840823	-	False	0.1142286296	0.5253279404	0.9999999999
PC2	46	icvs_wm	tissue_fraction	morphology / tissue	-0.03655643205	0.03655643205	0.001336372724	0.001336372724	-	False	0.1142286296	0.5253279404	0.9999999999
PC2	47	summary_gm_median	intensity_summary	intensity	0.03607318785	0.03607318785	0.001301274882	0.001301274882	+	False	0.1142286296	0.5253279404	0.9999999999
PC2	48	tpm_overlap_wm	template_overlap	morphology / tissue	-0.03361364735	0.03361364735	0.001129877288	0.001129877288	-	False	0.1142286296	0.5253279404	0.9999999999
PC2	49	summary_csf_mad	intensity_summary	intensity	0.03072020313	0.03072020313	0.0009437308803	0.0009437308804	+	False	0.1142286296	0.5253279404	0.9999999999
PC2	50	summary_bg_k	intensity_summary	intensity	-0.02933639124	0.02933639124	0.000860623851	0.0008606238511	-	False	0.1142286296	0.5253279404	0.9999999999
PC2	51	inu_range	bias_field	homogeneity / bias field	-0.02796159784	0.02796159784	0.0007818509538	0.0007818509538	-	False	0.1142286296	0.5253279404	0.9999999999
PC2	52	summary_gm_mad	intensity_summary	intensity	0.02248608635	0.02248608635	0.0005056240793	0.0005056240794	+	False	0.1142286296	0.5253279404	0.9999999999
PC2	53	tpm_overlap_gm	template_overlap	morphology / tissue	-0.01585628279	0.01585628279	0.0002514217039	0.0002514217039	-	False	0.1142286296	0.5253279404	0.9999999999
PC2	54	summary_csf_k	intensity_summary	intensity	-0.01198206347	0.01198206347	0.000143569845	0.000143569845	-	False	0.1142286296	0.5253279404	0.9999999999
PC2	55	summary_wm_p95	intensity_summary	intensity	-0.0006632986994	0.0006632986994	4.399651646e-07	4.399651647e-07	-	False	0.1142286296	0.5253279404	0.9999999999
PC2	56	summary_wm_k	intensity_summary	intensity	-0.0002861367407	0.0002861367407	8.187423438e-08	8.187423439e-08	-	False	0.1142286296	0.5253279404	0.9999999999
PC3	1	snrd_csf	snr_dietrich	signal / SNR	0.2824242304	0.2824242304	0.07976344592	0.07976344591	+	True	0.09591836085	0.6212463013	1
PC3	2	snrd_total	snr_dietrich	signal / SNR	0.2721285355	0.2721285355	0.07405393983	0.07405393983	+	True	0.09591836085	0.6212463013	1
PC3	3	snrd_gm	snr_dietrich	signal / SNR	0.2713496602	0.2713496602	0.07363063809	0.07363063809	+	True	0.09591836085	0.6212463013	1
PC3	4	snrd_wm	snr_dietrich	signal / SNR	0.2675411006	0.2675411006	0.07157824051	0.07157824051	+	True	0.09591836085	0.6212463013	1
PC3	5	summary_gm_p05	intensity_summary	intensity	0.254604456	0.254604456	0.06482342902	0.06482342901	+	True	0.09591836085	0.6212463013	1
PC3	6	efc	entropy	entropy / information	-0.247892567	0.247892567	0.06145072477	0.06145072477	-	True	0.09591836085	0.6212463013	1
PC3	7	summary_csf_mad	intensity_summary	intensity	0.2366170081	0.2366170081	0.05598760852	0.05598760852	+	True	0.09591836085	0.6212463013	1
PC3	8	qi_2	artifact	artifact	-0.2182077831	0.2182077831	0.04761463661	0.0476146366	-	True	0.09591836085	0.6212463013	1
PC3	9	summary_csf_stdv	intensity_summary	intensity	0.2056784211	0.2056784211	0.04230361291	0.0423036129	+	True	0.09591836085	0.6212463013	1
PC3	10	rpve_gm	partial_volume	morphology / tissue	0.1739070899	0.1739070899	0.03024367592	0.03024367592	+	True	0.09591836085	0.6212463013	1
PC3	11	rpve_wm	partial_volume	morphology / tissue	0.1734950523	0.1734950523	0.03010053317	0.03010053317	+	False	0.09591836085	0.6212463013	1
PC3	12	rpve_csf	partial_volume	morphology / tissue	0.1726723806	0.1726723806	0.02981575102	0.02981575102	+	False	0.09591836085	0.6212463013	1
PC3	13	summary_csf_p05	intensity_summary	intensity	-0.1647691645	0.1647691645	0.02714887757	0.02714887757	-	False	0.09591836085	0.6212463013	1
PC3	14	summary_wm_p05	intensity_summary	intensity	0.1512626441	0.1512626441	0.0228803875	0.0228803875	+	False	0.09591836085	0.6212463013	1
PC3	15	summary_bg_stdv	intensity_summary	intensity	-0.1510934821	0.1510934821	0.02282924033	0.02282924033	-	False	0.09591836085	0.6212463013	1
PC3	16	snr_gm	snr	signal / SNR	0.1463122177	0.1463122177	0.02140726505	0.02140726505	+	False	0.09591836085	0.6212463013	1
PC3	17	summary_csf_p95	intensity_summary	intensity	0.142597264	0.142597264	0.0203339797	0.0203339797	+	False	0.09591836085	0.6212463013	1
PC3	18	summary_wm_k	intensity_summary	intensity	0.1408947328	0.1408947328	0.01985132573	0.01985132573	+	False	0.09591836085	0.6212463013	1
PC3	19	tpm_overlap_gm	template_overlap	morphology / tissue	0.139636555	0.139636555	0.01949836749	0.01949836749	+	False	0.09591836085	0.6212463013	1
PC3	20	icvs_gm	tissue_fraction	morphology / tissue	0.1321909526	0.1321909526	0.01747444795	0.01747444795	+	False	0.09591836085	0.6212463013	1
PC3	21	summary_wm_mean	intensity_summary	intensity	0.1217158148	0.1217158148	0.01481473957	0.01481473957	+	False	0.09591836085	0.6212463013	1
PC3	22	summary_wm_median	intensity_summary	intensity	0.1176051436	0.1176051436	0.0138309698	0.0138309698	+	False	0.09591836085	0.6212463013	1
PC3	23	summary_csf_median	intensity_summary	intensity	0.1171148406	0.1171148406	0.01371588589	0.01371588589	+	False	0.09591836085	0.6212463013	1
PC3	24	snr_csf	snr	signal / SNR	-0.1146910369	0.1146910369	0.01315403395	0.01315403394	-	False	0.09591836085	0.6212463013	1
PC3	25	summary_bg_k	intensity_summary	intensity	0.1018916509	0.1018916509	0.01038190852	0.01038190852	+	False	0.09591836085	0.6212463013	1
PC3	26	snr_total	snr	signal / SNR	0.09760114654	0.09760114654	0.009525983806	0.009525983805	+	False	0.09591836085	0.6212463013	1
PC3	27	summary_gm_mean	intensity_summary	intensity	0.09732324339	0.09732324339	0.009471813704	0.009471813703	+	False	0.09591836085	0.6212463013	1
PC3	28	summary_csf_mean	intensity_summary	intensity	0.09556033177	0.09556033177	0.009131777008	0.009131777007	+	False	0.09591836085	0.6212463013	1
PC3	29	summary_wm_mad	intensity_summary	intensity	-0.09471260695	0.09471260695	0.008970477915	0.008970477915	-	False	0.09591836085	0.6212463013	1
PC3	30	icvs_csf	tissue_fraction	morphology / tissue	-0.09240596042	0.09240596042	0.008538861521	0.008538861521	-	False	0.09591836085	0.6212463013	1
PC3	31	summary_gm_median	intensity_summary	intensity	0.08935025443	0.08935025443	0.007983467967	0.007983467966	+	False	0.09591836085	0.6212463013	1
PC3	32	summary_gm_stdv	intensity_summary	intensity	-0.08577720135	0.08577720135	0.007357728271	0.007357728271	-	False	0.09591836085	0.6212463013	1
PC3	33	snr_wm	snr	signal / SNR	0.08005298192	0.08005298192	0.006408479914	0.006408479914	+	False	0.09591836085	0.6212463013	1
PC3	34	summary_bg_mean	intensity_summary	intensity	-0.07504190513	0.07504190513	0.005631287526	0.005631287525	-	False	0.09591836085	0.6212463013	1
PC3	35	summary_wm_p95	intensity_summary	intensity	0.07282134992	0.07282134992	0.005302949004	0.005302949004	+	False	0.09591836085	0.6212463013	1
PC3	36	cnr	contrast	contrast	0.06218880533	0.06218880533	0.003867447508	0.003867447508	+	False	0.09591836085	0.6212463013	1
PC3	37	fber	energy	entropy / information	0.0519602725	0.0519602725	0.002699869918	0.002699869918	+	False	0.09591836085	0.6212463013	1
