physical_acquisition_id	subject_id	session	run	bids_name	selected_run	selected_reconstruction	selection_rule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56
sub-006_ses-01_phys01	sub-006	ses-01	2	sub-006_ses-01_run-02_T1w	2	NORM	prefer_NORM	-0.1338268898	-0.1125923645	-1.718838656	-1.184644168	-0.9717685313	0.5537678424	1.3204413	1.965600039	-0.8712186332	-0.6429451194	-0.7217853627	-0.8057836945	-0.1812072411	0.3513445924	-0.06415774139	-0.6383203106	-1.040921172	0.1788004799	-0.2749792453	-0.2771261342	-0.08222760319	0.3812639675	-0.6995368953	-0.2697514219	-0.3378344999	0.07999693341	0.01087227502	-0.21113898	-0.09362876189	-0.05056896253	-0.3873239336	-0.04144169133	-0.02014164405	0.1965740728	-0.01921183988	0.001242546677	-0.03508802553	0.0001791440306	0.02544096281	-0.02339510191	-0.0008743788763	0.02199366328	-0.007726211058	0.01255300758	0.0553581768	-0.01179775432	-0.01541065474	0.008088667677	0.003465066453	0.0008079609551	-3.692109867e-05	1.091756239e-14	4.470925526e-15	1.812849378e-15	-3.673897627e-16	2.024465484e-16
sub-006_ses-02_phys01	sub-006	ses-02	2	sub-006_ses-02_run-02_T1w	2	NORM	prefer_NORM	1.60833381	0.1033770186	0.3000031826	-1.208858825	0.04830707555	0.8349628327	-0.8900327896	2.060756629	-0.3293425239	0.06344631814	0.3771339456	0.007208400955	-0.06976517914	0.5051051884	-0.06718416097	-0.8985147813	-0.2230532812	0.4292166824	0.3310840238	0.01606667104	-0.05086937309	0.073556779	-0.5131521915	-0.1247177909	-0.04002278193	0.07160416753	-0.008684248269	0.1460383962	-0.1660971543	-0.07237143873	-0.2695479687	0.1104108844	-0.04875590797	0.1393463513	0.1045803607	0.008434376283	0.04298608459	-0.0536918147	0.008415371067	-0.006628557273	-0.003689129963	0.0467613492	5.470826611e-05	0.009227507041	-0.01870625384	-0.01335148967	0.008850687707	-0.001856821045	-0.002858492233	0.000275373271	8.759522695e-05	1.825888001e-15	4.574818842e-15	-6.901445311e-16	6.176548957e-16	-3.897581083e-17
sub-007_ses-01_phys01	sub-007	ses-01	2	sub-007_ses-01_run-02_T1w	2	NORM	prefer_NORM	1.339963217	-2.797601602	0.4277606005	-0.7429724008	0.8869582512	-0.3292526001	-3.414561104	-0.3385817269	0.7218125164	0.2438236671	-0.3404455773	-1.123629408	0.1091213819	0.1280338199	-0.6696980946	0.5409651734	-0.4543160659	-0.0494122499	0.2096850303	-0.06933689249	0.2734927536	-0.5155269926	-0.05312682542	-0.1064056999	-0.2887077409	0.05363902384	0.193698242	-0.3505671508	0.03804545537	-0.1566015861	-0.1600786479	-0.1279957436	0.01520400687	0.09746815326	-0.01808398938	-0.02075214042	-0.0178759488	-0.06116444932	-0.02167859126	0.02004745286	0.01551660474	0.01287861537	-0.03846918824	-0.0241143818	0.01629702982	0.02515325334	-0.00767974949	-0.01800970467	0.0006971928313	-0.001014891376	-1.471474747e-05	-6.175154629e-15	3.631859709e-15	-1.589190512e-15	1.418978615e-15	-5.574572413e-16
sub-007_ses-02_phys01	sub-007	ses-02	2	sub-007_ses-02_run-02_T1w	2	NORM	prefer_NORM	1.051680833	-4.039952045	0.1897661504	-0.005281973877	2.988806907	0.5735323345	-2.052452642	-0.8806674676	0.002281742127	1.010835076	-0.3638869512	-0.8040692595	-1.49992694	1.431015538	-0.4675524389	0.6047497211	-0.843325992	-0.2236406553	0.1233538033	0.1496429109	-0.1029807669	-0.2707478725	-0.2714705232	0.01609033472	-0.09956539032	0.2361675572	0.1320026034	0.1214832971	-0.2017837551	0.3033489953	0.0180826875	0.1108105856	-0.06531350518	-0.07159905642	0.01011307186	-0.1113958504	-0.08940404759	-0.01158398896	-0.03503991084	0.03028226985	0.002431092535	-0.0448899145	-0.028021736	-0.0084841435	0.01403953884	0.006726841453	-0.01959769804	0.007910828076	-0.006025665131	-0.0004000303623	0.000476192776	4.179292561e-16	4.04345359e-15	-2.083314962e-15	-4.429171879e-16	8.682846319e-17
sub-008_ses-01_phys01	sub-008	ses-01	2	sub-008_ses-01_run-02_T1w	2	NORM	prefer_NORM	-6.27868888	5.475613257	-0.1331858867	1.066026325	0.1078535391	-0.3852234484	-0.04009217368	0.694900493	0.4568355446	-0.5141800377	0.04975359615	-0.1723286412	0.2746294695	0.08955041291	0.6002411883	0.7833379445	-1.002469541	1.147959901	-0.006083346761	-0.1674810556	0.002406008182	-0.636171098	-0.2944853137	-0.2278753931	0.1435902589	0.02476089475	-0.2754857619	-0.1017320442	0.0928645648	0.08210897323	-0.1160335101	0.02146030536	-0.1222950614	-0.08761465641	0.1597956443	-0.0185043111	0.02231811628	0.01294589811	-0.06418527354	-0.03176173978	-0.03908289311	-0.01715258883	0.006426731171	-0.005202496608	-0.02014971584	-0.02237137123	-0.01459661106	-0.02470358147	0.007539328607	1.79865904e-05	-0.0007054961753	-2.741900839e-15	3.695448212e-15	-4.986233648e-16	2.3049048e-16	-3.148900494e-16
sub-008_ses-02_phys01	sub-008	ses-02	2	sub-008_ses-02_run-02_T1w	2	NORM	prefer_NORM	-5.222950844	4.61010902	0.2574562942	0.02236748267	0.8142704325	0.3133679419	-0.5811484495	0.6352448015	0.4358543525	-0.487023019	0.1237899083	-0.02689152838	0.485640721	0.03400009538	0.4077376839	0.3707813131	-0.8746530129	1.366572521	0.2126942041	-0.4638994362	0.09636695872	-0.3933536152	-0.02210456386	0.04329821618	0.1173953589	-0.04008454633	-0.337298545	-0.1236111159	-0.01486603694	0.2003630801	-0.08696734956	-0.10565353	-0.05378554146	-0.01206442877	0.1134231729	0.08975634	0.03809133934	0.04279053973	-0.04780325652	-0.02523921308	0.04110130539	-0.00698666458	-7.077368e-05	0.01009534989	-0.01354405157	-0.01485245199	0.01651136126	0.0215774569	0.0088684215	-0.0001498550517	-0.0002489659386	5.941253302e-15	4.257932942e-15	-3.836938678e-16	-5.332168559e-16	-8.052833535e-17
sub-009_ses-01_phys01	sub-009	ses-01	2	sub-009_ses-01_run-02_T1w	2	NORM	prefer_NORM	0.6587359595	-0.6603195728	0.377502109	-1.724481092	-1.00407683	-0.6494603051	0.2626724866	0.4964566963	-0.744384361	-0.9528423647	-0.4542644381	0.994884146	-0.6806486796	-0.1198212351	-1.797505384	0.02414430988	-0.3668534351	-0.4001352721	-0.088943	-0.2829718438	-0.1665562191	0.1665908067	-0.4569126827	0.03937597487	0.5924440965	-0.02026372704	0.1654028175	0.04583207253	-0.2229156111	-0.05458989014	0.1285743121	-0.05280138876	0.008486297848	-0.06916946672	-0.04528555655	-0.08796225244	0.05250808846	-0.05473410921	-0.1192153038	0.05678415771	6.603680677e-05	0.006713004608	-0.01413013198	0.0161777047	-0.02616448985	-0.002460205712	0.00325500399	0.0270358926	0.001251120392	-0.0003197274266	-0.0002643732624	4.551212872e-15	3.20393144e-15	3.066013008e-15	-8.12421469e-17	4.361805782e-16
sub-009_ses-02_phys01	sub-009	ses-02	2	sub-009_ses-02_run-02_T1w	2	NORM	prefer_NORM	0.09062068398	-2.969723312	0.2768858319	-1.078871493	-1.231424553	-1.024130256	0.7245442733	-0.6885040661	0.6734586093	-0.5089820343	-0.4981707701	1.074216176	0.3723020291	-0.5022885132	-0.9273866067	-0.408022086	-0.08216244504	-1.038176002	-0.1697769092	-0.4776247132	-0.007024805492	-0.3107587502	-0.347405597	0.2148996672	0.5749803522	-0.1440329382	0.1298806475	-0.00388640304	-0.1725515534	-0.1280103917	0.3325614518	0.02066132303	-0.03508943256	0.06349604732	0.0306732783	-0.02013093953	0.1162222584	-0.0278133778	0.004355095046	0.01553956875	0.03619194931	-0.02356325977	0.01125486603	-0.001476918185	-9.577413536e-05	-0.01442576826	-0.006653303908	0.01037166617	-0.004411157037	-0.0004317288607	-0.0001946282732	-3.047039059e-15	4.071218911e-15	-1.24753287e-15	1.107496079e-15	-2.951471703e-16
sub-010_ses-01_phys01	sub-010	ses-01	2	sub-010_ses-01_run-02_T1w	2	NORM	prefer_NORM	-4.213313923	2.492287797	1.58275207	-0.9344563411	-1.149872138	1.966291911	-0.7255330101	-0.2870415317	0.245946773	-0.003291194192	1.014127069	-1.068992546	-0.8722749133	-0.7888383269	0.7246470369	0.07183478739	-0.203952949	0.1674638081	0.3659542407	0.4328329501	-0.3597968546	-0.3915162781	-0.06175100699	0.2736271042	-0.2630598392	-0.06955152057	0.2917556693	0.0003171630363	-0.1575631986	-0.2361564299	0.07927578969	0.00340768526	0.1028897736	-0.001093670413	0.01214999055	-0.04532892684	-0.02202206309	-0.009004038438	-0.001157462779	-0.07788335979	-0.04878846957	-0.01040838125	-0.03111469608	0.02230668205	-0.006337932146	0.01574252747	0.0001073558578	0.001801375663	-0.004498644682	0.0001926088265	-0.0004226280105	-8.367844738e-15	3.965241079e-15	-7.434900437e-16	-2.491736766e-16	5.563412616e-16
sub-011_ses-01_phys01	sub-011	ses-01	2	sub-011_ses-01_run-02_T1w	2	NORM	prefer_NORM	-6.144659174	3.102496128	-0.9838340688	-0.6023988775	2.099194376	3.256320923	2.935446696	-1.324748047	-0.150124013	-0.7866038068	1.470748875	0.3615692855	-0.03303152482	-0.2037182164	-1.514548896	1.056342679	-0.8122948479	-0.1850773259	-0.4647171573	0.7406443366	-0.04049951552	0.08390321815	0.1456521759	0.06696480906	0.1038812989	-0.2658705574	0.2560078376	0.2130023176	0.009627613414	0.1283042912	-0.237708662	0.02835575168	-0.1468419237	0.03885781082	-0.07712675723	-0.08986352457	0.007278716217	0.01867359966	-0.03747387581	-0.01473612761	-0.0148913351	-0.02191476473	0.01858213785	0.01851931752	0.0065668852	-0.005840407988	0.005777749199	0.0109329362	0.005683206824	0.0001253451603	0.0001119434115	-7.887443151e-15	3.212959861e-15	1.067043692e-15	9.580966902e-17	2.875782064e-16
