iqm	previous_interaction_estimate	previous_interaction_p	previous_interaction_q	session_level_interaction_estimate	session_level_interaction_p	session_level_interaction_q	delta_estimate	delta_q	previous_significant_fdr	session_level_significant_fdr	previous_glaucoma_interaction	previous_glaucoma_ci_low	previous_glaucoma_ci_high	glaucoma_interaction	session_level_glaucoma_ci_low	session_level_glaucoma_ci_high	rank_previous	rank_session_level	interaction_coefficients_prev	interaction_coefficients_new
icvs_wm	1.853495854	0.6033633967	0.9930506376	4.345312414	0.2265100806	0.9446676846	2.49181656	-0.048382953	False	False	-0.00253291	-0.0105285	0.00546266	-0.001569967367	-0.00575976372	0.002619828986	6	5	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.00988602 SE=0.00933495 CI=[-0.00841014,0.0281822] p=0.2896 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.00473661 SE=0.0107343 CI=[-0.0163023,0.0257755] p=0.659 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.00253291 SE=0.00407945 CI=[-0.0105285,0.00546266] p=0.5347"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0105457 SE=0.00561346 CI=[-0.000456502,0.0215478] p=0.06029 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.00191541 SE=0.00560151 CI=[-0.00906334,0.0128942] p=0.7324 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.00156997 SE=0.00213769 CI=[-0.00575976,0.00261983] p=0.4627"
inu_med	0.6892795558	0.8757225624	0.9930506376	2.392485341	0.4950350071	0.9611864791	1.703205785	-0.03186415854	False	False	-0.03707	-0.199375	0.125235	-0.016393321	-0.1094115929	0.07662495089	6	16	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.118684 SE=0.190564 CI=[-0.254814,0.492182] p=0.5334 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0453786 SE=0.21762 CI=[-0.381148,0.471905] p=0.8348 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.03707 SE=0.08281 CI=[-0.199375,0.125235] p=0.6544"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.189901 SE=0.130633 CI=[-0.0661344,0.445937] p=0.146 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0208361 SE=0.125387 CI=[-0.224917,0.26659] p=0.868 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0163933 SE=0.0474592 CI=[-0.109412,0.076625] p=0.7298"
inu_range	0.593745825	0.8978626196	0.9930506376	4.336144405	0.2273798205	0.9446676846	3.74239858	-0.048382953	False	False	-0.0434968	-0.283773	0.196779	-0.004263743623	-0.121588404	0.1130609167	6	5	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.173751 SE=0.282937 CI=[-0.380796,0.728298] p=0.5392 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0694118 SE=0.322246 CI=[-0.562179,0.701003] p=0.8295 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0434968 SE=0.122592 CI=[-0.283773,0.196779] p=0.7227"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.294378 SE=0.150904 CI=[-0.00138864,0.590145] p=0.05109 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.115177 SE=0.156757 CI=[-0.192062,0.422415] p=0.4625 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.00426374 SE=0.0598606 CI=[-0.121588,0.113061] p=0.9432"
qi_2	8.511103703	0.03654934559	0.4093526706	1.223507244	0.7473720001	0.9674290517	-7.287596459	0.5580763811	False	False	0.000192712	-2.08764e-05	0.000406301	0.0001000454342	-0.000268425843	0.0004685167114	5	30	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.000211457 SE=0.000276757 CI=[-0.000753891,0.000330977] p=0.4448 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.000627975 SE=0.000280703 CI=[7.78066e-05,0.00117814] p=0.02528 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.000192712 SE=0.000108976 CI=[-2.08764e-05,0.000406301] p=0.07699"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.000225636 SE=0.000469395 CI=[-0.00114563,0.000694362] p=0.6307 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.00041421 SE=0.000493216 CI=[-0.000552477,0.0013809] p=0.401 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.000100045 SE=0.000187999 CI=[-0.000268426,0.000468517] p=0.5946"
rpve_csf	32.24781717	4.640407639e-07	2.598628278e-05	14.16402257	0.002690181754	0.05021672607	-18.0837946	0.05019073979	True	False	-0.0304794	-0.0570602	-0.00389864	-0.0333090166	-0.07386142258	0.007243389376	1	3	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.184858 SE=0.0347621 CI=[-0.252991,-0.116726] p=1.05e-07 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0283682 SE=0.0347677 CI=[-0.0965115,0.0397752] p=0.4145 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0304794 SE=0.0135619 CI=[-0.0570602,-0.00389864] p=0.02461"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.187541 SE=0.0539718 CI=[-0.293324,-0.0817583] p=0.0005112 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.03157 SE=0.053991 CI=[-0.13739,0.0742503] p=0.5587 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.033309 SE=0.0206904 CI=[-0.0738614,0.00724339] p=0.1074"
rpve_gm	10.88445972	0.01236733655	0.1731427117	15.93300208	0.001170418747	0.03277172492	5.048542358	-0.1403709868	False	True	-0.0286068	-0.0757559	0.0185423	-0.03317383954	-0.07391510927	0.007567430193	4	1	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.192095 SE=0.0616481 CI=[-0.312923,-0.0712671] p=0.001833 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0356213 SE=0.061679 CI=[-0.15651,0.0852673] p=0.5636 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0286068 SE=0.0240561 CI=[-0.0757559,0.0185423] p=0.2344"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.20166 SE=0.0542226 CI=[-0.307934,-0.0953855] p=0.0001999 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0374378 SE=0.0542424 CI=[-0.143751,0.0688753] p=0.4901 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0331738 SE=0.0207867 CI=[-0.0739151,0.00756743] p=0.1105"
rpve_wm	11.96042138	0.007519977203	0.1403729078	16.80643643	0.0007745658639	0.03277172492	4.846015055	-0.1076011829	False	True	-0.0319282	-0.0782823	0.0144259	-0.03705150272	-0.07785326987	0.003750264422	3	1	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.196319 SE=0.0606091 CI=[-0.31511,-0.0775272] p=0.001199 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0333512 SE=0.0606386 CI=[-0.152201,0.0854982] p=0.5823 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0319282 SE=0.0236505 CI=[-0.0782823,0.0144259] p=0.177"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.205019 SE=0.054303 CI=[-0.311451,-0.098587] p=0.0001597 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0341188 SE=0.0543229 CI=[-0.14059,0.0723521] p=0.53 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0370515 SE=0.0208176 CI=[-0.0778533,0.00375026] p=0.07511"
snr_csf	3.410070827	0.3326142902	0.9930506376	3.171017418	0.366001778	0.9611864791	-0.2390534091	-0.03186415854	False	False	0.0108455	-0.0414835	0.0631746	0.01133102098	-0.04792478484	0.07058682679	6	16	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0866177 SE=0.0677701 CI=[-0.219445,0.0462093] p=0.2012 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0846961 SE=0.0686532 CI=[-0.0498617,0.219254] p=0.2173 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0108455 SE=0.026699 CI=[-0.0414835,0.0631746] p=0.6846"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.105504 SE=0.0776501 CI=[-0.257696,0.046687] p=0.1742 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0823471 SE=0.0789403 CI=[-0.072373,0.237067] p=0.2969 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.011331 SE=0.0302331 CI=[-0.0479248,0.0705868] p=0.7078"
snr_gm	0.6001011436	0.8964092184	0.9930506376	2.409969474	0.4917815065	0.9611864791	1.80986833	-0.03186415854	False	False	0.142811	-0.295087	0.580708	0.1089622358	-0.1051974686	0.3231219401	6	16	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.209432 SE=0.540276 CI=[-1.26835,0.849489] p=0.6983 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.00855916 SE=0.584109 CI=[-1.13627,1.15339] p=0.9883 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.142811 SE=0.223421 CI=[-0.295087,0.580708] p=0.5227"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.26793 SE=0.281089 CI=[-0.818855,0.282995] p=0.3405 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.159856 SE=0.286415 CI=[-0.721218,0.401506] p=0.5768 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.108962 SE=0.109267 CI=[-0.105197,0.323122] p=0.3187"
snr_total	1.228746368	0.7461183216	0.9930506376	2.92648582	0.403099047	0.9611864791	1.697739452	-0.03186415854	False	False	0.124469	-0.311238	0.560175	0.08208307859	-0.1093526844	0.2735188416	6	16	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.476856 SE=0.533888 CI=[-1.52326,0.569546] p=0.3718 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.117921 SE=0.58183 CI=[-1.02244,1.25829] p=0.8394 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.124469 SE=0.222303 CI=[-0.311238,0.560175] p=0.5755"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.352267 SE=0.251074 CI=[-0.844363,0.139828] p=0.1606 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.062266 SE=0.256555 CI=[-0.565105,0.440573] p=0.8082 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0820831 SE=0.0976731 CI=[-0.109353,0.273519] p=0.4007"
