iqm	family_group	n_obs	n_subjects	iqm_sd	beta_before	beta_before_std	se_before	p_before	ci_low_before	ci_high_before	r2_before	beta_after	beta_after_std	se_after	p_after	ci_low_after	ci_high_after	r2_after	effect_attenuation	anatomy_sensitive_by_construction	selected_anatomy	q_before	q_after	cohort_shift_class
inu_range	homogeneity / bias field	132	83	0.05372019359289015	0.03795952875998935	0.706615635968469	0.013369538159444787	0.00527966473447832	0.011499553457093987	0.06441950406288471	0.11383255871177278	0.03423596084091639	0.6373015164533492	0.014299943900980548	0.018182551420800455	0.005927793632560043	0.06254412804927273	0.12126317970502964	0.9019068981963304	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.0221209073188298	0.11313587550720282	attenuated_lost_fdr
qi_2	artifact	132	83	0.0005796383361957636	4.80253679768038e-05	0.08285402289296477	0.0001434295114369213	0.7383099941294771	-0.00023583943610741527	0.00033189017206102287	0.12396601771352755	-2.1456033039762464e-05	-0.0370162421978177	0.00014842617123266672	0.8852992296710449	-0.00031528046357213335	0.00027236839749260837	0.18684738690243785	-0.44676457346720805	FALSE	icv_etiv+total_wm+mean_cortical_thickness	0.8796885036436323	0.9013955793014276	not_fdr_significant
rpve_csf	morphology / tissue	132	83	0.6204652420619219	-0.20121389571067494	-0.3242951934616089	0.13977146679837762	0.15248248299626715	-0.4778389754574922	0.07541118403614233	0.2739605024025794	-0.017538961544507792	-0.028267436039160786	0.08366232984454139	0.8342984205836271	-0.1831568995363864	0.1480789764473708	0.774529208663066	0.08716575702965877	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.3049649659925343	0.8815228594845872	not_fdr_significant
rpve_gm	morphology / tissue	132	83	0.6222141947275796	-0.21102370001855386	-0.3391496076539127	0.14006718636393822	0.13443902164045257	-0.4882340454871933	0.06618664545008557	0.2749781455429018	-0.026150111784760566	-0.04202750757913795	0.08496375970684807	0.7587748704641347	-0.1943443601738848	0.14204413660436366	0.768765351466251	0.12392026005828428	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.28522130030851467	0.8554314388308178	not_fdr_significant
rpve_wm	morphology / tissue	132	83	0.6191390961548245	-0.20895502872012406	-0.3374928671405882	0.13979889032197224	0.13751741264874814	-0.4856343830236521	0.06772432558340397	0.2705607841039098	-0.025360472001241308	-0.04096086349374965	0.08530923132981455	0.7667606215749426	-0.19423861597320113	0.14351767197071852	0.7645596498493155	0.12136808650443782	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.28522130030851467	0.8554314388308178	not_fdr_significant
snr_csf	signal / SNR	132	83	0.14920732328022457	-0.012991887244449038	-0.08707271840839288	0.03371256827469759	0.7006166645878193	-0.07971324390668369	0.053729469417785614	0.26959873504080867	-0.014787072743791388	-0.0991042022516546	0.034017814119805194	0.6645581514270266	-0.08212873344080986	0.05255458795322708	0.3553888344960978	1.1381774229998316	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.8529246351503889	0.81565314795446	not_fdr_significant
snr_gm	signal / SNR	132	83	0.5945538043672489	-0.3310292168520949	-0.5567691509507557	0.1382643990343047	0.018143459975055686	-0.6046716224525365	-0.05738681125165335	0.22625735577468764	-0.12536112946433647	-0.21084909144219752	0.1329052630315026	0.34742396957008226	-0.38846037200810446	0.1377381130794315	0.38032021512885783	0.3787011027499373	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.05644631992239547	0.6331555033902525	not_fdr_significant
snr_total	signal / SNR	132	83	0.6035832665607206	-0.27558987979410526	-0.4565896622092337	0.15156871223588814	0.0714202566930997	-0.5755631724108042	0.02438341282259371	0.0977999294611005	-0.2600448606844559	-0.4308351060926825	0.15554589583249823	0.09712263246352411	-0.5679634971693172	0.047873775800405305	0.17641576308247175	0.9435936503863527	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.16664726561723264	0.27662906389979347	not_fdr_significant
snr_wm	signal / SNR	132	83	1.3691488960348124	-0.4827485352857729	-0.35259023812812423	0.3475178887694416	0.16726211546088826	-1.170529567397029	0.2050324968254834	0.0782543714514875	-0.6399863798452401	-0.467433733247496	0.3551861049327528	0.07404097321516631	-1.3431127500005609	0.06313999031008055	0.1654048259737766	1.325713768279767	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.32298891261412904	0.25914340625308213	not_fdr_significant
snrd_csf	signal / SNR	132	83	16.447011765290775	-2.3367596113770435	-0.14207806528772984	3.955403550484172	0.5557368327820293	-10.164994140545113	5.491474917791027	0.17250436931251123	-3.239388003166793	-0.1969590615848582	4.033728120770945	0.4234929282901927	-11.224555700782942	4.7457796944493555	0.25405890385671726	1.3862735333985998	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.7679485099807335	0.6587667773402996	not_fdr_significant
snrd_gm	signal / SNR	132	83	31.646803687388257	-4.20977287333575	-0.13302363533835834	7.569219636088465	0.5790888732766039	-19.190197944459428	10.770652197787927	0.18153403200213403	-6.417130702583369	-0.2027734227435011	7.683245649706105	0.40523160059336183	-21.626882856914758	8.792621451748019	0.26903761918385705	1.5243413114348252	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.7721184977021385	0.648370560949379	not_fdr_significant
snrd_total	signal / SNR	132	83	30.093480654330033	-4.184721354351412	-0.13905740590194204	7.201907440850865	0.5622480162358942	-18.438190004203854	10.068747295501032	0.18057663185084472	-6.183002726100805	-0.20545987342315478	7.317855220901932	0.399809387401566	-20.66942803198125	8.303422579779639	0.266689206235191	1.4775183823581262	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.7679485099807335	0.648370560949379	not_fdr_significant
snrd_wm	signal / SNR	132	83	42.33637787437675	-6.007631578341442	-0.1419023515938864	10.123168454118588	0.5539498944446906	-26.04263832940119	14.027375172718305	0.1819805174112059	-8.89248947255227	-0.2100437004539841	10.283131744268355	0.38886512084394165	-29.248975823687193	11.463996878582652	0.2683747304144848	1.4801988698193882	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.7679485099807335	0.648370560949379	not_fdr_significant
