iqm	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56
snr_wm	-0.2012055939	0.1250275831	0.07254157301	-0.01207740853	0.1760633073	0.04990177154	-0.006374729129	0.09715664282	-0.04542099221	0.02186089836	-0.08268455786	-0.004247076259	0.1191645381	0.01722981758	0.03767548442	0.06081935397	-0.1788900464	0.09178352896	-0.1320294224	0.03821980327	0.01008977082	-0.03205501169	0.1662254505	0.1401632628	-0.07914597966	0.0341416809	0.03605177888	-0.04337886818	-0.05784425818	-0.001614359005	-0.06885855144	-0.2945710751	-0.2712591619	-0.1656469902	0.1852128358	0.2309813684	0.1012493576	0.2261702077	0.1243619977	0.0676480465	0.05484035825	-0.09334600714	-0.1050919339	-0.04252892225	0.07474261984	-0.1174464916	-0.03301219118	0.002501996895	0.02224561064	-0.002504042151	0.002194741207	-0.08408386902	-0.5381650954	-0.1950130105	-0.0340115405	-0.04172320681
snrd_csf	-0.09085745324	-0.1428422205	-0.03066699622	0.2617587715	0.1578157225	-0.167047042	-0.0690944778	-0.1106972584	-0.1887114699	0.08614648636	-0.03017702198	0.01547027588	-0.02440643041	-0.0838153691	0.1021807949	-0.02843962922	0.0007093435793	-0.0291452291	0.06333708049	-0.003035513207	0.0370948974	0.09805212781	0.02039391243	0.03217927741	-0.03604591578	0.02227559157	0.04927347338	0.01429802322	0.07912310515	-0.02915830613	0.03763264249	-0.0426198631	-0.1145045722	-0.03991975784	0.008352824569	0.1836385485	0.1816272305	-0.6824288346	0.2458791837	0.2503520116	-0.01027607937	-0.08861155235	0.124892028	-0.02997654209	-0.1247327927	-0.01000356332	-0.01307475573	-0.04634354201	-0.004391896977	-0.0004744689726	-0.0006332488912	0.005000840758	0.01264389373	0.005459977038	-0.08641749606	-0.1282395845
snrd_gm	-0.07840039675	-0.164502261	-0.01443317723	0.2458042179	0.1699108414	-0.1594700791	-0.05648791246	-0.1236591937	-0.1812595834	0.1086726813	-0.03995560064	0.009996618043	-0.009538443563	-0.07889456455	0.1100255145	-0.02250754898	0.00928725321	-0.03616241375	0.07060769162	0.004691590527	0.05633841423	0.04527358208	-0.003919864027	0.02380220284	0.01641646183	0.03102567928	-0.04731054819	0.0101700299	-0.04458160442	-0.0500315997	-0.0488354564	0.04066837054	0.02172364881	0.003742980525	0.02070672319	-0.08486382287	-0.06814501004	0.2652245563	-0.0894706599	-0.08971205764	-0.05246084598	0.03550378056	-0.07928830008	-0.0007685538846	0.1118731557	-0.04213393545	0.2732568865	-0.02105824865	-0.6749825418	-0.003687397336	0.00239957796	0.009620743756	0.02432464211	0.01050404173	-0.1662521616	-0.2467105517
snrd_total	-0.08157952663	-0.16164333	-0.01853817793	0.2480495646	0.168469039	-0.157253454	-0.06149947183	-0.122172906	-0.1808994191	0.1046087401	-0.03733309175	0.01234326569	-0.01589259201	-0.07849261228	0.1114751951	-0.02349766939	0.01231480948	-0.03830970527	0.0679677563	0.0008870432273	0.05645784484	0.05621011773	-0.0005200876512	0.02871982318	0.007145036053	0.03533601706	-0.03528026302	0.008778730237	-0.02567594622	-0.04435395683	-0.04190995564	0.03731525429	0.008068199681	1.594859477e-05	0.006912251431	-0.03796290026	-0.01053534077	0.1033674538	-0.0499262208	-0.03689376018	-0.009949482995	0.01639967507	-0.01075664285	0.0136184995	0.009553394068	0.005659845877	-0.0172211651	0.01053793107	0.05418872069	0.0003884916707	-1.322367622e-05	-0.02744607648	-0.06939338627	-0.02996595066	0.4742844896	0.7038163413
snrd_wm	-0.08006362933	-0.1662424676	-0.01682864712	0.2435274984	0.1709375049	-0.1512371244	-0.06207804536	-0.1250906925	-0.1769575689	0.1083762695	-0.03802182023	0.01283895068	-0.01727839075	-0.07584743778	0.115777849	-0.02223477182	0.01904422046	-0.04334103556	0.06755427615	-0.0004359515337	0.06387218218	0.04792909245	-0.006103356032	0.03095056993	0.01697184522	0.04350864444	-0.05901801195	0.005563118765	-0.05217462799	-0.04585806544	-0.06749321949	0.06573773293	0.04546000635	0.01274764357	-0.003983821027	-0.0888766976	-0.04210137605	0.2873461126	-0.1351307028	-0.1088953279	0.02199154447	0.04286512267	-0.01219756161	0.04126526512	-0.01478894123	0.04745418319	-0.2359165994	0.05622283747	0.6218476847	0.003769348555	-0.001575926687	0.01286981559	0.03253944456	0.01405141675	-0.222398051	-0.330028466
summary_bg_k	-0.04482807295	-0.06762986305	-0.0743763395	0.05861580779	0.03967156459	-0.1970304534	-0.1326583629	-0.008861319603	0.4954704936	-0.3116884822	-0.005708529292	-0.1754941818	0.5122241015	-0.2388093672	-0.1378722979	-0.09773364686	-0.01034479827	-0.1801813422	0.1779403271	0.1606662572	0.1067424999	0.272047328	0.06426478919	0.1147064204	0.01333774136	0.06912538335	0.04617199135	0.01996090878	-0.04309408899	-0.03334237502	0.01282340035	0.01618172423	-0.003648647487	-0.01782231198	-0.001520147726	-0.01377752112	0.02131082601	0.01368132017	-0.005448037481	0.004046193795	-0.008668916933	-0.002379754964	0.001988146186	0.004087573592	-0.001796843337	-0.0007890176979	0.001154255919	0.00127107254	0.001218105726	3.536661511e-05	-3.273082581e-05	9.714401894e-16	-2.775557562e-17	5.551115123e-17	1.942890293e-16	5.551115123e-17
summary_bg_mad	0.1014689709	0.0360821401	0.1224018851	0.314147528	0.02644331814	0.1667203769	0.05075819021	-0.04672727397	-0.01816711479	-0.10329336	-0.2173632752	-0.08864960161	0.01881576846	-0.222657431	-0.1538325578	-0.1638832423	0.01327426039	0.1240515874	-0.00630571952	-0.03371399348	-0.1071257745	-0.109159895	-0.06295121448	-0.1194863078	-0.01461003668	-0.1717172229	0.09372182191	-0.0211110944	-0.020334351	0.2123346135	0.1234312971	-0.09480825362	0.02065884262	0.04307925951	-0.02578972416	0.03047122926	-0.0352821221	0.02967061204	0.01673815364	-0.0145011616	0.02205109211	-0.01100848218	-0.01384932009	-0.01702512693	0.01470459347	0.000931722401	-0.006136575976	0.0001382577532	0.00754578943	0.0002240901225	-8.286785407e-05	-0.003624242266	-0.0003657258847	0.02013625156	-0.5858292707	0.3954558484
summary_bg_mean	0.1502316214	0.1229082188	0.1241382837	0.167518939	-0.03135534216	0.2237500233	0.01835129977	0.03649743568	-0.07913693463	-0.07024381218	-0.1781074012	-0.03473529063	0.09243259589	0.02719930686	0.04755325154	0.2899641143	0.1387294406	-0.2437258283	0.01058063946	-0.05489432965	-0.00187902671	0.1263813332	-0.01681961898	0.02586241008	-0.1409283798	0.0742037599	-0.1533353993	-0.01550554909	-0.007617843103	-0.2075455626	-0.06675227465	-0.02796760718	-0.1034413046	-0.08138720403	0.1269222446	-0.1960188725	-0.08019654063	-0.189784502	0.2259016676	-0.5013950508	0.3102862583	0.07500155478	-0.01512167945	-0.08612186139	0.06078433517	0.00175171317	-0.001376176364	-0.01394886276	-0.003389810188	-0.00114107006	-0.001890467496	4.639450252e-15	-3.580469254e-15	5.100087019e-15	-3.885780586e-16	3.330669074e-16
summary_bg_median	0.1014689709	0.0360821401	0.1224018851	0.314147528	0.02644331814	0.1667203769	0.05075819021	-0.04672727397	-0.01816711479	-0.10329336	-0.2173632752	-0.08864960161	0.01881576846	-0.222657431	-0.1538325578	-0.1638832423	0.01327426039	0.1240515874	-0.00630571952	-0.03371399348	-0.1071257745	-0.109159895	-0.06295121448	-0.1194863078	-0.01461003668	-0.1717172229	0.09372182191	-0.0211110944	-0.020334351	0.2123346135	0.1234312971	-0.09480825362	0.02065884262	0.04307925951	-0.02578972416	0.03047122926	-0.0352821221	0.02967061204	0.01673815364	-0.0145011616	0.02205109211	-0.01100848218	-0.01384932009	-0.01702512693	0.01470459347	0.000931722401	-0.006136575976	0.0001382577532	0.00754578943	0.0002240901225	-8.286785408e-05	0.003624242266	0.0003657258847	-0.02013625156	0.5858292707	-0.3954558484
summary_bg_p95	0.1309816051	0.06986252434	0.1397672807	0.2701605974	-0.009265392741	0.1789741506	-0.003381715188	-0.009393428088	0.06811791608	-0.1218852672	-0.1623592976	-0.07003231345	0.005682559546	0.03468345834	-0.1470978091	0.1153259785	0.02167258405	0.01176024592	-0.1411632437	-0.09679109312	-0.1331100811	-0.0832113058	0.04261275353	0.04949033425	-0.02162547101	0.1520321725	-0.1871647008	-0.07410714247	0.1161768156	-0.5128803588	-0.2128242074	0.1706128758	0.067552481	-0.1050175696	-0.02530587065	-0.009408083738	0.12692664	0.073958971	-0.1496713884	0.3807206196	-0.2631888206	-0.04161002129	0.04575862108	0.08924436178	-0.07406790345	-0.004939537624	0.01644502337	0.0181295938	-0.002836185295	-0.0001355059797	0.001379500758	-1.177156102e-15	2.15105711e-15	-4.456516994e-15	4.163336342e-16	-4.087779366e-16
