subset	IQM	family_group	in_core_quality	in_tissue_sensitive	n_obs	n_subjects	converged	status	cohort_stat	cohort_p	cohort_q	glaucoma_coef	glaucoma_p	on_coef	ton_coef	acquisition_stat	acquisition_p	acquisition_q	xa30_coef	xa30_p	r2_marginal	r2_conditional	finding_class_cohort	overall_cohort_finding	overall_acquisition_finding	formula
FULL_56	snrd_gm	signal / SNR	True	False	133	83	True	ok	0.5007795106	0.9187201232	0.9328857773	-2.51847594	0.7717099644	-0.4066044135	-14.04371231	0.1995724711	0.6550661566	0.9986040026	-5.80931954	0.6550661566	0.1767257246	0.5874872729	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""snrd_gm"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	snrd_total	signal / SNR	True	False	133	83	True	ok	0.500186381	0.9188504626	0.9328857773	-2.580505863	0.7555597595	-0.6160561862	-13.3020641	0.2018344257	0.6532442071	0.9986040026	-5.536891951	0.6532442071	0.175585746	0.5989661796	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""snrd_total"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	snrd_wm	signal / SNR	True	False	133	83	True	ok	0.5234986382	0.9136993524	0.9328857773	-3.815404419	0.7423573288	-1.152626363	-18.96874962	0.1799511067	0.671415262	0.9986040026	-7.374726283	0.671415262	0.1767663961	0.5878309394	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""snrd_wm"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	summary_bg_k	intensity	False	True	133	83	True	ok	1.711992717	0.6342708398	0.7248809597	-462.633501	0.304772602	-49.42440387	-1047.029408	0.1015198801	0.7500132862	0.9986040026	-224.8817475	0.7500132862	0.03675168583	0.4265319107	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""summary_bg_k"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	summary_bg_mad	intensity	False	True	133	83	True	ok	10.42018049	0.01531225065	0.1224980052	2.212504776	0.001821102924	-0.3777199198	0.7239398588	0.003793255551	0.9508898097	0.9986040026	0.07102586312	0.9508898097	0.106914112	0.3808091503	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""summary_bg_mad"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	summary_bg_mean	intensity	False	True	133	83	True	ok	14.62011214	0.002171824126	0.04054071702	5.058500307	0.0002077520402	-0.4354220803	3.845138533	0.07400197451	0.7855966152	0.9986040026	-0.5831161944	0.7855966152	0.1553015558	0.4862122818	ROBUST_ACROSS_FAMILIES	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""summary_bg_mean"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	summary_bg_median	intensity	False	True	133	83	True	ok	10.42018049	0.01531225065	0.1224980052	1.492314027	0.001821102924	-0.2547685956	0.4882907452	0.003793255551	0.9508898097	0.9986040026	0.04790628836	0.9508898097	0.106914112	0.3808091503	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""summary_bg_median"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	summary_bg_p95	intensity	False	True	133	83	True	ok	12.36770398	0.00622406863	0.08713696082	14.23792638	0.0004970685075	0.2032299346	5.175160457	0.1924016856	0.6609251876	0.9986040026	-3.00297784	0.6609251876	0.1073684343	0.3009045641	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""summary_bg_p95"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	summary_bg_stdv	intensity	False	True	133	83	True	ok	9.33148352	0.02519334936	0.1282570513	17.25385637	0.008411124672	-6.019963949	24.05074893	0.5508084939	0.457987532	0.9986040026	6.183281724	0.457987532	0.2406315064	0.7961344195	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""summary_bg_stdv"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	summary_csf_k	intensity	False	True	133	83	True	ok	5.27540229	0.1527064861	0.2672363507	0.04104163331	0.3613743357	0.1264944794	0.1162460422	0.1171263456	0.7321723431	0.9986040026	0.01431555944	0.7321723431	0.1873971923	0.9125334713	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""summary_csf_k"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	summary_csf_mad	intensity	False	True	133	83	True	ok	2.691600981	0.4416565073	0.562108282	-0.3790689393	0.915992223	-5.147899609	-10.74394425	2.035958347	0.1536173341	0.9558411902	-3.955093644	0.1536173341	0.1830594033	0.9442004304	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""summary_csf_mad"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	summary_csf_mean	intensity	False	True	133	83	True	ok	3.907389847	0.2716395651	0.3900465551	0.9528972238	0.9138964693	-2.666990722	40.12627762	0.1869097274	0.6655011671	0.9986040026	-3.180529222	0.6655011671	0.1519054194	0.9303144337	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""summary_csf_mean"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	summary_csf_median	intensity	False	True	133	83	True	ok	4.717414979	0.193698038	0.3013080592	-0.5006515627	0.9613687013	-6.45424276	50.09566806	0.02296619717	0.8795450087	0.9986040026	-1.271528704	0.8795450087	0.151716017	0.9348870145	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""summary_csf_median"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
