	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
summary_csf_p05	4.310762141e-08	3.405372976e-05	0.1074426833	0.02066029209	0.07742450327	0.03724062093	0.1113021095	0.2686760334	1.564824267e-14	0.5144211959	0.001079844933	6.561717882e-06	0.2587260437		0.7121901661	0.001962836727	0.00224256411	0.004073143144	2.703255954e-12	0.1503954691	0.1214843002	6.377944296e-07	0.0006746850864	0.05394512139	0.02209272919	0.03329619697	0.2733129451	0.02228179997	1.863943302e-06	0.02228179997		1.431384045e-07	2.131785362e-06	0.3528666633	7.840641558e-08	1.973789785e-17	1.073445815e-16		3.270803242e-14	4.96176206e-10	0.02545000842	2.25565475e-10	1.36643977e-12	1.461738319e-12	6.169412405e-12	2.553220197e-11	6.200058814e-10	0.001407125861	0.0004482936781	2.443215125e-08	0.01348344469		2.618575231e-10	1.513863923e-10	8.732628912e-05	0.9431553524	0.007700697791	0.001485490727
summary_csf_p95	3.709596898e-08	0.08266510547	0.7621573973	0.7968064517	0.2284338557	0.2389661977	0.2014068949	0.2961823555	0.4714261625	0.1190053613	0.1726005421	0.0060213368	1.893714895e-06		0.8268011401	0.01936903236	0.02079922801	0.02351457517	0.5268476845	0.0001843075804	1.663086255e-06	2.700497103e-12	0.04971515319	0.1076496293	0.1476273704	0.0002818680115	0.004758697062	1.591381597e-08	8.341559037e-31	1.591381597e-08		3.646671487e-36	2.360912308e-24	0.04098655636	5.298723441e-51	3.176236692e-108	1.214289109e-105	3.270803242e-14		4.895487304e-99	0.8100221528	3.772084928e-82	3.24009092e-74	1.08270897e-71	1.691015795e-07	6.28212726e-82	1.619640826e-81	4.389269107e-07	7.67487588e-11	3.093366242e-27	2.43708404e-06		2.002229401e-38	8.080800443e-40	0.2833262656	0.1417480402	0.007951572211	2.637540531e-07
summary_csf_stdv	3.441203569e-07	0.1685638824	0.6920873051	0.5319017419	0.1493773221	0.1206187728	0.1458699028	0.2342681421	0.7469076506	0.1106710096	0.0402598478	0.02668400497	3.572711961e-07		0.8167940955	0.05245378559	0.05560453628	0.05860638346	0.06979970195	1.401631517e-05	1.81038986e-08	1.942445657e-11	0.1143681438	0.149964097	0.225666174	0.0002898817516	0.002517297411	1.83204637e-08	1.328465945e-30	1.83204637e-08		1.948805753e-35	2.056721934e-24	0.02143197461	1.324469782e-57	1.412589809e-73	1.200335918e-74	4.96176206e-10	4.895487304e-99		0.7297431935	2.938624894e-86	4.468714912e-67	4.207742465e-65	2.171371925e-06	3.059572798e-78	2.339223651e-85	6.299004983e-07	1.258163871e-10	4.737451057e-26	3.09082633e-06		5.34465731e-36	3.024785552e-37	0.6181651172	0.1092996226	0.0006915426179	2.47495791e-07
summary_gm_k	0.04962191877	0.0001247027552	0.1496202832	0.2602479038	0.6230001215	0.8459663037	0.2219492856	0.5470158515	0.000333594029	0.02849525951	0.5830039819	0.03401001957	0.5025989285		0.450460661	0.04544705673	0.05771602491	0.05989334577	0.7569230896	0.4310376433	0.5463056681	0.135611025	0.143319399	0.8828444573	0.8243442155	0.007567542503	0.0718097912	0.004848212601	0.04728741058	0.004848212601		0.06091397007	0.7899510575	4.50830526e-08	0.6601696602	0.6889238619	0.5473437805	0.02545000842	0.8100221528	0.7297431935		0.48365403	0.1055421052	0.09315577425	0.2905968976	0.1080315055	0.1058385213	0.04888476209	0.0001859723875	0.0001087941711	3.820234288e-05		0.0006887406751	0.001034532985	6.466456227e-06	0.04650512326	0.7117950998	6.498465199e-05
summary_gm_mad	7.420180802e-09	0.02949661867	0.6745979163	0.7763213558	0.06482611209	0.07424608347	0.06749509641	0.1015913891	0.8106259874	0.3292470339	0.1400215533	0.01275677944	2.180284399e-07		0.7483980763	0.07899058324	0.0861383237	0.09587085365	0.1493304549	0.0001303937473	4.85275013e-08	5.514102596e-14	0.1444250723	0.1202119024	0.2552463242	4.54901515e-05	0.004561232838	5.040362623e-09	7.289412876e-31	5.040362623e-09		8.535365372e-36	2.180732768e-23	0.000942506898	2.232273733e-55	3.143351131e-70	6.370355923e-71	2.25565475e-10	3.772084928e-82	2.938624894e-86	0.48365403		2.437130028e-77	8.822357523e-75	1.140950311e-07	1.274122268e-88	4.419101122e-88	1.474873178e-08	1.206495096e-09	5.564876934e-25	2.204532853e-05		6.217176569e-36	3.630992872e-37	0.8193409328	0.3529362774	0.001427271476	1.46617363e-08
summary_gm_mean	2.156355032e-07	0.04864950876	0.9266080452	0.5162816392	0.2846616944	0.3645153043	0.2217311067	0.3256637262	0.9405811356	0.891839482	0.7562379216	0.000927526237	0.0001226822214		0.6675830487	0.1912843475	0.1974622837	0.2202330074	0.9691599622	0.01497349304	0.0003259825067	7.871067273e-11	0.0863984557	0.04520304575	0.1045148908	0.004598388978	0.01529706207	1.216690738e-09	1.604922875e-30	1.216690738e-09		2.553331925e-34	1.014859127e-22	0.0008515175037	1.032040925e-51	1.796542986e-78	9.887132826e-84	1.36643977e-12	3.24009092e-74	4.468714912e-67	0.1055421052	2.437130028e-77		4.878152228e-171	1.105986795e-10	2.463985011e-115	8.88614692e-88	7.677139629e-06	2.000238721e-14	1.528765287e-36	1.203719136e-08		5.076522643e-54	6.637830917e-56	0.7377993501	0.9754303057	0.05027490465	5.284701514e-05
summary_gm_median	2.731106445e-07	0.05058151256	0.912756759	0.4904006747	0.2842903212	0.3624498295	0.2259513854	0.3289610786	0.9576694929	0.8191498544	0.8089111363	0.0009004441841	0.0001940953171		0.6548616184	0.1939999078	0.1994855731	0.2221067544	0.9852959181	0.01928116133	0.0004788279418	1.17126703e-10	0.08257640713	0.04001445176	0.09527334157	0.006003971549	0.01671861898	8.953632061e-10	1.853855018e-30	8.953632061e-10		4.009305945e-34	1.189146541e-22	0.0009865364538	2.985318028e-51	1.778568636e-76	1.172641693e-81	1.461738319e-12	1.08270897e-71	4.207742465e-65	0.09315577425	8.822357523e-75	4.878152228e-171		9.007412942e-11	1.012957993e-109	2.586483073e-85	1.10711568e-05	8.216180992e-15	1.747201075e-37	6.496032741e-09		1.406999976e-55	1.625792262e-57	0.6704496062	0.9799380628	0.06014494733	7.582591681e-05
summary_gm_p05	0.001541220687	1.63508687e-10	0.0002546705249	4.986428295e-06	0.2319968512	0.07090809362	0.342360325	0.4096668243	0.06848528707	5.832031934e-12	4.79713391e-13	1.58626799e-06	0.6737083159		0.3093561666	0.005120719388	0.004062708181	0.002341697505	3.846717528e-06	1.053912605e-10	5.441685883e-05	0.0214578914	0.02806547523	0.001582303985	0.006431263746	0.6174116861	0.6437353151	0.2400753212	0.005680595077	0.2400753212		0.003429695682	0.007132564692	0.004218803866	1.013770881e-08	9.537264701e-09	7.007724502e-09	6.169412405e-12	1.691015795e-07	2.171371925e-06	0.2905968976	1.140950311e-07	1.105986795e-10	9.007412942e-11		1.539899269e-08	1.260720859e-06	0.3812750521	3.77187694e-07	1.016367453e-09	2.021732127e-05		4.357312279e-10	4.341064931e-10	0.07075844081	1.221583389e-10	0.0004396648919	0.960018957
summary_gm_p95	3.642837856e-07	0.1146542874	0.6698406608	0.8386281766	0.212348068	0.2502572887	0.1686143627	0.2707399507	0.8756721779	0.6140942799	0.3075950473	0.002117921195	1.035092203e-05		0.6828649198	0.114176518	0.1182773865	0.1300270198	0.5516430044	0.001198591552	1.712744147e-05	5.03818669e-11	0.08425912173	0.05410927859	0.1179639639	0.002862073142	0.009377794424	6.953023116e-10	7.921869137e-32	6.953023116e-10		4.228087596e-36	8.327027944e-24	0.0008605196054	1.561086444e-51	3.017048547e-79	7.06548661e-84	2.553220197e-11	6.28212726e-82	3.059572798e-78	0.1080315055	1.274122268e-88	2.463985011e-115	1.012957993e-109	1.539899269e-08		5.530245904e-117	3.413517316e-06	1.524789001e-13	7.260171476e-34	4.499766388e-08		2.594348838e-49	6.065606198e-51	0.8148530631	0.55095732	0.01157852697	1.805934976e-05
summary_gm_stdv	1.291679572e-06	0.2794552164	0.4661894679	0.7665418312	0.1767612186	0.1684476617	0.1383110783	0.2558680037	0.6087724451	0.2649990973	0.07806801968	0.008888938393	3.435627826e-06		0.7646027732	0.0628220287	0.06489907257	0.06955482715	0.2297464015	4.968665626e-05	5.647612465e-07	8.53968416e-11	0.1261806229	0.09650476793	0.1854680099	0.001860948787	0.005389092339	3.228638405e-10	1.272851124e-33	3.228638405e-10		2.657878651e-38	4.682734486e-25	0.001457376762	5.548336386e-50	2.383366688e-73	1.051635863e-76	6.200058814e-10	1.619640826e-81	2.339223651e-85	0.1058385213	4.419101122e-88	8.88614692e-88	2.586483073e-85	1.260720859e-06	5.530245904e-117		2.697560584e-06	7.743096726e-13	1.534678918e-31	1.268583292e-07		3.586773455e-45	1.147118985e-46	0.845485796	0.2500379023	0.002641527368	7.737865371e-06
