PC	variance_explained	rank	IQM	loading	abs_loading	family
PC6	0.0486367535	3	summary_bg_mean	0.2237500233	0.2237500233	intensity_summary
PC6	0.0486367535	4	summary_wm_median	0.2157575345	0.2157575345	intensity_summary
PC6	0.0486367535	5	icvs_wm	-0.2135071354	0.2135071354	tissue_fraction
PC6	0.0486367535	6	summary_bg_stdv	0.2043607561	0.2043607561	intensity_summary
PC6	0.0486367535	7	qi_2	0.2028808707	0.2028808707	artifact
PC6	0.0486367535	8	cjv	-0.202055663	0.202055663	contrast
PC6	0.0486367535	9	summary_bg_k	-0.1970304534	0.1970304534	intensity_summary
PC6	0.0486367535	10	summary_csf_p05	-0.1956396065	0.1956396065	intensity_summary
PC7	0.0409516183	1	fber	0.3679495039	0.3679495039	energy
PC7	0.0409516183	2	summary_gm_mad	-0.2715810293	0.2715810293	intensity_summary
PC7	0.0409516183	3	inu_med	-0.2476240408	0.2476240408	bias_field
PC7	0.0409516183	4	summary_gm_mean	0.2429579819	0.2429579819	intensity_summary
PC7	0.0409516183	5	tpm_overlap_gm	-0.2404165197	0.2404165197	template_overlap
PC7	0.0409516183	6	summary_gm_median	0.2389223728	0.2389223728	intensity_summary
PC7	0.0409516183	7	tpm_overlap_wm	-0.2228455672	0.2228455672	template_overlap
PC7	0.0409516183	8	inu_range	-0.217274665	0.217274665	bias_field
PC7	0.0409516183	9	summary_gm_k	0.2122617888	0.2122617888	intensity_summary
PC7	0.0409516183	10	summary_gm_p95	0.1928555014	0.1928555014	intensity_summary
PC8	0.03259170193	1	rpve_csf	0.4352709164	0.4352709164	partial_volume
PC8	0.03259170193	2	rpve_wm	0.4344300663	0.4344300663	partial_volume
PC8	0.03259170193	3	rpve_gm	0.4332668916	0.4332668916	partial_volume
PC8	0.03259170193	4	summary_gm_median	0.2562943884	0.2562943884	intensity_summary
PC8	0.03259170193	5	summary_gm_mean	0.1934472191	0.1934472191	intensity_summary
PC8	0.03259170193	6	tpm_overlap_wm	0.1542890648	0.1542890648	template_overlap
PC8	0.03259170193	7	cjv	0.1516527174	0.1516527174	contrast
PC8	0.03259170193	8	summary_wm_k	-0.1496440166	0.1496440166	intensity_summary
PC8	0.03259170193	9	icvs_gm	-0.1386748915	0.1386748915	tissue_fraction
PC8	0.03259170193	10	fber	-0.1330124202	0.1330124202	energy
PC9	0.02523553243	1	summary_bg_k	0.4954704936	0.4954704936	intensity_summary
PC9	0.02523553243	2	summary_wm_p95	0.337270011	0.337270011	intensity_summary
PC9	0.02523553243	3	tpm_overlap_wm	0.2504430111	0.2504430111	template_overlap
PC9	0.02523553243	4	summary_bg_stdv	-0.2472406604	0.2472406604	intensity_summary
PC9	0.02523553243	5	summary_wm_median	0.2206685052	0.2206685052	intensity_summary
PC9	0.02523553243	6	qi_2	-0.1919091774	0.1919091774	artifact
PC9	0.02523553243	7	snrd_csf	-0.1887114699	0.1887114699	snr_dietrich
PC9	0.02523553243	8	snrd_gm	-0.1812595834	0.1812595834	snr_dietrich
PC9	0.02523553243	9	snrd_total	-0.1808994191	0.1808994191	snr_dietrich
PC9	0.02523553243	10	snrd_wm	-0.1769575689	0.1769575689	snr_dietrich
PC10	0.01774760389	1	wm2max	-0.3607782417	0.3607782417	intensity_ratio
PC10	0.01774760389	2	summary_bg_k	-0.3116884822	0.3116884822	intensity_summary
PC10	0.01774760389	3	icvs_csf	0.2844451628	0.2844451628	tissue_fraction
PC10	0.01774760389	4	fwhm_x	-0.2246434122	0.2246434122	smoothness
PC10	0.01774760389	5	summary_csf_mad	0.2144400832	0.2144400832	intensity_summary
PC10	0.01774760389	6	fwhm_z	-0.2087078226	0.2087078226	smoothness
PC10	0.01774760389	7	tpm_overlap_csf	-0.1993568959	0.1993568959	template_overlap
PC10	0.01774760389	8	tpm_overlap_wm	0.1986924082	0.1986924082	template_overlap
PC10	0.01774760389	9	fwhm_avg	-0.1967988885	0.1967988885	smoothness
PC10	0.01774760389	10	efc	0.1923370056	0.1923370056	entropy
