iqm	family_group	model	n_obs	n_subjects	r2	r2_adj	term	beta	se	p	ci_low	ci_high	vif	anatomy_sensitive_by_construction	selected_anatomy	fdr_q
rpve_csf	morphology / tissue	A_acquisition_age_sex	132	83	0.2323449134055081	0.2143529973134497	age	0.005220567337613979	0.005219185371609071	0.3190695821851659	-0.005106482616976868	0.015547617292204826	1.0789157431589922	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.5763837613667513
rpve_csf	morphology / tissue	B_acquisition_age_sex_anatomy	132	83	0.7718983346796928	0.7609494547443181	"C(software_platform, Treatment(""E11""))[T.XA30]"	-0.34662019085269047	0.1332115390768026	0.010386663089643	-0.6102623594898198	-0.08297802221556122	1.1043504240334137	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.11487695375085483
rpve_csf	morphology / tissue	B_acquisition_age_sex_anatomy	132	83	0.7718983346796928	0.7609494547443181	C(sex)[T.M]	-0.16489371515395118	0.06014132697327502	0.007007914690910027	-0.2839208653380453	-0.045866564969857096	1.2862671374116312	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.026162881512730767
rpve_csf	morphology / tissue	B_acquisition_age_sex_anatomy	132	83	0.7718983346796928	0.7609494547443181	age	0.0076218273760813365	0.0030757573129161133	0.01454512277610428	0.0015345219234268745	0.013709132828735798	1.2314702819886814	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.06787723962181998
rpve_csf	morphology / tissue	B_acquisition_age_sex_anatomy	132	83	0.7718983346796928	0.7609494547443181	icv_etiv	-2.4519410416009223e-06	2.5876207600050524e-07	2.206024281465715e-16	-2.9640633048118184e-06	-1.9398187783900262e-06	2.7808277107323653	TRUE	icv_etiv+total_wm+mean_cortical_thickness	1.0698665993640636e-14
rpve_csf	morphology / tissue	B_acquisition_age_sex_anatomy	132	83	0.7718983346796928	0.7609494547443181	total_wm	-1.8940955447713975e-06	7.248884031010222e-07	0.010077523221419136	-3.328739659972819e-06	-4.594514295699762e-07	2.7625549912036185	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.03924228137699082
rpve_csf	morphology / tissue	B_acquisition_age_sex_anatomy	132	83	0.7718983346796928	0.7609494547443181	mean_cortical_thickness	0.7802549501407029	0.34459176520309726	0.025279262628263414	0.09826507972668108	1.4622448205547247	1.1686380010010804	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.06741136700870244
rpve_gm	morphology / tissue	A_acquisition_age_sex	132	83	0.2334450043539108	0.21547887164345558	"C(software_platform, Treatment(""E11""))[T.XA30]"	-0.10803456848433915	0.23649777670368893	0.6485818304133766	-0.5759858252943075	0.3599166883256293	1.054672241057326	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.7973352210726662
rpve_gm	morphology / tissue	A_acquisition_age_sex	132	83	0.2334450043539108	0.21547887164345558	C(sex)[T.M]	-0.6112695212945007	0.09796858250326151	5.9205534865529984e-09	-0.8051170996915336	-0.4174219428974679	1.0341868013958861	TRUE	icv_etiv+total_wm+mean_cortical_thickness	8.984780925732248e-08
rpve_gm	morphology / tissue	A_acquisition_age_sex	132	83	0.2334450043539108	0.21547887164345558	age	0.004568864557283931	0.005230145514909494	0.3839919183703585	-0.005779871913365271	0.014917601027933134	1.0789157431589922	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.6516226493557599
rpve_gm	morphology / tissue	B_acquisition_age_sex_anatomy	132	83	0.7658005195059614	0.7545589444422476	"C(software_platform, Treatment(""E11""))[T.XA30]"	-0.35212101374282107	0.13536083930765322	0.010406124250208513	-0.6200169142851649	-0.08422511320047721	1.1043504240334137	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.11487695375085483
rpve_gm	morphology / tissue	B_acquisition_age_sex_anatomy	132	83	0.7658005195059614	0.7545589444422476	C(sex)[T.M]	-0.1701465206372416	0.06111167660547014	0.006200872515109627	-0.2910941131729601	-0.049198928101523084	1.2862671374116312	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.025556981130555916
rpve_gm	morphology / tissue	B_acquisition_age_sex_anatomy	132	83	0.7658005195059614	0.7545589444422476	age	0.007140899837711268	0.0031253830881943314	0.02400964533523122	0.0009553788167560367	0.013326420858666498	1.2314702819886814	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.09399023357462301
