IQM	N_subjects	N_observations	N_longitudinal_subjects	cohort_effect	cohort_p	cohort_q	session_effect	session_se	session_ci_low	session_ci_high	session_p	session_q	interaction	interaction_p	interaction_q	convergence	warnings	status	interaction_coefficients	change_Control	change_Glaucoma	change_Data_ON	change_Data_TON
summary_gm_p05	83	264	49	4.063624074	0.2546753314	0.6482644799	0.230293611	2.896357811	-5.446463385	5.907050607	0.9366258242	0.9729486129	0.5671421321	0.9039114722	0.9930506376	True		ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-4.64965 SE=17.9605 CI=[-39.8515,30.5522] p=0.7957 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=1.47631 SE=18.21 CI=[-34.2146,37.1672] p=0.9354 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=4.86216 SE=7.0742 CI=[-9.00302,18.7273] p=0.4919"	0.230293611	5.09245079	-4.419354337	1.7066017
summary_gm_p95	83	264	49	1.305256698	0.7278852013	0.7877293497	1.538879329	10.05453121	-18.16763972	21.24539838	0.8783562315	0.9729486129	0.3307253795	0.9541499799	0.9930506376	True	Maximum Likelihood optimization failed to converge. Check mle_retvals | Retrying MixedLM optimization with lbfgs | The Hessian matrix at the estimated parameter values is not positive definite. | The MLE may be on the boundary of the parameter space.	ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=25.6462 SE=52.9349 CI=[-78.1042,129.397] p=0.628 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=15.3178 SE=60.3372 CI=[-102.941,133.576] p=0.7996 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-3.23557 SE=22.9516 CI=[-48.2199,41.7487] p=0.8879"	1.538879329	-1.696693287	27.18503947	16.8566337
summary_gm_stdv	83	264	49	2.468802883	0.4809554928	0.7216778625	0.2354051194	3.303078528	-6.238509834	6.709320073	0.943184145	0.9729486129	0.8928560539	0.8271514567	0.9930506376	True	Gradient optimization failed, |grad| = 5.098297 | Maximum Likelihood optimization failed to converge. Check mle_retvals | MixedLM optimization failed, trying a different optimizer may help. | Retrying MixedLM optimization with cg | Retrying MixedLM optimization with lbfgs | The MLE may be on the boundary of the parameter space.	ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=10.1824 SE=17.4028 CI=[-23.9264,44.2913] p=0.5585 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.254242 SE=19.8333 CI=[-39.1268,38.6184] p=0.9898 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-5.20573 SE=7.53218 CI=[-19.9685,9.55707] p=0.4895"	0.2354051194	-4.970327427	10.41781966	-0.01883727548
summary_wm_k	83	264	49	1.786762899	0.6178197052	0.7361256062	-0.02980811286	0.04799243123	-0.1238715496	0.06425532388	0.5345336398	0.9729486129	0.3114610742	0.9578587458	0.9930506376	True	Maximum Likelihood optimization failed to converge. Check mle_retvals | Retrying MixedLM optimization with lbfgs | The Hessian matrix at the estimated parameter values is not positive definite. | The MLE may be on the boundary of the parameter space.	ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0962772 SE=0.249844 CI=[-0.585962,0.393408] p=0.7 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.092123 SE=0.286246 CI=[-0.46891,0.653156] p=0.7476 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0251589 SE=0.109174 CI=[-0.239136,0.188819] p=0.8177"	-0.02980811286	-0.05496698285	-0.1260852865	0.06231493429
summary_wm_mad	83	264	49	3.689160689	0.2970445009	0.6611587716	-0.1183123618	1.405380341	-2.872807214	2.63618249	0.9329091077	0.9729486129	3.606656188	0.307190341	0.9930506376	True		ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=11.5327 SE=7.58647 CI=[-3.33647,26.402] p=0.1285 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=1.98561 SE=8.45399 CI=[-14.5839,18.5551] p=0.8143 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-3.18671 SE=3.22281 CI=[-9.50331,3.12989] p=0.3228"	-0.1183123618	-3.305025118	11.41443246	1.867296072
summary_wm_mean	83	264	49	5.156840992	0.1606661973	0.6348495904	-0.6263074582	4.245833798	-8.947988787	7.695373871	0.882728648	0.9729486129	0.8071949149	0.8477453419	0.9930506376	True		ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-11.3513 SE=22.6722 CI=[-55.788,33.0853] p=0.6166 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=18.217 SE=25.5551 CI=[-31.87,68.3041] p=0.4759 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=1.65811 SE=9.73883 CI=[-17.4296,20.7459] p=0.8648"	-0.6263074582	1.031806864	-11.97761095	17.5907115
summary_wm_median	83	264	49	3.608449487	0.3069665725	0.6611587716	-0.4688062056	3.382206525	-7.097809182	6.160196771	0.8897586774	0.9729486129	1.008982616	0.7990784413	0.9930506376	True		ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-12.0663 SE=18.7013 CI=[-48.7202,24.5875] p=0.5188 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=13.5541 SE=20.5444 CI=[-26.7122,53.8205] p=0.5094 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=2.84687 SE=7.8651 CI=[-12.5684,18.2622] p=0.7174"	-0.4688062056	2.378068765	-12.53513968	13.08532552
summary_wm_p05	83	264	49	8.149085913	0.04302896826	0.3575425972	0.5075817592	3.562034441	-6.473877458	7.489040976	0.8866868862	0.9729486129	0.8094009633	0.8472171508	0.9930506376	True		ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-11.4431 SE=21.2597 CI=[-53.1113,30.2251] p=0.5904 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=15.638 SE=22.1277 CI=[-27.7315,59.0075] p=0.4797 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0571197 SE=8.53248 CI=[-16.6662,16.7805] p=0.9947"	0.5075817592	0.5647014646	-10.93548708	16.14559812
summary_wm_p95	83	264	49	2.876136518	0.411119357	0.7066742889	-1.861021457	7.785346743	-17.12002068	13.39797777	0.8110733539	0.9729486129	0.4303592511	0.933901989	0.9930506376	True	Random effects covariance is singular | The Hessian matrix at the estimated parameter values is not positive definite. | The MLE may be on the boundary of the parameter space.	ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=13.05 SE=40.9395 CI=[-67.1899,93.29] p=0.7499 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=23.901 SE=46.6441 CI=[-67.5198,115.322] p=0.6084 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-3.78999 SE=17.7395 CI=[-38.5587,30.9787] p=0.8308"	-1.861021457	-5.651012466	11.18899163	22.03995329
summary_wm_stdv	83	264	49	3.651849982	0.301595102	0.6611587716	-0.5890315594	1.734205799	-3.988012467	2.809949349	0.7341164022	0.9729486129	1.688059731	0.6395916456	0.9930506376	True		ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=10.9746 SE=9.27693 CI=[-7.20788,29.157] p=0.2368 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.635516 SE=10.4221 CI=[-21.0625,19.7915] p=0.9514 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-1.72116 SE=3.96792 CI=[-9.49815,6.05583] p=0.6645"	-0.5890315594	-2.310190969	10.38554245	-1.224547472
