IQM	IQM_family	model	predictor	term	coefficient	SE	statistic	p_value	q_value	CI_low	CI_high	std_coefficient	n_observations	n_subjects	converged	status	exclusion_reason	fdr_family	exploratory	acquisition_variable
summary_csf_mad	intensity	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-6.659325158	4.755933026	-1.400214242	0.1614491723	0.4652840493	-15.9807826	2.662132287	-0.5498609362	133	83	True	ok		model_A_Data_ON	False	
summary_csf_mean	intensity	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-3.880004129	11.69363855	-0.3318046914	0.7400367416	0.9169726886	-26.79911453	19.03910627	-0.1231839914	133	83	True	ok		model_A_Data_ON	False	
summary_csf_median	intensity	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-6.93886258	13.69118861	-0.5068122847	0.6122865359	0.9169726886	-33.77309916	19.895374	-0.1881603724	133	83	True	ok		model_A_Data_ON	False	
summary_csf_p05	intensity	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	8.116910851	9.208605384	0.8814484401	0.3780751492	0.77167998	-9.931624049	26.16544575	0.3162964312	133	83	True	ok		model_A_Data_ON	False	
summary_csf_p95	intensity	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-8.173738238	12.31818372	-0.6635506031	0.5069779817	0.8462212241	-32.31693469	15.96945821	-0.2570402056	133	83	True	ok		model_A_Data_ON	False	
summary_csf_stdv	intensity	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-7.091764868	5.013409861	-1.414559165	0.1571977886	0.4652840493	-16.91786764	2.734337899	-0.547349484	133	83	True	ok		model_A_Data_ON	False	
summary_gm_k	intensity	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	0.2570860824	0.1072367942	2.39736822	0.0165133197	0.3737447971	0.04690582801	0.4672663368	0.869500645	133	83	True	ok		model_A_Data_ON	False	
summary_gm_mad	intensity	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-2.700635765	1.734838547	-1.556707262	0.1195400037	0.4652840493	-6.100856837	0.6995853067	-0.5843436199	133	83	True	ok		model_A_Data_ON	False	
summary_gm_mean	intensity	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-3.881215074	4.745196525	-0.8179250435	0.4133999893	0.77167998	-13.18162936	5.419199214	-0.326744099	133	83	True	ok		model_A_Data_ON	False	
summary_gm_median	intensity	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-3.202098692	4.392372581	-0.7290134508	0.4659934346	0.8274402477	-11.81099076	5.406793372	-0.2811122626	133	83	True	ok		model_A_Data_ON	False	
summary_gm_p05	intensity	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-16.32022426	11.78690571	-1.38460633	0.1661728748	0.4652840493	-39.42213493	6.781686418	-0.5685678535	133	83	True	ok		model_A_Data_ON	False	
summary_gm_p95	intensity	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	9.317179306	7.386303788	1.261412957	0.2071601023	0.4711090889	-5.159710097	23.79406871	0.4378845502	133	83	True	ok		model_A_Data_ON	False	
summary_gm_stdv	intensity	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	5.8610682	4.539338829	1.291172222	0.1966439652	0.4711090889	-3.035872418	14.75800882	0.4753053377	133	83	True	ok		model_A_Data_ON	False	
summary_wm_k	intensity	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-0.06404018133	0.05079617502	-1.260728417	0.2074067119	0.4711090889	-0.1635988549	0.03551849226	-0.4913112214	133	83	True	ok		model_A_Data_ON	False	
