	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
rpve_gm	-0.1521663725	0.2733036798	-0.5260093272	0.04710215158	-0.03599228737	-0.01189541017	-0.04468430234	-0.03908346171	0.2788229053	0.1778139378	-0.4329633446	-0.1823537813	-0.3477571133		-0.3543067302	0.9989747095	1	0.9997857602	-0.2838116322	0.2013089032	-0.06964834066	-0.1356444027	0.3963487416	0.4130186389	0.4127431877	0.4162934473	0.122825721	0.02678454447	-0.365166648	0.02678454447		-0.1502234266	-0.427648157	-0.2585807834	0.2360310546	-0.3157792718	-0.2238073876	-0.445215422	-0.2561081547	-0.03264355679	0.1600453986	-0.1769977862	-0.2174789076	-0.1974176368	0.008568899612	-0.3801527802	-0.2617857398	-0.2147405202	0.04737250181	-0.1034880281	0.005392329183	-0.1789701952	-0.2099688649	0.1363687373	-0.4115750706	0.2283949358	0.4000520297	0.3333469359
rpve_wm	-0.1557676416	0.2767111129	-0.5258562974	0.0492190449	-0.04358759858	-0.01956213464	-0.05093296334	-0.04700013262	0.2759051632	0.1826547373	-0.4350802379	-0.1826343335	-0.3481600881		-0.3557758031	0.9986482488	0.9997857602	1	-0.2774558513	0.2034819069	-0.06714887626	-0.1344915885	0.398751288	0.4143805919	0.4143550872	0.4177319146	0.1229940523	0.02833701697	-0.3663194622	0.02833701697		-0.1505926393	-0.4285357219	-0.2548953345	0.2327001357	-0.3078779037	-0.2154153439	-0.4432868678	-0.2498995649	-0.02797618364	0.1584921541	-0.1785484743	-0.2200191796	-0.2003247033	0.008548491396	-0.3842040695	-0.2644739393	-0.2105500756	0.04560757389	-0.1018812295	0.007372663989	-0.1782100202	-0.2083031347	0.1353995572	-0.4048112139	0.2300527438	0.3954917824	0.3317452383
snr_csf	0.0007498393201	-0.01323185848	0.3043635172	-0.03050366758	-0.5062996705	-0.5346813438	-0.4044235419	-0.5334265106	-0.1994521582	0.05814570347	0.1928056233	0.02676467288	0.1532222687		0.1958202834	-0.2903051387	-0.2838116322	-0.2774558513	1	0.0047744871	0.1998143255	0.1365217657	-0.1719325451	-0.2457840667	-0.2293029045	-0.2450495302	0.04184817539	-0.088526083	0.1559461748	-0.088526083		0.08932127518	0.2160149356	0.7551726996	-0.6778139378	0.7607145408	0.7090537191	0.7639727868	0.4753346333	0.01310690197	-0.3295581925	0.1552014364	0.02714724396	0.06718922401	0.02381383682	-0.009158771095	0.009559176095	0.2122869549	-0.07881984473	0.1227747115	0.05165458352	0.177786567	0.2750984036	-0.1432907234	0.7416063905	-0.1719529489	-0.1898878812	-0.2605411085
snr_gm	-0.5609104172	0.6737127758	-0.2766574721	0.253761949	-0.027728752	-0.02394384877	-0.0671641791	0.02163822038	-0.4771987635	0.8480478673	-0.3304495975	-0.3271186787	-0.1822160557		-0.002070984789	0.17701819	0.2013089032	0.2034819069	0.0047744871	1	0.7638006142	0.5826557574	0.1174238173	0.06369553463	0.07308637945	0.06628171514	0.05147366381	-0.1480531513	-0.1990746881	-0.1480531513		-0.256192606	-0.1650462656	-0.3710877175	0.5142469471	0.4270156395	0.5135701166	-0.2679695518	0.5949634962	0.7321272127	-0.2686118355	-0.3813213495	0.3517460544	0.2743821591	0.8997778267	-0.7408910066	-0.9849266994	0.3945266621	-0.6902449475	0.5183175034	0.4783503828	0.5260181452	0.1191789061	-0.5838289754	0.1022433968	0.1489170688	0.01958763938	0.2369033166
snr_total	-0.5933116373	0.6793646259	-0.05344565721	0.1901837361	0.06225196642	0.04316932086	0.06376184695	0.07073994348	-0.4588659573	0.6214331623	-0.1434794585	-0.4749390437	-0.2580110385		0.04959651503	-0.09917262627	-0.06964834066	-0.06714887626	0.1998143255	0.7638006142	1	0.9558104896	0.06273655645	-0.0005253976189	0.01142612297	0.001739423185	0.01577213046	-0.106564056	-0.1064924863	-0.106564056		-0.2190713435	-0.06620520093	-0.1500398513	0.2976607054	0.5975556258	0.6503017609	-0.03940781224	0.724244497	0.7016031024	-0.5023840646	0.09467359035	0.4732404281	0.4198962798	0.7722621923	-0.4512697448	-0.7089501229	0.4882747891	-0.9288876873	0.8719713123	0.7538925345	0.92474269	0.3676077434	-0.9541373787	0.2755123902	-0.2387855664	-0.2244008937	0.2970179859
snr_wm	-0.5483620857	0.6153732363	0.007552020568	0.1536864549	0.1723049143	0.1464941186	0.1753858867	0.1703155446	-0.3427479826	0.4471490803	-0.08969506534	-0.4919200988	-0.2822762469		0.05203476806	-0.1643474358	-0.1356444027	-0.1344915885	0.1365217657	0.5826557574	0.9558104896	1	0.04344477204	-0.005213168607	0.003983840198	-0.003116679079	-0.01326246417	-0.0926562457	-0.08071739729	-0.0926562457		-0.2004491768	-0.04617888004	-0.1324389637	0.2583885086	0.4869670785	0.5271529837	-0.03208389789	0.6075745348	0.5835338646	-0.520010457	0.2857754971	0.4445271932	0.4091791838	0.6176546514	-0.2891110238	-0.5209342896	0.4304527746	-0.917884943	0.9172473246	0.7910314681	0.9795110033	0.3950130924	-0.9965007498	0.2143775313	-0.3708746085	-0.2604952	0.3340304629
snrd_csf	-0.2224115241	0.4391916018	-0.6214769671	0.288422889	-0.08152844799	-0.1330327175	-0.04758164067	-0.04432213505	0.2242427643	0.1064567797	-0.3646616541	-0.3171463258	-0.4135746422		-0.7601534365	0.3969557544	0.3963487416	0.398751288	-0.1719325451	0.1174238173	0.06273655645	0.04344477204	1	0.9930984177	0.9953683394	0.9934197774	0.4392783179	0.3385327399	-0.745166852	0.3385327399		-0.1784194843	-0.8762816131	-0.1487977658	0.1338080615	-0.08340049581	-0.05075783505	-0.1951819349	-0.07479386591	0.009548986377	0.2011795987	-0.02840207711	-0.1794921496	-0.1891762691	-0.01444646576	-0.2390617839	-0.1600677406	0.008465055186	-0.1084053417	0.1215147774	0.1972474715	0.01907069912	0.005845384407	-0.02970791973	-0.2292978035	0.08215586456	0.1219075504	0.3998326889
snrd_gm	-0.1827057467	0.3930280246	-0.633324024	0.2819395844	-0.03453851726	-0.0836555432	-0.01001316045	0.004198080003	0.2770324726	0.04505157058	-0.3551483866	-0.3050060701	-0.4185429653		-0.7647493904	0.4155181033	0.4130186389	0.4143805919	-0.2457840667	0.06369553463	-0.0005253976189	-0.005213168607	0.9930984177	1	0.9993878863	0.9993827853	0.4365442099	0.3433073251	-0.7471460197	0.3433073251		-0.1853011993	-0.8807194377	-0.1823825343	0.1517889024	-0.1794513421	-0.1499854616	-0.2274444026	-0.1612345769	-0.05317489769	0.2458462186	-0.02310729334	-0.1937799043	-0.1992323201	-0.06190066957	-0.188568637	-0.1058191612	-0.05017056359	-0.05748768121	0.0729639567	0.1580746116	-0.03040444928	-0.03613510361	0.01903673703	-0.3033992716	0.08763428245	0.1626131135	0.4118148152
snrd_total	-0.1975801104	0.4086675304	-0.632234962	0.2832403261	-0.04570449189	-0.09392375103	-0.01901123229	-0.008278838208	0.2722222789	0.05947705084	-0.3655390171	-0.3071484682	-0.4172218198		-0.7642392957	0.414763163	0.4127431877	0.4143550872	-0.2293029045	0.07308637945	0.01142612297	0.003983840198	0.9953683394	0.9993878863	1	0.9995052081	0.4393089236	0.3401730882	-0.7507013803	0.3401730882		-0.1900060975	-0.8823313372	-0.1739021762	0.1453464054	-0.1614858041	-0.1309490416	-0.2213169062	-0.1469833891	-0.04220529556	0.237126115	-0.02160761469	-0.2003448241	-0.2065625177	-0.05771698533	-0.2041028312	-0.1168984197	-0.03923408976	-0.06827108477	0.08554289387	0.1716434778	-0.02134357137	-0.02462572565	0.01033452015	-0.2874180023	0.08517052468	0.157093888	0.4115240612
snrd_wm	-0.2011456729	0.4082390508	-0.6362060853	0.2849593454	-0.03758378307	-0.08475224697	-0.01425204803	0.0005458014099	0.2809755052	0.05648789545	-0.3723487824	-0.3083930994	-0.4196957795		-0.7651676682	0.4183287255	0.4162934473	0.4177319146	-0.2450495302	0.06628171514	0.001739423185	-0.003116679079	0.9934197774	0.9993827853	0.9995052081	1	0.438196917	0.3371091519	-0.7534150845	0.3371091519		-0.1958237619	-0.8834586466	-0.1820535219	0.1495699901	-0.1785484743	-0.1481846158	-0.2307377406	-0.162545676	-0.05109115788	0.2445097652	-0.02063843462	-0.2105671234	-0.2175373956	-0.06644149759	-0.2026103852	-0.1114353047	-0.0493442069	-0.06369043368	0.0805898736	0.1712198494	-0.02947336245	-0.03041490444	0.01803185032	-0.2985329674	0.08688954408	0.1642505177	0.4183032207
