IQM	IQM_family	model	predictor	term	coefficient	SE	statistic	p_value	q_value	CI_low	CI_high	std_coefficient	n_observations	n_subjects	converged	status	exclusion_reason	fdr_family	exploratory	acquisition_variable
summary_wm_k	intensity	C_full_software_platform	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-0.05063976652	0.05443208367	-0.9303293774	0.3522005718	0.7585858469	-0.1573246901	0.05604515709	-0.3885042957	133	83	True	ok		model_C_software_platform_Data_ON	False	software_platform
summary_wm_mad	intensity	C_full_software_platform	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	4.541643568	3.171141752	1.432179298	0.1520925148	0.4731767128	-1.673680056	10.75696719	0.6094065083	133	83	True	ok		model_C_software_platform_Data_ON	False	software_platform
summary_wm_mean	intensity	C_full_software_platform	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-13.01406562	5.817811023	-2.236935088	0.02529058283	0.2651900267	-24.41676569	-1.611365541	-0.9425621657	133	83	True	ok		model_C_software_platform_Data_ON	False	software_platform
summary_wm_median	intensity	C_full_software_platform	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-9.181228325	5.113228894	-1.795583283	0.07256081652	0.3125696712	-19.2029728	0.8405161529	-0.7678083609	133	83	True	ok		model_C_software_platform_Data_ON	False	software_platform
summary_wm_p05	intensity	C_full_software_platform	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-24.5178738	11.65945317	-2.10283222	0.03548043848	0.2739654625	-47.3699821	-1.665765499	-0.8790352001	133	83	True	ok		model_C_software_platform_Data_ON	False	software_platform
summary_wm_p95	intensity	C_full_software_platform	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-6.864187878	3.132139328	-2.191533377	0.02841321715	0.2651900267	-13.00306816	-0.7253076012	-0.8613601376	133	83	True	ok		model_C_software_platform_Data_ON	False	software_platform
summary_wm_stdv	intensity	C_full_software_platform	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	7.179106401	3.792438041	1.893005587	0.05835712645	0.2739654625	-0.253935573	14.61214837	0.8040604977	133	83	True	ok		model_C_software_platform_Data_ON	False	software_platform
tpm_overlap_csf	morphology / tissue	C_full_software_platform	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	0.002351270095	0.005242143592	0.4485321803	0.653769167	0.9747701562	-0.007923142547	0.01262568274	0.1657693231	133	83	True	ok		model_C_software_platform_Data_ON	False	software_platform
tpm_overlap_gm	morphology / tissue	C_full_software_platform	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-0.0004155190942	0.003323014828	-0.1250428047	0.900489663	0.9747701562	-0.006928508477	0.006097470289	-0.05040041457	133	83	True	ok		model_C_software_platform_Data_ON	False	software_platform
tpm_overlap_wm	morphology / tissue	C_full_software_platform	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	0.002672487702	0.004186844696	0.638305907	0.5232745675	0.8618639936	-0.005533577112	0.01087855252	0.2511743242	133	83	True	ok		model_C_software_platform_Data_ON	False	software_platform
wm2max	intensity	C_full_software_platform	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	0.01544504933	0.0260115035	0.5937776467	0.5526608418	0.8842573468	-0.03553656071	0.06642665937	0.2318088959	133	83	True	ok		model_C_software_platform_Data_ON	False	software_platform
cjv	contrast	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.06406470819	0.04696379832	1.364129617	0.172526775	0.4927518392	-0.02798264509	0.1561120615	0.8932742912	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
cnr	contrast	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-0.1750844937	0.1440982007	-1.215035947	0.2243523816	0.5127703226	-0.4575117774	0.10734279	-0.799170746	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
efc	entropy / information	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.01460414974	0.02332980776	0.6259867158	0.5313236546	0.7257103575	-0.03112143323	0.06032973271	0.3766788772	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
fber	entropy / information	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	165.4485654	3563.515262	0.0464284711	0.9629687443	0.9629687443	-6818.913007	7149.810138	0.03197653421	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
fwhm_avg	smoothness / sharpness	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.1486369998	0.1284465797	1.157189239	0.2471950533	0.5324201148	-0.1031136704	0.40038767	0.7908495721	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
fwhm_x	smoothness / sharpness	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.1216377154	0.1271502502	0.9566455056	0.3387462121	0.5791134991	-0.1275721957	0.3708476265	0.6725353928	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
fwhm_y	smoothness / sharpness	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.2182989998	0.1408176524	1.550224678	0.1210875987	0.4927518392	-0.05769852726	0.4942965269	1.022091456	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
fwhm_z	smoothness / sharpness	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.1060892036	0.1385276494	0.7658341424	0.4437749962	0.6903166607	-0.1654200001	0.3775984073	0.5407952098	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
icvs_csf	morphology / tissue	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-0.001961311236	0.004436682969	-0.4420670239	0.658440706	0.757466174	-0.01065705007	0.006734427594	-0.3077028588	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
icvs_gm	morphology / tissue	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-0.006690017013	0.004161612469	-1.607554058	0.1079328809	0.4927518392	-0.01484662757	0.001466593543	-0.9932478853	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
icvs_wm	morphology / tissue	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.008789219606	0.004229398098	2.078125398	0.03769781095	0.316569441	0.0004997516574	0.01707868755	1.275229611	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
inu_med	homogeneity / bias field	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-0.007338820339	0.03984835831	-0.1841686998	0.8538811134	0.9022140066	-0.08544016748	0.0707625268	-0.1212778309	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
inu_range	homogeneity / bias field	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.003013849591	0.03319868917	0.09078218648	0.9276656647	0.9620236523	-0.06205438551	0.06808208469	0.05627992079	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
qi_2	artifact	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.0003753234264	0.0004001951652	0.9378509762	0.3483209998	0.5791134991	-0.0004090446842	0.001159691537	0.6467218116	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
rpve_csf	morphology / tissue	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-0.5604985596	0.4018677264	-1.394733945	0.1630960845	0.4927518392	-1.34814483	0.2271477108	-0.9007896769	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
rpve_gm	morphology / tissue	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-0.5620502654	0.4036078211	-1.392565347	0.1637512681	0.4927518392	-1.353107058	0.2290065278	-0.9005760219	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
rpve_wm	morphology / tissue	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-0.5532711328	0.4028211795	-1.373490673	0.1695998589	0.4927518392	-1.342786137	0.2362438712	-0.8908545803	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
snr_csf	signal / SNR	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.2685640231	0.09575515516	2.80469519	0.005036418282	0.2820394238	0.08088736766	0.4562406785	1.803718069	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
snr_gm	signal / SNR	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-0.2223825031	0.3994289787	-0.5567510497	0.5776975327	0.7478034804	-1.005248916	0.5604839094	-0.3719798336	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
snr_total	signal / SNR	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.4335310649	0.4330320589	1.001152354	0.3167531575	0.5791134991	-0.4151961746	1.282258304	0.7168048766	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
snr_wm	signal / SNR	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	1.252384953	0.997598581	1.255399694	0.2093337004	0.5127703226	-0.7028723364	3.207642243	0.9154657737	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
snrd_csf	signal / SNR	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-6.900372256	10.88007034	-0.634221291	0.5259364146	0.7257103575	-28.22491827	14.42417376	-0.4200606459	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
snrd_gm	signal / SNR	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-14.04371231	20.36745507	-0.6895172844	0.4904978	0.7094425165	-53.9631907	25.87576608	-0.4443813025	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
snrd_total	signal / SNR	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-13.3020641	19.4520048	-0.6838402641	0.4940760383	0.7094425165	-51.42729294	24.82316474	-0.4426317093	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
snrd_wm	signal / SNR	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-18.96874962	27.23408479	-0.696507695	0.4861109399	0.7094425165	-72.34657495	34.40907571	-0.4486925732	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
summary_bg_k	intensity	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-1047.029408	1057.10203	-0.9904714757	0.3219437246	0.5791134991	-3118.911315	1024.852499	-0.6760174701	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
summary_bg_mad	intensity	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.7239398588	1.66013003	0.4360741905	0.6627829023	0.757466174	-2.529855209	3.977734927	0.2770293286	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
summary_bg_mean	intensity	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	3.845138533	3.195872591	1.203157643	0.2289153226	0.5127703226	-2.418656645	10.10893371	0.7548071717	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
summary_bg_median	intensity	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.4882907452	1.119742365	0.4360741905	0.6627829023	0.757466174	-1.706363961	2.682945452	0.2770293286	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
summary_bg_p95	intensity	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	5.175160457	9.541656626	0.5423754658	0.5875598775	0.7478034804	-13.52614288	23.8764638	0.3365372513	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
summary_bg_stdv	intensity	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	24.05074893	15.39779665	1.56196042	0.1182973133	0.4927518392	-6.12837795	54.22987581	1.012983655	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
summary_csf_k	intensity	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.1162460422	0.1058437873	1.098279315	0.2720825416	0.5441650833	-0.09120396895	0.3236960533	0.7749109941	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
summary_csf_mad	intensity	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-10.74394425	8.462700515	-1.269564512	0.2042397971	0.5127703226	-27.33053247	5.84264397	-0.8871282157	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
summary_csf_mean	intensity	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	40.12627762	20.75124368	1.933680614	0.0531524088	0.3307260992	-0.5454126256	80.79796786	1.273945819	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
summary_csf_median	intensity	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	50.09566806	24.3395828	2.058197483	0.03957118012	0.316569441	2.390962375	97.80037375	1.358438713	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
summary_csf_p05	intensity	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	34.41064848	16.37841279	2.100975773	0.035643093	0.316569441	2.309549283	66.51174768	1.340899945	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
summary_csf_p95	intensity	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	31.8677945	21.73636393	1.466105122	0.1426196505	0.4927518392	-10.73469596	74.47028496	1.002149104	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
summary_csf_stdv	intensity	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-0.5847186894	8.887020342	-0.06579468335	0.9475412891	0.9629687443	-18.00295849	16.83352111	-0.04512917149	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
summary_gm_k	intensity	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-0.1020323074	0.1733772361	-0.5884988693	0.5561974926	0.7415966568	-0.4418454458	0.2377808311	-0.3450873585	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
summary_gm_mad	intensity	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	7.516183028	2.989320768	2.514344766	0.01192537896	0.316569441	1.657221984	13.37514407	1.626296169	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
summary_gm_mean	intensity	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	16.70057507	8.414788498	1.984669617	0.04718124129	0.330268689	0.2078926718	33.19325746	1.405955158	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
summary_gm_median	intensity	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	16.88530711	7.782376811	2.169685113	0.03003070857	0.316569441	1.632128849	32.13848537	1.482361208	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
summary_gm_p05	intensity	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	6.436072232	20.92408752	0.3075915366	0.758393161	0.8327454317	-34.57438571	47.44653017	0.2242214149	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
summary_gm_p95	intensity	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	22.17611316	13.00734631	1.704891423	0.08821467636	0.4927518392	-3.317817145	47.67004346	1.042222868	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
summary_gm_stdv	intensity	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	6.961335643	7.987467481	0.8715322671	0.3834635955	0.6135417528	-8.693812948	22.61648423	0.5645319037	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
summary_wm_k	intensity	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.01814521514	0.08792812088	0.2063641865	0.8365064437	0.9008530932	-0.154190735	0.1904811653	0.1392086597	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
summary_wm_mad	intensity	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-2.352187526	5.346102598	-0.4399817405	0.6599503322	0.757466174	-12.83035608	8.125981023	-0.3156210666	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
summary_wm_mean	intensity	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	9.370828489	10.06013532	0.9314813558	0.3516046244	0.5791134991	-10.34667442	29.0883314	0.678695548	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
summary_wm_median	intensity	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	3.133325681	8.7031711	0.3600211515	0.7188313161	0.805091074	-13.92457623	20.19122759	0.2620339643	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
summary_wm_p05	intensity	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	30.50227869	20.46316359	1.49059448	0.1360679944	0.4927518392	-9.604784952	70.60934233	1.093593061	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
summary_wm_p95	intensity	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	5.826721428	4.752472116	1.226040108	0.2201835821	0.5127703226	-3.487952757	15.14139561	0.7311725232	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
summary_wm_stdv	intensity	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-8.837465061	6.530654849	-1.353228009	0.1759827997	0.4927518392	-21.63731336	3.962383238	-0.9897968018	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
tpm_overlap_csf	morphology / tissue	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.00979538187	0.008803886535	1.112620186	0.2658715874	0.5441650833	-0.007459918663	0.0270506824	0.6905943412	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
tpm_overlap_gm	morphology / tissue	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-0.00251527412	0.005545579475	-0.4535638037	0.6501428108	0.757466174	-0.01338441016	0.008353861924	-0.3050903321	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
tpm_overlap_wm	morphology / tissue	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-0.01689857369	0.007211052994	-2.34342664	0.01910751948	0.316569441	-0.03103197784	-0.002765169526	-1.588216036	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
wm2max	intensity	C_full_software_platform	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.04106832398	0.04269556822	0.96188728	0.3361062288	0.5791134991	-0.04261345202	0.1247501	0.6163789207	133	83	True	ok		model_C_software_platform_Data_TON	False	software_platform
cjv	contrast	C_full_software_platform	Glaucoma	"C(cohort, Treatment(""Control""))[T.Glaucoma]"	0.0465488728	0.01998067159	2.329695105	0.01982227146	0.0849907057	0.007387476091	0.08571026951	0.6490455124	133	83	True	ok		model_C_software_platform_Glaucoma	False	software_platform
cnr	contrast	C_full_software_platform	Glaucoma	"C(cohort, Treatment(""Control""))[T.Glaucoma]"	-0.1527187337	0.06123708244	-2.493893041	0.01263506119	0.06576153679	-0.2727412098	-0.03269625762	-0.6970825442	133	83	True	ok		model_C_software_platform_Glaucoma	False	software_platform
efc	entropy / information	C_full_software_platform	Glaucoma	"C(cohort, Treatment(""Control""))[T.Glaucoma]"	0.02464914538	0.009915034649	2.486037241	0.01291744473	0.06576153679	0.005216034561	0.04408225619	0.6357653525	133	83	True	ok		model_C_software_platform_Glaucoma	False	software_platform
fber	entropy / information	C_full_software_platform	Glaucoma	"C(cohort, Treatment(""Control""))[T.Glaucoma]"	-2352.242393	1514.592377	-1.553053104	0.1204104484	0.2931732657	-5320.788904	616.3041179	-0.4546220101	133	83	True	ok		model_C_software_platform_Glaucoma	False	software_platform
fwhm_avg	smoothness / sharpness	C_full_software_platform	Glaucoma	"C(cohort, Treatment(""Control""))[T.Glaucoma]"	-0.02489758822	0.05459743544	-0.4560212036	0.6483747309	0.8912416853	-0.1319065953	0.08211141889	-0.1324720427	133	83	True	ok		model_C_software_platform_Glaucoma	False	software_platform
fwhm_x	smoothness / sharpness	C_full_software_platform	Glaucoma	"C(cohort, Treatment(""Control""))[T.Glaucoma]"	-0.02859066052	0.05404225705	-0.5290426803	0.5967758428	0.8912416853	-0.134511538	0.07733021694	-0.1580778711	133	83	True	ok		model_C_software_platform_Glaucoma	False	software_platform
fwhm_y	smoothness / sharpness	C_full_software_platform	Glaucoma	"C(cohort, Treatment(""Control""))[T.Glaucoma]"	-0.003837762261	0.05988535135	-0.06408515897	0.948902419	0.9613687013	-0.1212108941	0.1135353696	-0.01796867608	133	83	True	ok		model_C_software_platform_Glaucoma	False	software_platform
fwhm_z	smoothness / sharpness	C_full_software_platform	Glaucoma	"C(cohort, Treatment(""Control""))[T.Glaucoma]"	-0.04315224122	0.058856733	-0.7331742524	0.4634521571	0.7731708787	-0.1585093181	0.07220483572	-0.2199707845	133	83	True	ok		model_C_software_platform_Glaucoma	False	software_platform
icvs_csf	morphology / tissue	C_full_software_platform	Glaucoma	"C(cohort, Treatment(""Control""))[T.Glaucoma]"	-0.001363975258	0.00188546813	-0.7234146451	0.4694251763	0.7731708787	-0.005059424887	0.002331474371	-0.2139890286	133	83	True	ok		model_C_software_platform_Glaucoma	False	software_platform
icvs_gm	morphology / tissue	C_full_software_platform	Glaucoma	"C(cohort, Treatment(""Control""))[T.Glaucoma]"	-0.003452865319	0.00176814424	-1.952818803	0.05084106964	0.1581722167	-0.006918364349	1.263371092e-05	-0.5126371382	133	83	True	ok		model_C_software_platform_Glaucoma	False	software_platform
icvs_wm	morphology / tissue	C_full_software_platform	Glaucoma	"C(cohort, Treatment(""Control""))[T.Glaucoma]"	0.004810885896	0.001798224409	2.675353461	0.007465049993	0.06379344191	0.001286430818	0.008335340974	0.6980123861	133	83	True	ok		model_C_software_platform_Glaucoma	False	software_platform
