pc	rank_abs_loading	iqm	iqm_family	family_group	loading	abs_loading	loading_squared	contribution	sign	in_top10	explained_variance_ratio	cumulative_ratio	sum_loading_squared
PC7	1	tpm_overlap_gm	template_overlap	morphology / tissue	-0.3076702255	0.3076702255	0.09466096766	0.09466096766	-	True	0.03677002815	0.8466977898	0.9999999999
PC7	2	summary_wm_p05	intensity_summary	intensity	0.2563981657	0.2563981657	0.06574001937	0.06574001938	+	True	0.03677002815	0.8466977898	0.9999999999
PC7	3	snr_csf	snr	signal / SNR	-0.2511999893	0.2511999893	0.06310143462	0.06310143463	-	True	0.03677002815	0.8466977898	0.9999999999
PC7	4	summary_csf_k	intensity_summary	intensity	-0.2431875819	0.2431875819	0.05914019999	0.05914019999	-	True	0.03677002815	0.8466977898	0.9999999999
PC7	5	tpm_overlap_csf	template_overlap	morphology / tissue	-0.2415094808	0.2415094808	0.05832682932	0.05832682932	-	True	0.03677002815	0.8466977898	0.9999999999
PC7	6	summary_csf_p05	intensity_summary	intensity	-0.2254958286	0.2254958286	0.05084836872	0.05084836872	-	True	0.03677002815	0.8466977898	0.9999999999
PC7	7	summary_wm_median	intensity_summary	intensity	0.2236808085	0.2236808085	0.05003310409	0.05003310409	+	True	0.03677002815	0.8466977898	0.9999999999
PC7	8	summary_bg_k	intensity_summary	intensity	-0.2195257052	0.2195257052	0.04819153524	0.04819153525	-	True	0.03677002815	0.8466977898	0.9999999999
PC7	9	snr_wm	snr	signal / SNR	0.2103972909	0.2103972909	0.04426702002	0.04426702002	+	True	0.03677002815	0.8466977898	0.9999999999
PC7	10	fwhm_z	smoothness	smoothness / sharpness	-0.1997080982	0.1997080982	0.03988332449	0.03988332449	-	True	0.03677002815	0.8466977898	0.9999999999
PC8	1	rpve_wm	partial_volume	morphology / tissue	0.390264182	0.390264182	0.1523061318	0.1523061318	+	True	0.02601507964	0.8727128695	1
PC8	2	rpve_gm	partial_volume	morphology / tissue	0.3860702314	0.3860702314	0.1490502236	0.1490502236	+	True	0.02601507964	0.8727128695	1
PC8	3	rpve_csf	partial_volume	morphology / tissue	0.3842889492	0.3842889492	0.1476779965	0.1476779965	+	True	0.02601507964	0.8727128695	1
PC8	4	tpm_overlap_gm	template_overlap	morphology / tissue	-0.315663753	0.315663753	0.09964360496	0.09964360496	-	True	0.02601507964	0.8727128695	1
PC8	5	snr_csf	snr	signal / SNR	0.2409064603	0.2409064603	0.05803592261	0.05803592261	+	True	0.02601507964	0.8727128695	1
PC8	6	summary_csf_mad	intensity_summary	intensity	-0.2191707927	0.2191707927	0.04803583637	0.04803583637	-	True	0.02601507964	0.8727128695	1
PC8	7	snr_wm	snr	signal / SNR	0.1938038571	0.1938038571	0.03755993503	0.03755993503	+	True	0.02601507964	0.8727128695	1
PC8	8	summary_wm_stdv	intensity_summary	intensity	-0.188638634	0.188638634	0.03558453424	0.03558453424	-	True	0.02601507964	0.8727128695	1
PC8	9	summary_wm_p05	intensity_summary	intensity	0.1789425706	0.1789425706	0.03202044357	0.03202044357	+	True	0.02601507964	0.8727128695	1
PC8	10	fber	energy	entropy / information	-0.1606474381	0.1606474381	0.02580759937	0.02580759937	-	True	0.02601507964	0.8727128695	1
