subject	session	n_t1w	run	acq	ProtocolName	SeriesDescription	ImageType	NORM_status	SeriesInstanceUID	AcquisitionNumber	SeriesNumber	RepetitionTime	EchoTime	FlipAngle	SliceThickness	voxel_size	size_x	size_y	size_z	SAR	ShimSetting	series_time	n_dicom_files	dicom_match	n_acquisition_clusters	session_pattern	has_norm_non_norm_pair	consecutive_series	same_acquisition_parameters	same_SeriesInstanceUID	series_time_delta_s	json_differing_keys	bids_name
sub-060	ses-01	2	2		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,ND,NORM	NORM	1.3.12.2.1107.5.2.43.166092.2025051712345070303422620.0.0.0	1	53	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0	0.038303	-1571,1215,-11240,676,16,-287,32,81	124204.01	208	unique	1	PAIRED_NORM_NON_NORM	True	True	True	False	0.209	ImageType,SeriesNumber	sub-060_ses-01_run-02_T1w
sub-061	ses-01	2	1		T1w_MPR	T1w_MPR_ND	ORIGINAL,PRIMARY,M,NONE	non-NORM	1.3.12.2.1107.5.2.43.166092.2025081317203204571200737.0.0.0	1	3	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0			172032.491	1	unique	1	PAIRED_RECONSTRUCTIONS_OTHER	False	True	True	False	0.016	SeriesDescription,SeriesNumber	sub-061_ses-01_run-01_T1w
sub-061	ses-01	2	2		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,NONE	non-NORM	1.3.12.2.1107.5.2.43.166092.2025081317133133654800614.0.0.0	1	4	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0			172032.507	1	unique	1	PAIRED_RECONSTRUCTIONS_OTHER	False	True	True	False	0.016	SeriesDescription,SeriesNumber	sub-061_ses-01_run-02_T1w
sub-062	ses-01	2	2		T1w_MPR	T1w_MPR_ND	ORIGINAL,PRIMARY,M,NONE	non-NORM	1.3.12.2.1107.5.2.43.166092.2025081514535260481430878.0.0.0	1	3	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0			145353.123	1	unique	1	PAIRED_RECONSTRUCTIONS_OTHER	False	True	True	False	0.02	SeriesDescription,SeriesNumber	sub-062_ses-01_run-02_T1w
sub-062	ses-01	2	3		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,NONE	non-NORM	1.3.12.2.1107.5.2.43.166092.2025081514465461164430756.0.0.0	1	4	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0			145353.143	1	unique	1	PAIRED_RECONSTRUCTIONS_OTHER	False	True	True	False	0.02	SeriesDescription,SeriesNumber	sub-062_ses-01_run-03_T1w
sub-063	ses-01	2	1		T1w_MPR	T1w_MPR_ND	ORIGINAL,PRIMARY,M,NONE	non-NORM	1.3.12.2.1107.5.2.43.166092.2025081810575010841100732.0.0.0	1	3	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0			105750.726	1	unique	1	PAIRED_RECONSTRUCTIONS_OTHER	False	True	True	False	0.024	SeriesDescription,SeriesNumber	sub-063_ses-01_run-01_T1w
sub-063	ses-01	2	2		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,NONE	non-NORM	1.3.12.2.1107.5.2.43.166092.2025081810505297137000614.0.0.0	1	4	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0			105750.75	1	unique	1	PAIRED_RECONSTRUCTIONS_OTHER	False	True	True	False	0.024	SeriesDescription,SeriesNumber	sub-063_ses-01_run-02_T1w
sub-064	ses-01	2	1		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,ND	non-NORM	1.3.12.2.1107.5.2.43.166092.2023112512105429252347703.0.0.0	1	47	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0	0.0477476	-1578,1278,-11288,274,10,-467,-53,43	121102.958	208	unique	1	PAIRED_NORM_NON_NORM	True	True	True	False	0.226	ImageType,SeriesNumber	sub-064_ses-01_run-01_T1w
sub-064	ses-01	2	2		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,ND,NORM	NORM	1.3.12.2.1107.5.2.43.166092.2023112512035273842047488.0.0.0	1	48	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0	0.0477476	-1578,1278,-11288,274,10,-467,-53,43	121103.184	208	unique	1	PAIRED_NORM_NON_NORM	True	True	True	False	0.226	ImageType,SeriesNumber	sub-064_ses-01_run-02_T1w
sub-064	ses-02	2	1		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,ND	non-NORM	1.3.12.2.1107.5.2.43.166092.2024060115470220839247708.0.0.0	1	47	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0	0.0473374	-1571,1278,-11278,290,4,-372,-123,15	154718.855	208	unique	1	PAIRED_NORM_NON_NORM	True	True	True	False	0.433	ImageType,SeriesNumber	sub-064_ses-02_run-01_T1w
