iqm	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56
snr_wm	-0.1318704854	0.2301709722	0.08005298192	0.03451783946	0.05189735098	-0.001471110791	0.2103972909	0.1938038571	0.01371997492	0.1268643828	0.1178659565	-0.1453760141	0.02380213554	-0.04280651139	-0.1844806729	-0.01243341402	-0.09580587977	-0.072004215	0.04293553774	-0.05950896075	0.04674372084	-0.0133029807	0.04342709702	-0.00263431642	0.02847775817	0.07496731368	0.04327729482	0.09350534934	-0.1273668885	0.1732253434	0.08247924033	-0.1776018376	0.2989019458	-0.05787688388	-0.2857161633	0.2136226956	0.1546665366	0.1070751817	0.1409285587	-0.1282970707	0.120422497	-0.06577289094	0.1044485064	0.02420772184	-0.08139903105	-0.01318515631	-0.01046144287	-0.007703561056	0.006832758964	0.001479784751	0.001873954805	-0.066558165	0.03895961639	-0.4774655674	-0.2467039885	-0.01385304885
snrd_csf	-0.06551531227	-0.1080771492	0.2824242304	0.143445836	0.2668776095	-0.006187225565	-0.04269829938	-0.006546413752	0.07952767463	-0.1148721121	-0.1106748065	-0.1164191225	0.01727471283	0.01818472331	0.008403513858	-0.09922227436	-0.01495254404	-0.02981620744	0.02700295269	0.003632722541	0.002705277369	-0.00581449766	0.00783549402	0.03358267116	0.0360522259	0.06301671531	-0.02900340162	0.03479910212	0.005225910538	-0.04083412517	0.0274607234	0.03307221765	0.01295706386	-0.03180745029	0.04139363703	0.5534758019	-0.578211769	-0.1253116476	-0.1323172246	0.01711166649	0.09568004051	0.1491158747	0.0363924011	0.0404746418	0.001082073749	0.06807116609	0.006348558819	-0.01202825226	0.0009226260652	0.001889139071	-0.0005011011146	-0.0001179892646	-0.001669167114	0.05848219436	-0.1181547193	0.08437344347
snrd_gm	-0.07005156181	-0.1290535574	0.2713496602	0.1663757297	0.2445065462	-0.02609818855	-0.02075616704	-0.02213117535	0.07085042314	-0.1291193001	-0.1077201807	-0.1281684756	0.03125291439	-4.307621638e-06	0.01806292685	-0.1009045608	-0.03215759834	-0.002455811696	0.01054029046	0.01713360337	0.008480325621	-0.01434581936	-0.01679116671	0.0516274944	-0.0003948617539	-0.04202060662	-0.0008987365289	-0.01423770833	-0.001053743981	-0.008534696683	-0.01042572196	-0.005605227732	-0.003890604695	-0.01066336018	-0.006280717238	-0.1680249474	0.2448767952	0.03171462173	-0.02258900006	-0.02539389232	0.003209057339	-0.06291781389	-0.01301659335	0.06696764866	0.1975593689	-0.705325533	0.1460682767	0.01756310516	0.0007897789418	0.007881710402	0.002882165875	-0.0002265101245	-0.003204386874	0.1122713084	-0.2268277564	0.1619760852
snrd_total	-0.07239948564	-0.1239090826	0.2721285355	0.1611214782	0.2477704778	-0.02472880013	-0.02340693162	-0.01770278352	0.07121245077	-0.13149721	-0.107873121	-0.1258564998	0.03128892427	0.01458668962	0.01994188592	-0.09899374061	-0.02601999366	-0.0144016429	0.01006568594	0.01412225344	0.006730720856	-0.01491162916	-0.02068360715	0.06318159884	0.007442198655	-0.03320743719	-0.01662345275	-0.005076399043	-0.006080523392	-0.006297479188	-0.00399761598	-0.008433589689	-0.007587618877	0.005319353848	-0.004908417745	-0.08779793627	0.09237069572	0.01787622555	0.02718820307	-0.001998023226	-0.01845962294	-0.02418176887	-0.006101027402	-0.01062859875	-0.01443939971	0.04101386133	-0.01240081473	0.0007719313401	-0.0001578117384	-0.0009652427767	-0.0001025571008	0.0006428141941	0.009093745237	-0.3186152973	0.6437156032	-0.4596727273
snrd_wm	-0.07658827663	-0.125744579	0.2675411006	0.1634468875	0.2416917763	-0.03089477887	-0.01771626246	-0.01867561781	0.06791756432	-0.1393020764	-0.1064408335	-0.1273070761	0.03670731731	0.02414266052	0.02582539934	-0.09705101426	-0.02563108335	-0.01730376506	0.002993918831	0.01591870255	0.006965575159	-0.01886131895	-0.03477514035	0.083316924	0.002068496072	-0.06430810523	-0.02356921041	-0.01383453012	-0.01431007089	0.009023820829	-0.01151152468	-0.02688629454	-0.01844428154	0.03200698258	-0.02208841962	-0.279362207	0.2408051879	0.0637386578	0.127543871	0.008174371478	-0.07972727692	-0.06305128082	-0.017584279	-0.08938990506	-0.1808010028	0.5945475537	-0.1395646606	-0.006886384298	-0.001299275902	-0.008775388815	-0.002202113257	-0.0002995487889	-0.004237648137	0.1484734272	-0.2999688419	0.2142056134
summary_bg_k	-0.04703570381	-0.02933639124	0.1018916509	-0.03740014204	0.05187752044	-0.2029446993	-0.2195257052	-0.03230249601	-0.4937201908	0.4570359158	0.05501541081	0.172835592	0.2223743013	0.145819868	0.1950949615	-0.4624691244	-0.1959764673	-0.08897015914	0.1169375349	-0.04901352311	0.06889124818	-0.0449998484	0.04897655471	0.08238412235	0.0117118111	0.06099565445	-0.02135660299	0.0168399261	0.005477337643	-0.007960105574	-0.001509460634	-0.00436413063	-0.01869735023	-0.007119173041	-0.009876484755	-0.005625782641	0.009222911724	0.006257650141	-0.007593269542	-0.0005752784055	0.003931858323	-0.00109038435	0.006309547463	0.0008513154893	-0.0002717634155	-0.0004345451921	0.001319006437	-0.0008448473551	-0.00035264733	-1.198537553e-05	-7.447393983e-05	5.551115123e-17	2.775557562e-16	-2.220446049e-16	-2.775557562e-17	-1.769417945e-16
summary_bg_mad	0.06141266237	-0.1062315685	0.04065674331	0.1984905129	0.2388477964	0.3321233569	0.0653024918	-0.05946976329	-0.05456243532	0.1750191024	0.1143484959	0.3012618949	-0.1783880817	-0.1277960715	-0.07975809687	-0.005221784059	0.002297700283	0.1252815447	-0.02594271217	-0.05013062851	-0.009623621621	0.04763636881	0.08476879218	-0.1672371467	-0.01544050418	0.0663651204	0.1181788761	-0.02311174367	0.005600298673	0.01165089027	-0.009856220887	0.01066688903	-0.003828426773	-0.001354540773	-0.004056374215	-0.01834610445	0.0119670482	0.009718623707	0.0002139514349	-0.0001355893035	-0.00170940243	-0.001442500721	0.00128005996	-0.002289092799	-0.005858300901	0.01259612838	-0.003829834983	-0.0001063974411	-0.0002352374687	-0.00028364189	-6.469230394e-05	0.004264723487	-0.0054735057	-0.1894981296	0.3313131391	0.595209136
summary_bg_mean	0.1433122201	-0.0372372277	-0.07504190513	0.106813011	0.03159067904	0.2983210921	0.1051702374	0.1156526879	-0.01336422413	0.01720688001	-0.08985059074	0.0009421192305	0.3814660043	0.2311878186	0.09238279613	0.1742313463	-0.1495291293	-0.1383740506	-0.007635036337	-0.0326914947	-0.01656132396	-0.01197507495	-0.05936057151	0.002193483241	-0.0268706326	-0.008736548187	-0.03330526176	0.008244855393	-0.01765679753	0.1033788043	0.09330246951	0.07636292754	0.03684281893	-0.5498362929	0.4095138415	0.1271494597	0.1485455429	0.09108281898	0.03644843584	0.04817222854	-0.0178118661	0.02196573569	-0.03334435549	-0.04586283984	-0.01701314226	0.0043789175	-0.01338965833	0.002800938888	-0.006481277979	-0.0007816412788	-0.000265607199	1.165734176e-15	2.220446049e-16	-7.771561172e-16	-7.771561172e-16	-4.024558464e-16
summary_bg_median	0.06141266237	-0.1062315685	0.04065674331	0.1984905129	0.2388477964	0.3321233569	0.0653024918	-0.05946976329	-0.05456243532	0.1750191024	0.1143484959	0.3012618949	-0.1783880817	-0.1277960715	-0.07975809687	-0.005221784059	0.002297700283	0.1252815447	-0.02594271217	-0.05013062851	-0.009623621621	0.04763636881	0.08476879218	-0.1672371467	-0.01544050418	0.0663651204	0.1181788761	-0.02311174367	0.005600298673	0.01165089027	-0.009856220887	0.01066688903	-0.003828426773	-0.001354540773	-0.004056374215	-0.01834610445	0.0119670482	0.009718623707	0.0002139514349	-0.0001355893035	-0.00170940243	-0.001442500721	0.00128005996	-0.002289092799	-0.005858300901	0.01259612838	-0.003829834983	-0.0001063974411	-0.0002352374687	-0.00028364189	-6.469230394e-05	-0.004264723487	0.0054735057	0.1894981296	-0.3313131391	-0.595209136
summary_bg_p95	0.1517352507	-0.09903071387	-0.002302968845	0.1088075486	0.06289494921	0.25323262	0.0680139694	0.04952553437	-0.07248110879	0.1860524039	0.1369207183	0.08639069881	0.1017354651	-0.02395405822	-0.04980366501	0.2501839149	-0.009934521251	-0.2503429897	-0.06061315064	0.1374656233	0.01036156272	-0.1103884327	-0.3225209401	0.5249587937	-0.01517972457	-0.2097965175	-0.282270688	-0.01047289793	-0.06592806612	-0.112905652	-0.01678057074	-0.07892563215	0.01459047197	0.2628461156	-0.1652403103	-0.02713634761	-0.08623915935	-0.06499471776	-0.03951999144	-0.02090232815	0.01286639142	-0.0189984388	0.005923243843	0.02560535265	0.02220539729	-0.0217451869	0.004941857794	0.001455032073	0.00163201385	0.001232936964	1.842578961e-05	-1.136018506e-15	-2.056321192e-15	3.60822483e-16	4.440892099e-16	1.942890293e-16
