bold_stem	subject	session	has_physio	channels	in_release
sub-034_ses-01_task-rest_run-01	sub-034	ses-01	True	pulse;respiratory;trigger	True
sub-034_ses-02_task-rest_run-01	sub-034	ses-02	True	respiratory;trigger	True
sub-035_ses-01_task-rest_run-01	sub-035	ses-01	True	pulse;respiratory;trigger	True
sub-035_ses-02_task-rest_run-01	sub-035	ses-02	True	pulse;respiratory;trigger	True
sub-035_ses-02_task-rest_run-03	sub-035	ses-02	True	pulse;respiratory;trigger	True
sub-036_ses-01_task-rest_run-01	sub-036	ses-01	True	pulse;respiratory;trigger	True
sub-036_ses-02_task-rest_run-01	sub-036	ses-02	True	pulse;respiratory;trigger	True
sub-037_ses-01_task-rest_run-01	sub-037	ses-01	True	pulse;respiratory;trigger	True
sub-038_ses-01_task-rest_run-01	sub-038	ses-01	True	pulse;respiratory;trigger	True
sub-038_ses-02_task-rest_run-01	sub-038	ses-02	True	pulse;respiratory;trigger	True
sub-039_ses-01_task-rest_run-01	sub-039	ses-01	True	pulse;respiratory;trigger	True
sub-039_ses-02_task-rest_run-01	sub-039	ses-02	True	pulse;respiratory;trigger	True
sub-040_ses-01_task-rest_run-01	sub-040	ses-01	True	pulse;respiratory;trigger	True
sub-040_ses-02_task-rest_run-01	sub-040	ses-02	True	pulse;respiratory;trigger	True
sub-041_ses-01_task-rest_run-01	sub-041	ses-01	True	respiratory;trigger	True
sub-041_ses-02_task-rest_run-01	sub-041	ses-02	True	pulse;respiratory;trigger	True
sub-042_ses-01_task-rest_run-01	sub-042	ses-01	True	respiratory;trigger	True
sub-043_ses-02_task-rest_run-01	sub-043	ses-02	False		True
sub-043_ses-02_task-rest_run-02	sub-043	ses-02	False		True
sub-044_ses-01_task-rest_run-01	sub-044	ses-01	True	pulse;respiratory;trigger	True
sub-044_ses-02_task-rest_run-01	sub-044	ses-02	True	respiratory;trigger	True
sub-045_ses-01_task-rest_run-01	sub-045	ses-01	True	pulse;respiratory;trigger	True
sub-046_ses-01_task-rest_run-01	sub-046	ses-01	True	pulse;respiratory;trigger	True
sub-046_ses-02_task-rest_run-01	sub-046	ses-02	True	pulse;respiratory;trigger	True
sub-047_ses-01_task-rest_run-01	sub-047	ses-01	True	pulse;respiratory;trigger	True
sub-047_ses-02_task-rest_run-01	sub-047	ses-02	True	pulse;respiratory;trigger	True
sub-048_ses-01_task-rest_run-01	sub-048	ses-01	True	pulse;respiratory;trigger	True
sub-048_ses-02_task-rest_run-01	sub-048	ses-02	True	pulse;respiratory;trigger	True
sub-049_ses-01_task-rest_run-01	sub-049	ses-01	True	pulse;respiratory;trigger	True
sub-050_ses-01_task-rest_run-01	sub-050	ses-01	True	pulse;respiratory;trigger	True
sub-051_ses-01_task-rest_run-01	sub-051	ses-01	True	pulse;respiratory;trigger	True
sub-052_ses-01_task-rest_run-01	sub-052	ses-01	True	pulse;respiratory;trigger	True
sub-052_ses-02_task-rest_run-01	sub-052	ses-02	True	pulse;respiratory;trigger	True
sub-053_ses-01_task-rest_run-01	sub-053	ses-01	True	pulse;respiratory;trigger	True
sub-054_ses-01_task-rest_run-01	sub-054	ses-01	True	pulse;respiratory;trigger	True
sub-054_ses-02_task-rest_run-01	sub-054	ses-02	False		True
sub-056_ses-01_task-rest_run-01	sub-056	ses-01	False		True
sub-057_ses-01_task-rest_run-01	sub-057	ses-01	True	respiratory;trigger	True
sub-057_ses-02_task-rest_run-01	sub-057	ses-02	True	pulse;respiratory;trigger	True
sub-058_ses-01_task-rest_run-01	sub-058	ses-01	True	pulse;respiratory;trigger	True
sub-059_ses-01_task-rest_run-01	sub-059	ses-01	True	respiratory;trigger	True
sub-060_ses-01_task-rest_run-01	sub-060	ses-01	True	pulse;respiratory;trigger	True
sub-061_ses-01_task-rest_run-01	sub-061	ses-01	False		True
sub-062_ses-01_task-rest_run-01	sub-062	ses-01	False		True
sub-063_ses-01_task-rest_run-01	sub-063	ses-01	False		True
sub-064_ses-01_task-rest_run-01	sub-064	ses-01	True	pulse;respiratory;trigger	True
sub-064_ses-02_task-rest_run-01	sub-064	ses-02	True	pulse;respiratory;trigger	True
sub-065_ses-01_task-rest_run-01	sub-065	ses-01	False		True
sub-066_ses-01_task-rest_run-01	sub-066	ses-01	True	respiratory;trigger	True
sub-066_ses-02_task-rest_run-01	sub-066	ses-02	True	pulse;respiratory;trigger	True
sub-067_ses-01_task-rest_run-01	sub-067	ses-01	True	pulse;respiratory;trigger	True
sub-067_ses-02_task-rest_run-01	sub-067	ses-02	True	pulse;respiratory;trigger	True
sub-068_ses-01_task-rest_run-01	sub-068	ses-01	True	pulse;respiratory;trigger	True
sub-068_ses-02_task-rest_run-01	sub-068	ses-02	True	pulse;respiratory;trigger	True
sub-069_ses-01_task-rest_run-01	sub-069	ses-01	True	pulse;respiratory;trigger	True
sub-069_ses-02_task-rest_run-01	sub-069	ses-02	True	pulse;respiratory;trigger	True
sub-070_ses-01_task-rest_run-01	sub-070	ses-01	True	pulse;respiratory;trigger	True
sub-071_ses-01_task-rest_run-01	sub-071	ses-01	True	pulse;respiratory;trigger	True
sub-072_ses-01_task-rest_run-01	sub-072	ses-01	True	pulse;respiratory;trigger	True
sub-072_ses-02_task-rest_run-01	sub-072	ses-02	True	pulse;respiratory;trigger	True
sub-073_ses-01_task-rest_run-01	sub-073	ses-01	True	pulse;respiratory;trigger	True
sub-073_ses-02_task-rest_run-01	sub-073	ses-02	True	pulse;respiratory;trigger	True
sub-074_ses-01_task-rest_run-01	sub-074	ses-01	True	pulse;respiratory;trigger	True
sub-074_ses-02_task-rest_run-01	sub-074	ses-02	True	pulse;respiratory;trigger	True
sub-075_ses-01_task-rest_run-01	sub-075	ses-01	True	pulse;respiratory;trigger	True
sub-076_ses-01_task-rest_run-01	sub-076	ses-01	True	pulse;trigger	True
sub-077_ses-01_task-rest_run-01	sub-077	ses-01	True	pulse;respiratory;trigger	True
sub-078_ses-01_task-rest_run-01	sub-078	ses-01	True	pulse;respiratory;trigger	True
sub-079_ses-01_task-rest_run-01	sub-079	ses-01	True	pulse;respiratory;trigger	True
sub-080_ses-01_task-rest_run-01	sub-080	ses-01	True	pulse;trigger	True
sub-081_ses-01_task-rest_run-01	sub-081	ses-01	True	pulse;respiratory;trigger	True
sub-081_ses-02_task-rest_run-01	sub-081	ses-02	False		True
sub-082_ses-01_task-rest_run-01	sub-082	ses-01	True	pulse;respiratory;trigger	True
sub-083_ses-01_task-rest_run-01	sub-083	ses-01	True	pulse;respiratory;trigger	True
sub-084_ses-01_task-rest_run-01	sub-084	ses-01	True	pulse;respiratory;trigger	True
