path_original	path_resolved	exists	subject_source	session_source	extension	inventory_category	paradigm	role	size_bytes	contents_summary	potential_bids_destination
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/RandomGenerator.m	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/RandomGenerator.m	True	SUBC001	ses-01	.m	stimulus	task-fmri	stimulus_script	1178	Psychtoolbox presentation / timing definition	bids/stimuli/RandomGenerator.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/RedLevel.mat	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/RedLevel.mat	True	SUBC001	ses-01	.mat	stimulus	task-fmri	display_calibration	1936	RGB gun levels	bids/stimuli/RedLevel.mat
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/May-05-2023_ 2-50-30_PM__Subject_is_050__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/May-05-2023_ 2-50-30_PM__Subject_is_050__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat	True	SUBC001	ses-01	.mat	task_timing	task-fmri	stim_order	205	Stim_order_selected (12 conditions)	bids/sub-001/ses-01/func/May-05-2023__2-50-30_PM__Subject_is_050__sequence_of_stimuli_for_fMRI_number_1_is_11___6__10__12___1___5___9___2___4___7___3___8_events.tsv
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/May-05-2023_ 2-55-37_PM__scan_info_for_subject_050__selected_run_is_1__fmri_number_is1.mat	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/May-05-2023_ 2-55-37_PM__scan_info_for_subject_050__selected_run_is_1__fmri_number_is1.mat	True	SUBC001	ses-01	.mat	stimulus	task-fmri	scan_info_triggers	74254	scan.runs.triggerTimes (+vbl); primary onset source	bids/stimuli/May-05-2023__2-55-37_PM__scan_info_for_subject_050__selected_run_is_1__fmri_number_is1.mat
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/May-05-2023_ 2-56-09_PM__Subject_is_050__sequence_of_stimuli_for_fMRI_number_2_is_6   9  10   3   7   5   1  12   8   4   2  11.mat	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/May-05-2023_ 2-56-09_PM__Subject_is_050__sequence_of_stimuli_for_fMRI_number_2_is_6   9  10   3   7   5   1  12   8   4   2  11.mat	True	SUBC001	ses-01	.mat	task_timing	task-fmri	stim_order	205	Stim_order_selected (12 conditions)	bids/sub-001/ses-01/func/May-05-2023__2-56-09_PM__Subject_is_050__sequence_of_stimuli_for_fMRI_number_2_is_6___9__10___3___7___5___1__12___8___4___2__11_events.tsv
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/May-05-2023_ 2-59-58_PM__scan_info_for_subject_050__selected_run_is_4__fmri_number_is2.mat	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/May-05-2023_ 2-59-58_PM__scan_info_for_subject_050__selected_run_is_4__fmri_number_is2.mat	True	SUBC001	ses-01	.mat	stimulus	task-fmri	scan_info_triggers	74246	scan.runs.triggerTimes (+vbl); primary onset source	bids/stimuli/May-05-2023__2-59-58_PM__scan_info_for_subject_050__selected_run_is_4__fmri_number_is2.mat
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/May-05-2023_ 3-01-16_PM__Subject_is_050__sequence_of_stimuli_for_fMRI_number_3_is_3   1   7   8   9   4  12  11   6   2  10   5.mat	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/May-05-2023_ 3-01-16_PM__Subject_is_050__sequence_of_stimuli_for_fMRI_number_3_is_3   1   7   8   9   4  12  11   6   2  10   5.mat	True	SUBC001	ses-01	.mat	task_timing	task-fmri	stim_order	205	Stim_order_selected (12 conditions)	bids/sub-001/ses-01/func/May-05-2023__3-01-16_PM__Subject_is_050__sequence_of_stimuli_for_fMRI_number_3_is_3___1___7___8___9___4__12__11___6___2__10___5_events.tsv
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/May-05-2023_ 3-05-13_PM__scan_info_for_subject_050__selected_run_is_2__fmri_number_is3.mat	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/May-05-2023_ 3-05-13_PM__scan_info_for_subject_050__selected_run_is_2__fmri_number_is3.mat	True	SUBC001	ses-01	.mat	stimulus	task-fmri	scan_info_triggers	74273	scan.runs.triggerTimes (+vbl); primary onset source	bids/stimuli/May-05-2023__3-05-13_PM__scan_info_for_subject_050__selected_run_is_2__fmri_number_is3.mat
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/May-05-2023_ 3-05-29_PM__Subject_is_050__sequence_of_stimuli_for_fMRI_number_4_is_12   3  10   6  11   7   1   2   5   8   9   4.mat	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/May-05-2023_ 3-05-29_PM__Subject_is_050__sequence_of_stimuli_for_fMRI_number_4_is_12   3  10   6  11   7   1   2   5   8   9   4.mat	True	SUBC001	ses-01	.mat	task_timing	task-fmri	stim_order	205	Stim_order_selected (12 conditions)	bids/sub-001/ses-01/func/May-05-2023__3-05-29_PM__Subject_is_050__sequence_of_stimuli_for_fMRI_number_4_is_12___3__10___6__11___7___1___2___5___8___9___4_events.tsv
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/May-05-2023_ 3-09-24_PM__scan_info_for_subject_050__selected_run_is_5__fmri_number_is4.mat	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/May-05-2023_ 3-09-24_PM__scan_info_for_subject_050__selected_run_is_5__fmri_number_is4.mat	True	SUBC001	ses-01	.mat	stimulus	task-fmri	scan_info_triggers	74222	scan.runs.triggerTimes (+vbl); primary onset source	bids/stimuli/May-05-2023__3-09-24_PM__scan_info_for_subject_050__selected_run_is_5__fmri_number_is4.mat
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/fMRI_1.mat	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/fMRI_1.mat	True	SUBC001	ses-01	.mat	stimulus	task-fmri	stim_order	205	Stim_order_selected (12 conditions)	bids/stimuli/fMRI_1.mat
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/fMRI_2.mat	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/fMRI_2.mat	True	SUBC001	ses-01	.mat	stimulus	task-fmri	stim_order	205	Stim_order_selected (12 conditions)	bids/stimuli/fMRI_2.mat
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/fMRI_3.mat	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/fMRI_3.mat	True	SUBC001	ses-01	.mat	stimulus	task-fmri	stim_order	205	Stim_order_selected (12 conditions)	bids/stimuli/fMRI_3.mat
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/fMRI_4.mat	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/fMRI_4.mat	True	SUBC001	ses-01	.mat	stimulus	task-fmri	stim_order	205	Stim_order_selected (12 conditions)	bids/stimuli/fMRI_4.mat
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/runs_random.mat	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/runs_random.mat	True	SUBC001	ses-01	.mat	stimulus	task-fmri	runs_random_workspace	138667	paradigm/runParadigmFinal, Stim_order, fMRI_number, run_number, vbl	bids/stimuli/runs_random.mat
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/runs_random_record_050.mat	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/runs_random_record_050.mat	True	SUBC001	ses-01	.mat	stimulus	task-fmri	runs_random_workspace	195	paradigm/runParadigmFinal, Stim_order, fMRI_number, run_number, vbl	bids/stimuli/runs_random_record_050.mat
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/main.m	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/main.m	True	SUBC001	ses-01	.m	stimulus	task-fmri	stimulus_script	16511	Psychtoolbox presentation / timing definition	bids/stimuli/main.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/presentStimParams.m	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/presentStimParams.m	True	SUBC001	ses-01	.m	stimulus	task-fmri	stimulus_script	3205	Psychtoolbox presentation / timing definition	bids/stimuli/presentStimParams.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/3-Movie_Data/Movie1A.mp4	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/3-Movie_Data/Movie1A.mp4	True	SUBC001	ses-01	.mp4	stimulus	task-movie	movie_stimulus_file	183368517	MP4 naturalistic movie segment (copyright-flagged)	bids/stimuli/Movie1A.mp4
