participant_id	session_id	fmri_number	destination	status	method	reason	n_events	scan_info	stim_order	already_existed
sub-053	ses-01	2	sub-053/ses-01/func/sub-053_ses-01_task-fmri_run-07_events.tsv	written	canonical_paradigm	actual triggerTimes + canonical presentStimParams paradigm + Stim_order_selected; runs_random not required; terminal boundary derived as final trigger + measured median TR; matched by recorded BOLD protocol metadata	25	/project/def-amirs/raw_original/Control/SUBC54_Session01_2024NOV29/SUBC054_Session01_2024NOV29_matlab/2-Grating/Results/November-29-2024_ 3-04-30_PM__scan_info_for_subject_SUBC054_Session01_2024NOV29__selected_run_is_4__fmri_number_is2.mat	/project/def-amirs/raw_original/Control/SUBC54_Session01_2024NOV29/SUBC054_Session01_2024NOV29_matlab/2-Grating/Results/fMRI_2.mat	False
sub-053	ses-01	3	sub-053/ses-01/func/sub-053_ses-01_task-fmri_run-01_events.tsv	written	canonical_paradigm	actual triggerTimes + canonical presentStimParams paradigm + Stim_order_selected; runs_random not required; terminal boundary derived as final trigger + measured median TR; matched by recorded BOLD protocol metadata	25	/project/def-amirs/raw_original/Control/SUBC54_Session01_2024NOV29/SUBC054_Session01_2024NOV29_matlab/2-Grating/Results/November-29-2024_ 3-10-08_PM__scan_info_for_subject_SUBC054_Session01_2024NOV29__selected_run_is_2__fmri_number_is3.mat	/project/def-amirs/raw_original/Control/SUBC54_Session01_2024NOV29/SUBC054_Session01_2024NOV29_matlab/2-Grating/Results/fMRI_3.mat	False
sub-053	ses-01	4	sub-053/ses-01/func/sub-053_ses-01_task-fmri_run-03_events.tsv	skipped_existing	strict_runs_random	actual triggerTimes + recorded paradigm + matching stimulus order; no default TR or synthesized timing; terminal boundary derived as final trigger + measured median TR; matched by recorded BOLD protocol metadata	25	/project/def-amirs/raw_original/Control/SUBC54_Session01_2024NOV29/SUBC054_Session01_2024NOV29_matlab/2-Grating/Results/November-29-2024_ 3-14-25_PM__scan_info_for_subject_SUBC054_Session01_2024NOV29__selected_run_is_5__fmri_number_is4.mat	/project/def-amirs/raw_original/Control/SUBC54_Session01_2024NOV29/SUBC054_Session01_2024NOV29_matlab/2-Grating/Results/fMRI_4.mat	True
sub-054	ses-01	1	sub-054/ses-01/func/sub-054_ses-01_task-fmri_run-05_events.tsv	written	canonical_paradigm	actual triggerTimes + canonical presentStimParams paradigm + Stim_order_selected; runs_random not required; terminal boundary derived as final trigger + measured median TR; matched by recorded BOLD protocol metadata	25	/project/def-amirs/raw_original/Control/SUBC55_SESSION01_2025FEB11/SUBC55_SESSION01_2025FEB11-MTALAB/2-Grating/Results/February-11-2025_ 3-05-39_PM__scan_info_for_subject_SUBC55_SESSION01__selected_run_is_1__fmri_number_is1.mat	/project/def-amirs/raw_original/Control/SUBC55_SESSION01_2025FEB11/SUBC55_SESSION01_2025FEB11-MTALAB/2-Grating/Results/fMRI_1.mat	False
sub-054	ses-01	2	sub-054/ses-01/func/sub-054_ses-01_task-fmri_run-07_events.tsv	written	canonical_paradigm	actual triggerTimes + canonical presentStimParams paradigm + Stim_order_selected; runs_random not required; terminal boundary derived as final trigger + measured median TR; matched by recorded BOLD protocol metadata	25	/project/def-amirs/raw_original/Control/SUBC55_SESSION01_2025FEB11/SUBC55_SESSION01_2025FEB11-MTALAB/2-Grating/Results/February-11-2025_ 3-09-45_PM__scan_info_for_subject_SUBC55_SESSION01__selected_run_is_4__fmri_number_is2.mat	/project/def-amirs/raw_original/Control/SUBC55_SESSION01_2025FEB11/SUBC55_SESSION01_2025FEB11-MTALAB/2-Grating/Results/fMRI_2.mat	False
sub-054	ses-01	3	sub-054/ses-01/func/sub-054_ses-01_task-fmri_run-01_events.tsv	written	canonical_paradigm	actual triggerTimes + canonical presentStimParams paradigm + Stim_order_selected; runs_random not required; terminal boundary derived as final trigger + measured median TR; matched by recorded BOLD protocol metadata	25	/project/def-amirs/raw_original/Control/SUBC55_SESSION01_2025FEB11/SUBC55_SESSION01_2025FEB11-MTALAB/2-Grating/Results/February-11-2025_ 3-14-36_PM__scan_info_for_subject_SUBC55_SESSION01__selected_run_is_2__fmri_number_is3.mat	/project/def-amirs/raw_original/Control/SUBC55_SESSION01_2025FEB11/SUBC55_SESSION01_2025FEB11-MTALAB/2-Grating/Results/fMRI_3.mat	False
sub-054	ses-01	4	sub-054/ses-01/func/sub-054_ses-01_task-fmri_run-03_events.tsv	skipped_existing	strict_runs_random	actual triggerTimes + recorded paradigm + matching stimulus order; no default TR or synthesized timing; terminal boundary derived as final trigger + measured median TR; matched by recorded BOLD protocol metadata	25	/project/def-amirs/raw_original/Control/SUBC55_SESSION01_2025FEB11/SUBC55_SESSION01_2025FEB11-MTALAB/2-Grating/Results/February-11-2025_ 3-18-40_PM__scan_info_for_subject_SUBC55_SESSION01__selected_run_is_5__fmri_number_is4.mat	/project/def-amirs/raw_original/Control/SUBC55_SESSION01_2025FEB11/SUBC55_SESSION01_2025FEB11-MTALAB/2-Grating/Results/fMRI_4.mat	True
sub-054	ses-02	1	sub-054/ses-02/func/sub-054_ses-02_task-fmri_run-01_events.tsv	written	canonical_paradigm	actual triggerTimes + canonical presentStimParams paradigm + Stim_order_selected; runs_random not required; terminal boundary derived as final trigger + measured median TR; matched by recorded BOLD protocol metadata	25	/project/def-amirs/raw_original/Control/SUBC55_SESSION02_2025AUG14/SUBC55-Session2-2025AUG14/2-Grating/Results/August-14-2025_10-34-36_AM__scan_info_for_subject_SUBC55-Session2-2025AUG14__selected_run_is_1__fmri_number_is1.mat	/project/def-amirs/raw_original/Control/SUBC55_SESSION02_2025AUG14/SUBC55-Session2-2025AUG14/2-Grating/Results/fMRI_1.mat	False
sub-054	ses-02	2	sub-054/ses-02/func/sub-054_ses-02_task-fmri_run-03_events.tsv	written	canonical_paradigm	actual triggerTimes + canonical presentStimParams paradigm + Stim_order_selected; runs_random not required; terminal boundary derived as final trigger + measured median TR; matched by recorded BOLD protocol metadata	25	/project/def-amirs/raw_original/Control/SUBC55_SESSION02_2025AUG14/SUBC55-Session2-2025AUG14/2-Grating/Results/August-14-2025_10-38-45_AM__scan_info_for_subject_SUBC55-Session2-2025AUG14__selected_run_is_4__fmri_number_is2.mat	/project/def-amirs/raw_original/Control/SUBC55_SESSION02_2025AUG14/SUBC55-Session2-2025AUG14/2-Grating/Results/fMRI_2.mat	False
sub-054	ses-02	3	sub-054/ses-02/func/sub-054_ses-02_task-fmri_run-05_events.tsv	written	canonical_paradigm	actual triggerTimes + canonical presentStimParams paradigm + Stim_order_selected; runs_random not required; terminal boundary derived as final trigger + measured median TR; matched by recorded BOLD protocol metadata	25	/project/def-amirs/raw_original/Control/SUBC55_SESSION02_2025AUG14/SUBC55-Session2-2025AUG14/2-Grating/Results/August-14-2025_10-44-16_AM__scan_info_for_subject_SUBC55-Session2-2025AUG14__selected_run_is_2__fmri_number_is3.mat	/project/def-amirs/raw_original/Control/SUBC55_SESSION02_2025AUG14/SUBC55-Session2-2025AUG14/2-Grating/Results/fMRI_3.mat	False
sub-054	ses-02	4	sub-054/ses-02/func/sub-054_ses-02_task-fmri_run-07_events.tsv	written	strict_runs_random	actual triggerTimes + recorded paradigm + matching stimulus order; no default TR or synthesized timing; terminal boundary derived as final trigger + measured median TR; matched by recorded BOLD protocol metadata	25	/project/def-amirs/raw_original/Control/SUBC55_SESSION02_2025AUG14/SUBC55-Session2-2025AUG14/2-Grating/Results/August-14-2025_10-48-19_AM__scan_info_for_subject_SUBC55-Session2-2025AUG14__selected_run_is_5__fmri_number_is4.mat	/project/def-amirs/raw_original/Control/SUBC55_SESSION02_2025AUG14/SUBC55-Session2-2025AUG14/2-Grating/Results/fMRI_4.mat	False
