subject	session	release_relative_path	original_release_size	replacement_file	status	json_source	notes
sub-051	ses-01	sub-051/ses-01/anat/sub-051_ses-01_run-01_TB1TFL.nii.gz	82957	/home/alexrees/scratch/derivatives/defacing/sub-051/ses-01/anat/sub-051_ses-01_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 82957 -> 76378
sub-051	ses-01	sub-051/ses-01/anat/sub-051_ses-01_run-02_TB1TFL.nii.gz	79843	/home/alexrees/scratch/derivatives/defacing/sub-051/ses-01/anat/sub-051_ses-01_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 79843 -> 18671
sub-052	ses-01	sub-052/ses-01/anat/sub-052_ses-01_run-01_TB1TFL.nii.gz	87051	/home/alexrees/scratch/derivatives/defacing/sub-052/ses-01/anat/sub-052_ses-01_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 87051 -> 87979
sub-052	ses-01	sub-052/ses-01/anat/sub-052_ses-01_run-02_TB1TFL.nii.gz	80968	/home/alexrees/scratch/derivatives/defacing/sub-052/ses-01/anat/sub-052_ses-01_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 80968 -> 17776
sub-052	ses-02	sub-052/ses-02/anat/sub-052_ses-02_run-01_TB1TFL.nii.gz	86779	/home/alexrees/scratch/derivatives/defacing/sub-052/ses-02/anat/sub-052_ses-02_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 86779 -> 87295
sub-052	ses-02	sub-052/ses-02/anat/sub-052_ses-02_run-02_TB1TFL.nii.gz	80796	/home/alexrees/scratch/derivatives/defacing/sub-052/ses-02/anat/sub-052_ses-02_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 80796 -> 20774
sub-053	ses-01	sub-053/ses-01/anat/sub-053_ses-01_run-01_TB1TFL.nii.gz	81854	/home/alexrees/scratch/derivatives/defacing/sub-053/ses-01/anat/sub-053_ses-01_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 81854 -> 83673
sub-053	ses-01	sub-053/ses-01/anat/sub-053_ses-01_run-02_TB1TFL.nii.gz	78556	/home/alexrees/scratch/derivatives/defacing/sub-053/ses-01/anat/sub-053_ses-01_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 78556 -> 19601
sub-054	ses-01	sub-054/ses-01/anat/sub-054_ses-01_run-01_TB1TFL.nii.gz	85113	/home/alexrees/scratch/derivatives/defacing/sub-054/ses-01/anat/sub-054_ses-01_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 85113 -> 85759
sub-054	ses-01	sub-054/ses-01/anat/sub-054_ses-01_run-02_TB1TFL.nii.gz	81304	/home/alexrees/scratch/derivatives/defacing/sub-054/ses-01/anat/sub-054_ses-01_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 81304 -> 29351
sub-054	ses-02	sub-054/ses-02/anat/sub-054_ses-02_run-01_TB1TFL.nii.gz	63845	/home/alexrees/scratch/derivatives/defacing/sub-054/ses-02/anat/sub-054_ses-02_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 63845 -> 71925
sub-054	ses-02	sub-054/ses-02/anat/sub-054_ses-02_run-02_TB1TFL.nii.gz	62230	/home/alexrees/scratch/derivatives/defacing/sub-054/ses-02/anat/sub-054_ses-02_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 62230 -> 71106
sub-054	ses-02	sub-054/ses-02/anat/sub-054_ses-02_run-03_TB1TFL.nii.gz	81552	/home/alexrees/scratch/derivatives/defacing/sub-054/ses-02/anat/sub-054_ses-02_run-03_TB1TFL.nii.gz	REPLACED	defacing	size 81552 -> 21448
sub-054	ses-02	sub-054/ses-02/anat/sub-054_ses-02_run-04_TB1TFL.nii.gz	86597	/home/alexrees/scratch/derivatives/defacing/sub-054/ses-02/anat/sub-054_ses-02_run-04_TB1TFL.nii.gz	REPLACED	defacing	size 86597 -> 22927
