priority_basis	rank	image_identifier	subject	session	run	filename	model_estimated_artifact_probability	model_uncertainty	model_confidence	image_path
high_model_estimated_artifact_probability	41	sub-060_ses-01_run-03_T1w.nii.gz	sub-060	ses-01	03	sub-060_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-060/ses-01/anat/sub-060_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	42	sub-057_ses-01_run-03_T1w.nii.gz	sub-057	ses-01	03	sub-057_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-057/ses-01/anat/sub-057_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	43	sub-056_ses-01_run-02_T1w.nii.gz	sub-056	ses-01	02	sub-056_ses-01_run-02_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-056/ses-01/anat/sub-056_ses-01_run-02_T1w.nii.gz
high_model_estimated_artifact_probability	44	sub-056_ses-01_run-01_T1w.nii.gz	sub-056	ses-01	01	sub-056_ses-01_run-01_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-056/ses-01/anat/sub-056_ses-01_run-01_T1w.nii.gz
high_model_estimated_artifact_probability	45	sub-054_ses-02_run-02_T1w.nii.gz	sub-054	ses-02	02	sub-054_ses-02_run-02_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-054/ses-02/anat/sub-054_ses-02_run-02_T1w.nii.gz
high_model_estimated_artifact_probability	46	sub-054_ses-01_run-02_T1w.nii.gz	sub-054	ses-01	02	sub-054_ses-01_run-02_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-054/ses-01/anat/sub-054_ses-01_run-02_T1w.nii.gz
high_model_estimated_artifact_probability	47	sub-054_ses-01_run-01_T1w.nii.gz	sub-054	ses-01	01	sub-054_ses-01_run-01_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-054/ses-01/anat/sub-054_ses-01_run-01_T1w.nii.gz
high_model_estimated_artifact_probability	48	sub-053_ses-01_run-03_T1w.nii.gz	sub-053	ses-01	03	sub-053_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-053/ses-01/anat/sub-053_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	49	sub-053_ses-01_run-01_T1w.nii.gz	sub-053	ses-01	01	sub-053_ses-01_run-01_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-053/ses-01/anat/sub-053_ses-01_run-01_T1w.nii.gz
high_model_estimated_artifact_probability	50	sub-052_ses-02_run-01_T1w.nii.gz	sub-052	ses-02	01	sub-052_ses-02_run-01_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-052/ses-02/anat/sub-052_ses-02_run-01_T1w.nii.gz
high_model_estimated_artifact_probability	51	sub-051_ses-01_run-03_T1w.nii.gz	sub-051	ses-01	03	sub-051_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-051/ses-01/anat/sub-051_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	52	sub-050_ses-01_run-03_T1w.nii.gz	sub-050	ses-01	03	sub-050_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-050/ses-01/anat/sub-050_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	53	sub-049_ses-01_run-03_T1w.nii.gz	sub-049	ses-01	03	sub-049_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-049/ses-01/anat/sub-049_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	54	sub-049_ses-01_run-01_T1w.nii.gz	sub-049	ses-01	01	sub-049_ses-01_run-01_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-049/ses-01/anat/sub-049_ses-01_run-01_T1w.nii.gz
high_model_estimated_artifact_probability	55	sub-048_ses-02_run-03_T1w.nii.gz	sub-048	ses-02	03	sub-048_ses-02_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-048/ses-02/anat/sub-048_ses-02_run-03_T1w.nii.gz
