subject	session	run	task	series_description	bids_target	timing_source	timing_variables	status	confidence
sub-019	ses-02	05	control	Control3_PA	sub-019_ses-02_task-control_run-05_bold	runs_random.mat	paradigm;vbl	MISSING_TIMING	low
sub-019	ses-02	06	control	Control3_PA	sub-019_ses-02_task-control_run-06_bold	runs_random.mat	paradigm;vbl	MISSING_TIMING	low
sub-019	ses-02	07	fmri	fMRI2_AP	sub-019_ses-02_task-fmri_run-07_bold	runs_random.mat	paradigm;vbl	MISSING_TIMING	low
sub-019	ses-02	08	fmri	fMRI2_AP	sub-019_ses-02_task-fmri_run-08_bold	runs_random.mat	paradigm;vbl	MISSING_TIMING	low
sub-020	ses-01	01	control	Control1_PA	sub-020_ses-01_task-control_run-01_bold	September-09-2023_10-56-16_AM__scan_info_for_subject_c21__selected_run_is_1__fmri_number_is1.mat;fMRI_1.mat;runs_random.mat	triggerTimes;vbl;Stim_order_selected;paradigm;vbl	RESOLVED_SOURCE_CONFLICT	high
sub-020	ses-01	02	control	Control1_PA	sub-020_ses-01_task-control_run-02_bold	September-09-2023_11-06-45_AM__scan_info_for_subject_c21__selected_run_is_4__fmri_number_is2.mat;fMRI_2.mat;runs_random.mat	triggerTimes;vbl;Stim_order_selected;paradigm;vbl	READY	high
sub-020	ses-01	01	fmri	fMRI3_AP	sub-020_ses-01_task-fmri_run-01_bold	September-09-2023_10-56-16_AM__scan_info_for_subject_c21__selected_run_is_1__fmri_number_is1.mat;fMRI_1.mat;runs_random.mat	triggerTimes;vbl;Stim_order_selected;paradigm;vbl	RESOLVED_SOURCE_CONFLICT	high
sub-020	ses-01	02	fmri	fMRI3_AP	sub-020_ses-01_task-fmri_run-02_bold	September-09-2023_11-06-45_AM__scan_info_for_subject_c21__selected_run_is_4__fmri_number_is2.mat;fMRI_2.mat;runs_random.mat	triggerTimes;vbl;Stim_order_selected;paradigm;vbl	READY	high
sub-020	ses-01	03	fmri	fMRI4_AP	sub-020_ses-01_task-fmri_run-03_bold	September-09-2023_11-13-01_AM__scan_info_for_subject_c21__selected_run_is_2__fmri_number_is3.mat;fMRI_3.mat;runs_random.mat	triggerTimes;vbl;Stim_order_selected;paradigm;vbl	READY	high
sub-020	ses-01	04	fmri	fMRI4_AP	sub-020_ses-01_task-fmri_run-04_bold	September-09-2023_11-17-14_AM__scan_info_for_subject_c21__selected_run_is_5__fmri_number_is4.mat;fMRI_4.mat;runs_random.mat	triggerTimes;vbl;Stim_order_selected;paradigm;vbl	READY	high
sub-020	ses-01	01	movie	Movie1_AP	sub-020_ses-01_task-movie_run-01_bold	September-09-2023_10-55-41_AM__Subject_is_c21__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat;September-09-2023_10-56-16_AM__scan_info_for_subject_c21__selected_run_is_1__fmri_number_is1.mat;September-09-2023_10-56-31_AM__Subject_is_c21__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat	grating_timing_present_but_not_matched	NOT_APPLICABLE	n/a
