metric,modality,n,mean,median,std,min,max,q1,q3,mean_sd,median_iqr
snr_gm,T1w,2,5.474803147497556,5.474803147497556,0.6907741704948005,4.98635204727217,5.963254247722942,5.230577597384864,5.7190286976102485,5.475 ± 0.6908,"5.475 [5.231, 5.719]"
snr_wm,T1w,2,10.551664630232501,10.551664630232501,0.9495343553064973,9.880242448625681,11.223086811839323,10.215953539429092,10.887375721035912,10.55 ± 0.9495,"10.55 [10.22, 10.89]"
snr_csf,T1w,2,1.8005174796485455,1.8005174796485455,0.036623261198779684,1.7746209233057222,1.8264140359913688,1.7875692014771338,1.8134657578199571,1.801 ± 0.03662,"1.801 [1.788, 1.813]"
snrd_total,T1w,2,28.818068561712465,28.818068561712465,19.317061165862466,15.158843618735801,42.47729350468913,21.988456090224133,35.6476810332008,28.82 ± 19.32,"28.82 [21.99, 35.65]"
snrd_gm,T1w,2,31.016683151403154,31.016683151403154,20.31981959780476,16.648400921308102,45.384965381498205,23.832542036355626,38.20082426645068,31.02 ± 20.32,"31.02 [23.83, 38.2]"
snrd_wm,T1w,2,40.26082063936593,40.26082063936593,27.896372809872922,20.535106254996762,59.986535023735094,30.397963447181347,50.12367783155051,40.26 ± 27.9,"40.26 [30.4, 50.12]"
snrd_csf,T1w,2,15.176701894368312,15.176701894368312,9.734991089909707,8.29302367990254,22.060380108834085,11.734862787135427,18.618541001601198,15.18 ± 9.735,"15.18 [11.73, 18.62]"
icvs_gm,T1w,2,0.3674024049046546,0.3674024049046546,0.008329304453545409,0.3615126972429853,0.37329211256632383,0.36445755107381994,0.3703472587354892,0.3674 ± 0.008329,"0.3674 [0.3645, 0.3703]"
icvs_wm,T1w,2,0.3646235310100093,0.3646235310100093,0.017470119809308314,0.352270290824706,0.3769767711953127,0.3584469109173577,0.370800151102661,0.3646 ± 0.01747,"0.3646 [0.3584, 0.3708]"
icvs_csf,T1w,2,0.2679740640853361,0.2679740640853361,0.009140815355762905,0.261510531561702,0.27443759660897016,0.26474229782351905,0.2712058303471531,0.268 ± 0.009141,"0.268 [0.2647, 0.2712]"
wm2max,T1w,2,0.6270955649662682,0.6270955649662682,0.3310596138156075,0.39300106706025245,0.8611900628722838,0.5100483160132603,0.744142813919276,0.6271 ± 0.3311,"0.6271 [0.51, 0.7441]"
fd_mean,bold,4,0.1873647709433372,0.1948100494565042,0.05207446536888466,0.11843736332424948,0.24140162153609085,0.16574700034277415,0.2164278200570673,0.1874 ± 0.05207,"0.1948 [0.1657, 0.2164]"
fd_num,bold,4,26.25,8.0,39.91136012048032,3.0,86.0,6.0,28.25,26.25 ± 39.91,"8 [6, 28.25]"
dvars,bold,4,60.86251828005936,61.209793703354,6.367783773678345,54.14081192000001,66.88967379352941,56.09277293220589,65.97953905120747,60.86 ± 6.368,"61.21 [56.09, 65.98]"
tsnr,bold,4,24.343266331779887,24.47335289628245,6.2149765938891655,17.6397091083345,30.78665042622015,19.88993264439341,28.926686583668925,24.34 ± 6.215,"24.47 [19.89, 28.93]"
ghost,bold,4,0.05364158051088452,0.054568713530898094,0.026383619636419924,0.027110060676932335,0.07831883430480957,0.03295287722721696,0.07525741681456566,0.05364 ± 0.02638,"0.05457 [0.03295, 0.07526]"
smoothness,bold,4,3.126287083333333,3.0841149999999997,0.5016867616229587,2.677251666666667,3.6596666666666664,2.7091966666666667,3.5012054166666666,3.126 ± 0.5017,"3.084 [2.709, 3.501]"
snr,bold,4,1.7886146834612444,1.7527875113734948,0.35500849422467795,1.4814620635042088,2.167421647593779,1.488169760509269,2.0532324343254698,1.789 ± 0.355,"1.753 [1.488, 2.053]"
snrd,bold,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
