subject	session	physio_uid	target_stem	target_bold_exists	target_already_has_trigger	start_time_missing	ambiguous
sub-004	ses-01	1.3.12.2.1107.5.2.43.166092.2023052214405387805181168.0.0.0	sub-004_ses-01_task-fmri_run-07	True	False	True	False
sub-004	ses-01	1.3.12.2.1107.5.2.43.166092.2023052214464053854669474.0.0.0	sub-004_ses-01_task-fmri_run-01	True	False	True	False
sub-004	ses-01	1.3.12.2.1107.5.2.43.166092.2023052214504719531350295.0.0.0	sub-004_ses-01_task-fmri_run-03	True	False	True	False
sub-004	ses-01	1.3.12.2.1107.5.2.43.166092.202305221455535265531116.0.0.0	sub-004_ses-01_task-movie_run-01	True	False	True	False
sub-004	ses-01	1.3.12.2.1107.5.2.43.166092.2023052215000057710006241.0.0.0	sub-004_ses-01_task-movie_run-03	True	False	True	False
sub-004	ses-01	1.3.12.2.1107.5.2.43.166092.2023052215041923487281366.0.0.0	sub-004_ses-01_task-movie_run-05	True	False	True	False
sub-004	ses-01	1.3.12.2.1107.5.2.43.166092.202305221508185027056491.0.0.0	sub-004_ses-01_task-movie_run-07	True	False	True	False
sub-004	ses-01	1.3.12.2.1107.5.2.43.166092.2023052215131361516431616.0.0.0	sub-004_ses-01_task-rest_run-01	True	False	True	False
sub-005	ses-01	1.3.12.2.1107.5.2.43.166092.2023052410445812434266309.0.0.0	sub-005_ses-01_task-control_run-01	True	False	True	False
sub-005	ses-01	1.3.12.2.1107.5.2.43.166092.2023052411303871835052860.0.0.0	sub-005_ses-01_task-control_run-03	True	False	True	False
sub-005	ses-01	1.3.12.2.1107.5.2.43.166092.2023052411353316751968562.0.0.0	sub-005_ses-01_task-control_run-07	True	False	True	False
sub-005	ses-01	1.3.12.2.1107.5.2.43.166092.2023052411331117558260353.0.0.0	sub-005_ses-01_task-control_run-05	True	False	True	False
sub-005	ses-01	1.3.12.2.1107.5.2.43.166092.2023052410354530672204667.0.0.0	sub-005_ses-01_task-fmri_run-05	True	False	True	False
sub-005	ses-01	1.3.12.2.1107.5.2.43.166092.2023052410395693293185488.0.0.0	sub-005_ses-01_task-fmri_run-07	True	False	True	False
sub-005	ses-01	1.3.12.2.1107.5.2.43.166092.2023052410460525585673794.0.0.0	sub-005_ses-01_task-fmri_run-01	True	False	True	False
sub-005	ses-01	1.3.12.2.1107.5.2.43.166092.2023052410495682435054615.0.0.0	sub-005_ses-01_task-fmri_run-03	True	False	True	False
sub-005	ses-01	1.3.12.2.1107.5.2.43.166092.2023052410543677255635436.0.0.0	sub-005_ses-01_task-movie_run-01	True	False	True	False
