bold_stem	subject	session	task	run	has_pulse	has_resp
sub-068_ses-02_task-control_run-05	sub-068	ses-02	control	05	0	0
sub-069_ses-02_task-control_run-03	sub-069	ses-02	control	03	0	0
sub-069_ses-02_task-control_run-05	sub-069	ses-02	control	05	0	0
sub-071_ses-01_task-control_run-03	sub-071	ses-01	control	03	0	0
sub-071_ses-01_task-control_run-05	sub-071	ses-01	control	05	0	0
sub-074_ses-01_task-control_run-03	sub-074	ses-01	control	03	0	0
sub-074_ses-01_task-control_run-05	sub-074	ses-01	control	05	0	0
sub-075_ses-01_task-control_run-03	sub-075	ses-01	control	03	0	0
sub-075_ses-01_task-control_run-05	sub-075	ses-01	control	05	0	0
sub-076_ses-01_task-control_run-03	sub-076	ses-01	control	03	0	0
sub-076_ses-01_task-control_run-05	sub-076	ses-01	control	05	0	0
sub-078_ses-01_task-control_run-03	sub-078	ses-01	control	03	0	0
sub-078_ses-01_task-control_run-05	sub-078	ses-01	control	05	0	0
sub-078_ses-02_task-movie_run-01	sub-078	ses-02	movie	01	0	0
sub-079_ses-01_task-control_run-03	sub-079	ses-01	control	03	0	0
sub-079_ses-01_task-control_run-05	sub-079	ses-01	control	05	0	0
sub-080_ses-01_task-control_run-03	sub-080	ses-01	control	03	0	0
sub-080_ses-01_task-control_run-05	sub-080	ses-01	control	05	0	0
sub-081_ses-02_task-control_run-01	sub-081	ses-02	control	01	0	0
sub-081_ses-02_task-control_run-03	sub-081	ses-02	control	03	0	0
sub-081_ses-02_task-control_run-05	sub-081	ses-02	control	05	0	0
sub-081_ses-02_task-fmri_run-01	sub-081	ses-02	fmri	01	0	0
sub-081_ses-02_task-fmri_run-03	sub-081	ses-02	fmri	03	0	0
sub-081_ses-02_task-fmri_run-05	sub-081	ses-02	fmri	05	0	0
sub-081_ses-02_task-fmri_run-07	sub-081	ses-02	fmri	07	0	0
sub-081_ses-02_task-movie_run-01	sub-081	ses-02	movie	01	0	0
sub-081_ses-02_task-movie_run-03	sub-081	ses-02	movie	03	0	0
sub-081_ses-02_task-movie_run-05	sub-081	ses-02	movie	05	0	0
sub-081_ses-02_task-movie_run-07	sub-081	ses-02	movie	07	0	0
sub-081_ses-02_task-rest_run-01	sub-081	ses-02	rest	01	0	0
sub-082_ses-01_task-control_run-03	sub-082	ses-01	control	03	0	0
sub-082_ses-01_task-control_run-05	sub-082	ses-01	control	05	0	0
sub-083_ses-01_task-control_run-03	sub-083	ses-01	control	03	0	0
sub-083_ses-01_task-control_run-05	sub-083	ses-01	control	05	0	0
sub-083_ses-01_task-fmri_run-07	sub-083	ses-01	fmri	07	0	0
sub-083_ses-01_task-fmri_run-09	sub-083	ses-01	fmri	09	0	0
