bold_stem	subject	session	task	run	has_pulse	has_resp
sub-021_ses-02_task-rest_run-03	sub-021	ses-02	rest	03	0	0
sub-022_ses-02_task-control_run-03	sub-022	ses-02	control	03	0	0
sub-022_ses-02_task-control_run-05	sub-022	ses-02	control	05	0	0
sub-023_ses-01_task-fmri_run-07	sub-023	ses-01	fmri	07	0	0
sub-023_ses-01_task-fmri_run-09	sub-023	ses-01	fmri	09	0	0
sub-024_ses-02_task-control_run-03	sub-024	ses-02	control	03	0	0
sub-024_ses-02_task-control_run-05	sub-024	ses-02	control	05	0	0
sub-025_ses-01_task-fmri_run-07	sub-025	ses-01	fmri	07	0	0
sub-025_ses-01_task-fmri_run-09	sub-025	ses-01	fmri	09	0	0
sub-026_ses-01_task-control_run-03	sub-026	ses-01	control	03	0	0
sub-026_ses-01_task-control_run-05	sub-026	ses-01	control	05	0	0
sub-027_ses-01_task-control_run-01	sub-027	ses-01	control	01	1	1
sub-027_ses-01_task-control_run-03	sub-027	ses-01	control	03	1	1
sub-027_ses-01_task-control_run-05	sub-027	ses-01	control	05	1	1
sub-027_ses-01_task-fmri_run-01	sub-027	ses-01	fmri	01	1	1
sub-027_ses-01_task-fmri_run-03	sub-027	ses-01	fmri	03	1	1
sub-027_ses-01_task-fmri_run-05	sub-027	ses-01	fmri	05	1	1
sub-027_ses-01_task-fmri_run-07	sub-027	ses-01	fmri	07	1	1
sub-027_ses-01_task-movie_run-01	sub-027	ses-01	movie	01	1	1
sub-027_ses-01_task-movie_run-03	sub-027	ses-01	movie	03	1	1
sub-027_ses-01_task-movie_run-05	sub-027	ses-01	movie	05	1	1
sub-027_ses-01_task-movie_run-07	sub-027	ses-01	movie	07	1	1
sub-027_ses-01_task-rest_run-01	sub-027	ses-01	rest	01	1	1
sub-028_ses-01_task-control_run-01	sub-028	ses-01	control	01	1	1
sub-028_ses-01_task-control_run-03	sub-028	ses-01	control	03	0	1
sub-028_ses-01_task-control_run-05	sub-028	ses-01	control	05	0	1
sub-028_ses-01_task-fmri_run-01	sub-028	ses-01	fmri	01	1	1
sub-028_ses-01_task-fmri_run-03	sub-028	ses-01	fmri	03	1	1
sub-028_ses-01_task-fmri_run-05	sub-028	ses-01	fmri	05	1	1
sub-028_ses-01_task-fmri_run-07	sub-028	ses-01	fmri	07	1	1
sub-028_ses-01_task-movie_run-01	sub-028	ses-01	movie	01	1	1
sub-028_ses-01_task-movie_run-03	sub-028	ses-01	movie	03	1	1
sub-028_ses-01_task-movie_run-05	sub-028	ses-01	movie	05	1	1
sub-028_ses-01_task-movie_run-07	sub-028	ses-01	movie	07	1	1
sub-028_ses-01_task-rest_run-01	sub-028	ses-01	rest	01	1	1
sub-028_ses-02_task-control_run-03	sub-028	ses-02	control	03	0	0
sub-028_ses-02_task-control_run-05	sub-028	ses-02	control	05	0	0
sub-032_ses-01_task-control_run-03	sub-032	ses-01	control	03	0	0
sub-032_ses-01_task-control_run-05	sub-032	ses-01	control	05	0	0
sub-034_ses-01_task-control_run-03	sub-034	ses-01	control	03	0	0
sub-034_ses-01_task-control_run-05	sub-034	ses-01	control	05	0	0
sub-034_ses-02_task-control_run-03	sub-034	ses-02	control	03	0	0
sub-034_ses-02_task-control_run-05	sub-034	ses-02	control	05	0	0
sub-035_ses-01_task-control_run-03	sub-035	ses-01	control	03	0	0
sub-035_ses-01_task-control_run-05	sub-035	ses-01	control	05	0	0
sub-038_ses-01_task-control_run-03	sub-038	ses-01	control	03	0	0
sub-038_ses-01_task-control_run-05	sub-038	ses-01	control	05	0	0
sub-039_ses-01_task-control_run-03	sub-039	ses-01	control	03	0	0
sub-039_ses-01_task-control_run-05	sub-039	ses-01	control	05	0	0
sub-040_ses-01_task-control_run-03	sub-040	ses-01	control	03	0	0
sub-040_ses-01_task-control_run-05	sub-040	ses-01	control	05	0	0
sub-041_ses-01_task-control_run-03	sub-041	ses-01	control	03	0	0
sub-041_ses-01_task-control_run-05	sub-041	ses-01	control	05	0	0
sub-041_ses-02_task-control_run-01	sub-041	ses-02	control	01	0	0
sub-041_ses-02_task-control_run-05	sub-041	ses-02	control	05	0	0
sub-042_ses-01_task-control_run-03	sub-042	ses-01	control	03	0	0
sub-042_ses-01_task-control_run-05	sub-042	ses-01	control	05	0	0
sub-043_ses-02_task-control_run-01	sub-043	ses-02	control	01	0	0
sub-043_ses-02_task-control_run-02	sub-043	ses-02	control	02	0	0
sub-043_ses-02_task-control_run-05	sub-043	ses-02	control	05	0	0
sub-043_ses-02_task-control_run-06	sub-043	ses-02	control	06	0	0
sub-043_ses-02_task-control_run-09	sub-043	ses-02	control	09	0	0
sub-043_ses-02_task-control_run-10	sub-043	ses-02	control	10	0	0
sub-043_ses-02_task-fmri_run-01	sub-043	ses-02	fmri	01	0	0
sub-043_ses-02_task-fmri_run-02	sub-043	ses-02	fmri	02	0	0
sub-043_ses-02_task-fmri_run-05	sub-043	ses-02	fmri	05	0	0
sub-043_ses-02_task-fmri_run-06	sub-043	ses-02	fmri	06	0	0
sub-043_ses-02_task-fmri_run-11	sub-043	ses-02	fmri	11	0	0
sub-043_ses-02_task-fmri_run-12	sub-043	ses-02	fmri	12	0	0
sub-043_ses-02_task-movie_run-01	sub-043	ses-02	movie	01	0	0
sub-043_ses-02_task-movie_run-02	sub-043	ses-02	movie	02	0	0
sub-043_ses-02_task-movie_run-05	sub-043	ses-02	movie	05	0	0
sub-043_ses-02_task-movie_run-06	sub-043	ses-02	movie	06	0	0
sub-043_ses-02_task-movie_run-09	sub-043	ses-02	movie	09	0	0
sub-043_ses-02_task-movie_run-10	sub-043	ses-02	movie	10	0	0
sub-043_ses-02_task-movie_run-13	sub-043	ses-02	movie	13	0	0
sub-043_ses-02_task-movie_run-14	sub-043	ses-02	movie	14	0	0
sub-043_ses-02_task-rest_run-01	sub-043	ses-02	rest	01	0	0
sub-043_ses-02_task-rest_run-02	sub-043	ses-02	rest	02	0	0
sub-044_ses-02_task-control_run-03	sub-044	ses-02	control	03	0	0
sub-044_ses-02_task-control_run-05	sub-044	ses-02	control	05	0	0
sub-045_ses-01_task-control_run-03	sub-045	ses-01	control	03	0	0
sub-045_ses-01_task-control_run-05	sub-045	ses-01	control	05	0	0
sub-046_ses-01_task-control_run-03	sub-046	ses-01	control	03	0	0
sub-046_ses-01_task-control_run-05	sub-046	ses-01	control	05	0	0
