filepath	filename	size_bytes	sha256	modified_date	contains_subject_identifier	contains_date	contains_absolute_path	review_status
/lustre06/project/6001995/raw_original/Control/SUBC22-Session1-2023SEPT28/SUBC22-Session1-2023SEPT28-2023SEP28_MATLAB/4-resting state/main.m	main.m	6305	cbf1d5c8c657920e1b5bdef74da7008f11407abce4608a7e4120e7796f210ea8	2023-08-07T14:43:02+00:00	no	no	no	PASS_CANONICAL
/lustre06/project/6001995/raw_original/Control/SUBC22_Session02_2024MAR25/SUBC22_Session02_2024MAR25_MATLAB/4-resting state/main.m	main.m	6305	cbf1d5c8c657920e1b5bdef74da7008f11407abce4608a7e4120e7796f210ea8	2023-12-01T16:05:32+00:00	no	no	no	PASS_CANONICAL
/lustre06/project/6001995/raw_original/Control/SUBC23-Session01-2023OCT05/SUBC23-Session01-2023OCT05-MATLAB/4-resting state/main.m	main.m	6305	cbf1d5c8c657920e1b5bdef74da7008f11407abce4608a7e4120e7796f210ea8	2023-08-07T14:43:02+00:00	no	no	no	PASS_CANONICAL
/lustre06/project/6001995/raw_original/Control/SUBC23_Session02_2024APR22/SUBC23_Session02_2024APR22_MATLAB/4-resting state/main.m	main.m	6305	cbf1d5c8c657920e1b5bdef74da7008f11407abce4608a7e4120e7796f210ea8	2024-04-22T20:01:16+00:00	no	no	no	PASS_CANONICAL
/lustre06/project/6001995/raw_original/Control/SUBC24-SESSION2-2024APR27/SUBC24-session2-2024-APR-27-Matlab/4-resting state/main.m	main.m	6305	cbf1d5c8c657920e1b5bdef74da7008f11407abce4608a7e4120e7796f210ea8	2024-04-27T13:44:58+00:00	no	no	no	PASS_CANONICAL
/lustre06/project/6001995/raw_original/Control/SUBC24-Session01-2023OCT17/SUBC24-Session01-2023OCT17-MATLAB/4-resting state/main.m	main.m	6309	a47bb2b2d68e80f9f570158d74e3cc8b59eba4ff9fe8ed572dd114524cfded6c	2023-10-17T22:21:56+00:00	no	no	no	VARIANT_NOT_COPIED_REVIEWED
/lustre06/project/6001995/raw_original/Control/SUBC25-Session01-2023NOV08/SUBC25-SESSION01-2023OCT19-Matlab/4-resting state/main.m	main.m	6347	44483d042725187bd115b233649e7760a586f23df420200e042243f051b7c422	2023-10-19T17:15:30+00:00	no	no	no	VARIANT_NOT_COPIED_REVIEWED
/lustre06/project/6001995/raw_original/Control/SUBC25_Session02_2024APR23/SUBC25_Session02_2024APR23_MATLAB/4-resting state/main.m	main.m	6305	cbf1d5c8c657920e1b5bdef74da7008f11407abce4608a7e4120e7796f210ea8	2024-04-22T20:01:16+00:00	no	no	no	PASS_CANONICAL
/lustre06/project/6001995/raw_original/Control/SUBC26-Session1-2023OCT20/SUBC26-Session1-2023OCT20-MATLAB/4-resting state/main.m	main.m	6305	cbf1d5c8c657920e1b5bdef74da7008f11407abce4608a7e4120e7796f210ea8	2023-08-07T14:43:02+00:00	no	no	no	PASS_CANONICAL
/lustre06/project/6001995/raw_original/Control/SUBC26_Session2_2024APR19/SUBC26-Session2-2024Apr19_MATLAB/4-resting state/main.m	main.m	6305	cbf1d5c8c657920e1b5bdef74da7008f11407abce4608a7e4120e7796f210ea8	2023-12-01T16:05:32+00:00	no	no	no	PASS_CANONICAL
