subject	session	protocol	series_number	series_time	has_EXT	sampling_frequency	start_time	n_samples	trigger_count	first_trigger	last_trigger	trigger_interval_mean	trigger_interval_std	unique_values	usable_for_sync	usable_for_stimulus_onset	comments	filepath
sub-011	ses-01	Movie2_AP	37	130543.567000	yes	125.000000	18778473	463	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC11-Session1-2023JUL11/SUBC11_Session01_2023JUL11_NII/MOVIE2_AP_PHYSIOLOG_0037/SUBC11_CONTROL_2023JUL11.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0037.0001.2023.07.12.12.25.56.816342.10285135.IMA
sub-007	ses-02	Movie4_AP	41	153513.012000	yes	125.000000	22366158	452	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC07-Session2-2023NOV24/SUBC07-Session2-2023NOV24-NII/MOVIE4_AP_PHYSIOLOG_0041/SUB07-SESSION2-2023NOV24.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0041.0001.2023.11.24.16.13.41.954524.74091681.IMA
sub-011	ses-01	Movie4_AP	45	131430.670000	yes	125.000000	18989137	463	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC11-Session1-2023JUL11/SUBC11_Session01_2023JUL11_NII/MOVIE4_AP_PHYSIOLOG_0045/SUBC11_CONTROL_2023JUL11.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0045.0001.2023.07.12.12.25.56.816342.10383443.IMA
sub-009	ses-02	Movie4_AP	42	145123.575000	yes	125.000000	21314418	452	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC09_Session02_2023DEC02/SUBC09_Session02_2023DEC02_NII/MOVIE4_AP_PHYSIOLOG_0042/SUBC09_SESSION02_2023DEC02.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0042.0001.2023.12.02.15.40.45.472792.81389711.IMA
sub-013	ses-01	Movie2_AP	29	110029.768000	yes	125.000000	15772715	462	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC13-Session1-2023JUL17/TROL_2023JUL17_23_07_17-09_57_42-DST-1_3_12_2_1107_5_2_43_166092/DR_SHMUEL_COMPLETE_PROTOCOL_20230717_095958_470000/MOVIE2_AP_PHYSIOLOG_0029/SUBC_CONTROL_2023JUL17.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0029.0001.2023.07.21.14.03.09.368664.13696141.IMA
sub-012	ses-01	Movie1_AP	33	104009.205000	yes	125.000000	15284778	462	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC12-Session01-2023JUL12/SUBC12_SESSION01_2023JUL12_NII/MOVIE1_AP_PHYSIOLOG_0033/SUBC12_CONTROL_SESSION01_2023JUL12.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0033.0001.2023.07.12.12.24.02.953830.10975309.IMA
sub-012	ses-01	Movie3_AP	41	104820.581000	yes	125.000000	15481112	463	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC12-Session01-2023JUL12/SUBC12_SESSION01_2023JUL12_NII/MOVIE3_AP_PHYSIOLOG_0041/SUBC12_CONTROL_SESSION01_2023JUL12.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0041.0001.2023.07.12.12.24.02.953830.11074641.IMA
sub-007	ses-02	Movie1_AP	25	152223.871000	yes	125.000000	22058419	452	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC07-Session2-2023NOV24/SUBC07-Session2-2023NOV24-NII/MOVIE1_AP_PHYSIOLOG_0025/SUB07-SESSION2-2023NOV24.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0025.0001.2023.11.24.16.13.41.954524.73939095.IMA
sub-012	ses-01	Movie4_AP	45	105221.874000	yes	125.000000	15577820	464	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC12-Session01-2023JUL12/SUBC12_SESSION01_2023JUL12_NII/MOVIE4_AP_PHYSIOLOG_0045/SUBC12_CONTROL_SESSION01_2023JUL12.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0045.0001.2023.07.12.12.24.02.953830.11123795.IMA
sub-009	ses-02	Movie2_AP	30	144209.175000	yes	125.000000	21092302	452	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC09_Session02_2023DEC02/SUBC09_Session02_2023DEC02_NII/MOVIE2_AP_PHYSIOLOG_0030/SUBC09_SESSION02_2023DEC02.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0030.0001.2023.12.02.15.40.45.472792.81287303.IMA
